metric,non_null,missing_rate
identity_account_id,489,0.0
identity_competition_id,489,0.0
identity_country_id,489,0.0
identity_player_id,489,0.0
identity_team_id,489,0.0
identity_season_id,489,0.0
90s_played,489,0.0
360_minutes,489,0.0
assists_90,489,0.0
appearances,489,0.0
aerial_wins_90,489,0.0
aggressive_actions_90,489,0.0
average_minutes,489,0.0
counterpressure_regains_90,489,0.0
ball_recoveries_90,489,0.0
carries_90,489,0.0
clcaa,489,0.0
clearance_90,489,0.0
fouls_won_90,489,0.0
fhalf_ball_recoveries_90,489,0.0
dribbles_90,489,0.0
errors_90,489,0.0
dribbled_past_90,489,0.0
failed_dribbles_90,489,0.0
dispossessions_90,489,0.0
defensive_actions_90,489,0.0
deep_progressions_90,489,0.0
defensive_action_regains_90,489,0.0
deep_completions_90,489,0.0
da_aggressive_distance,489,0.0
crosses_90,489,0.0
counterpressures_90,489,0.0
long_balls_90,489,0.0
key_passes_90,489,0.0
gsaa_90,489,0.0
fouls_90,489,0.0
goals_90,489,0.0
interceptions_90,489,0.0
goals_faced_90,489,0.0
fhalf_counterpressures_90,489,0.0
fhalf_pressures_90,489,0.0
passes_inside_box_90,489,0.0
op_passes_into_box_90,489,0.0
op_passes_into_and_touches_inside_box_90,489,0.0
op_passes_90,489,0.0
op_xgchain,489,0.0
op_xgbuildup_90,489,0.0
op_xgbuildup_per_possession,489,0.0
op_assists_90,489,0.0
op_f3_passes_90,489,0.0
op_key_passes_90,489,0.0
op_xgbuildup,489,0.0
op_xa_90,489,0.0
npxgxa_90,489,0.0
npga_90,489,0.0
npot_psxg_faced_90,489,0.0
npg_90,489,0.0
np_xg_faced_90,489,0.0
np_xg_90,489,0.0
np_shots_90,489,0.0
np_psxg_faced_90,489,0.0
np_psxg_90,489,0.0
np_optimal_gk_dlength,489,0.0
minutes,489,0.0
pressure_regains_90,489,0.0
penalty_wins_90,489,0.0
pressures_90,489,0.0
pressured_long_balls_90,489,0.0
penalties_faced_90,489,0.0
passes_into_box_90,489,0.0
penalties_conceded_90,489,0.0
padj_tackles_and_interceptions_90,489,0.0
padj_pressures_90,489,0.0
padj_tackles_90,489,0.0
padj_clearances_90,489,0.0
padj_interceptions_90,489,0.0
over_under_performance_90,489,0.0
ot_shots_faced_90,489,0.0
op_xgchain_per_possession,489,0.0
op_xgchain_90,489,0.0
through_balls_90,489,0.0
total_dribbles_90,489,0.0
touches_inside_box_90,489,0.0
tackles_and_interceptions_90,489,0.0
sp_xa_90,489,0.0
sp_passes_into_box_90,489,0.0
starting_appearances,489,0.0
tackles_90,489,0.0
sp_assists_90,489,0.0
sp_key_passes_90,489,0.0
shots_faced_90,489,0.0
shots_key_passes_90,489,0.0
shot_touch_ratio,489,0.0
second_yellow_cards_90,489,0.0
save_ratio,489,0.0
red_cards_90,489,0.0
xgbuildup_90,489,0.0
xgbuildup,489,0.0
xa_90,489,0.0
unpressured_long_balls_90,489,0.0
turnovers_90,489,0.0
xgchain_per_possession,489,0.0
yellow_cards_90,489,0.0
xs_ratio,489,0.0
xgchain,489,0.0
xgchain_90,489,0.0
xgbuildup_per_possession,489,0.0
obv_dribble_carry_90,488,0.002044989775051125
sideways_pass_proportion,488,0.002044989775051125
forward_pass_proportion,488,0.002044989775051125
average_x_defensive_action,488,0.002044989775051125
blocks_per_shot,488,0.002044989775051125
pass_into_pressure_ratio,488,0.002044989775051125
obv_90,488,0.002044989775051125
passes_pressed_ratio,488,0.002044989775051125
pass_length,488,0.002044989775051125
carry_ratio,488,0.002044989775051125
carry_length,488,0.002044989775051125
backward_pass_proportion,488,0.002044989775051125
pass_into_danger_ratio,488,0.002044989775051125
obv_pass_90,488,0.002044989775051125
passing_ratio,488,0.002044989775051125
average_x_pass,485,0.0081799591002045
s_pass_length,485,0.0081799591002045
pass_length_ratio,485,0.0081799591002045
left_foot_ratio,485,0.0081799591002045
p_pass_length,479,0.02044989775051125
pressured_passing_ratio,479,0.02044989775051125
pressured_change_in_pass_length,479,0.02044989775051125
change_in_passing_ratio,479,0.02044989775051125
ps_pass_length,471,0.03680981595092025
pressured_pass_length_ratio,471,0.03680981595092025
op_f3_sideways_pass_proportion,469,0.0408997955010225
op_f3_backward_pass_proportion,469,0.0408997955010225
op_f3_forward_pass_proportion,469,0.0408997955010225
long_ball_ratio,468,0.04294478527607362
positive_outcome_score,465,0.049079754601226995
average_x_pressure,465,0.049079754601226995
positive_outcome_90,465,0.049079754601226995
fhalf_pressures_ratio,465,0.049079754601226995
obv_defensive_action_90,463,0.053169734151329244
fhalf_counterpressures_ratio,439,0.10224948875255624
challenge_ratio,433,0.11451942740286299
aerial_ratio,427,0.12678936605316973
dribble_faced_ratio,412,0.1574642126789366
dribble_ratio,391,0.20040899795501022
conversion_ratio,384,0.2147239263803681
np_xg_per_shot,384,0.2147239263803681
shot_on_target_ratio,384,0.2147239263803681
obv_shot_90,383,0.2167689161554192
box_cross_ratio,362,0.25971370143149286
identity_player_height,354,0.27607361963190186
crossing_ratio,349,0.28629856850715746
identity_player_weight,151,0.6912065439672802
penalty_conversion_ratio,41,0.9161554192229039
obv_gk_90,40,0.918200408997955
ot_shots_faced_ratio,40,0.918200408997955
gsaa_ratio,38,0.9222903885480572
