statsbomb_player_id,player_name,role_family,position_text,observations
10689,Sabir Bougrine,MID,Left Center Midfield,1
11456,Lautaro Javier Martínez,CF,Center Forward,1
126527,Kabelo Seakanyeng,WINGER,Right Wing,1
131244,Ismaël Kandouss,CB,Right Center Back,2
132614,Walid Nassi Ouled Bentle,WINGER,Right Wing,1
134249,Adam Ennaffati,WINGER,Left Midfield,1
135202,Walid Sabbar,MID,Left Defensive Midfield,1
135851,Augusto de Jesus Corte Real Carneiro,FB,Left Back,1
136023,Rodrigue Kossi Fiogbé,FB,Right Back,1
138827,Achraf El Idrissi,MID,Center Attacking Midfield,1
138839,Driss Abdi,CB,Left Center Back,1
138841,Salaheddine Chihab,GK,Goalkeeper,1
138842,Marouane Hadhoudi,CB,Right Center Back,1
138843,Abdelilah Madkour,FB,Right Back,1
138845,Mohsine Moutouali,MID,Center Attacking Midfield,2
138853,Abdellah Farah,WINGER,Left Midfield,1
138860,Youssef Michte,MID,Left Defensive Midfield,1
138862,Abderrahmane Kassak,MID,Center Attacking Midfield,1
138865,Mouhcine Boumlik,CB,Left Center Back,1
138867,Marouane Bessak,UNKNOWN,,1
138871,Karim El Bounagat,CB,Left Center Back,1
138872,Oussama Mahrous,MID,Right Defensive Midfield,2
138873,Abdelghafour Lamirat,MID,Right Defensive Midfield,1
138876,Hamza Khaba,CF,Left Center Forward,1
138877,Saleh Al Sellami,WINGER,Left Midfield,2
138895,Abdelfattah Hadraf,WINGER,Right Midfield,1
138898,Ahmed Chentouf,MID,Right Defensive Midfield,1
138904,Mehdi El Jourbaoui,UNKNOWN,,1
138910,Jamal Ech-Chammakh,FB,Left Back,1
138918,Marwan Louadni,CB,Right Center Back,1
138927,Saad El Morsli,FB,Left Back,2
138935,Rachid Ghanimi,GK,Goalkeeper,1
138936,Abderrazak Ennakouss,CF,Center Forward,1
138945,Mohamed Boulacsout,FB,Right Back,1
138949,Ayoub Boucheta,FB,Left Back,1
138950,Mehdi Harrar,GK,Goalkeeper,1
138956,Anas Bach,FB,Right Back,1
138957,Youssef Limouri,CB,Right Center Back,1
138958,Mouad Bahsain,CB,Left Center Back,1
138966,Youssef Belammari,FB,Left Back,1
138972,Mahdi Benabid,GK,Goalkeeper,1
