role_family,score_family,requested_metric_alias,status,eligible_players,coverage_rate,split_half_reliability,reason
GK,shot_stopping,save_ratio,candidate_blocked,12,1.0,-0.2529455527290811,highly_correlated_ge_0_90;split_half_reliability_lt_0_60
GK,shot_stopping,np_psxg_faced_90,candidate_blocked,12,1.0,,highly_correlated_ge_0_90
GK,shot_stopping,goals_faced_90,candidate_ready,12,1.0,,
GK,shot_stopping,obv_gk_90,candidate_blocked,12,1.0,,highly_correlated_ge_0_90;high_coefficient_of_variation
GK,shot_stopping,ot_shots_faced_ratio,candidate_blocked,12,1.0,,highly_correlated_ge_0_90
GK,aerial_command,claim_success,missing_from_provider_stats,0,,,metric_alias_not_found_in_player_season_stats
GK,aerial_command,aerial_ratio,candidate_blocked,12,0.0,,coverage_lt_40pct;near_zero_variance
GK,aerial_command,aerial_wins_90,candidate_blocked,12,1.0,,near_zero_variance
GK,aerial_command,crossing_ratio,candidate_blocked,12,0.0,,coverage_lt_40pct;near_zero_variance
GK,distribution,passing_ratio,candidate_blocked,12,1.0,0.564688486511968,split_half_reliability_lt_0_60
GK,distribution,obv_pass_90,candidate_ready,12,1.0,,
GK,distribution,pass_length,candidate_ready,12,1.0,,
GK,distribution,p_pass_length,candidate_ready,12,1.0,,
GK,sweeping,average_x_defensive_action,candidate_ready,12,1.0,,
CB,defensive_contribution,interceptions_90,candidate_ready,26,1.0,,
CB,defensive_contribution,ball_recoveries_90,candidate_ready,26,1.0,,
CB,defensive_contribution,aerial_ratio,candidate_ready,26,1.0,0.7347045623335495,
CB,defensive_contribution,clearance_90,candidate_ready,26,1.0,,
CB,defensive_contribution,blocks_per_shot,candidate_ready,26,1.0,,
CB,defensive_contribution,obv_defensive_action_90,candidate_ready,26,1.0,,
CB,ball_progression,op_f3_passes_90,candidate_ready,26,1.0,,
CB,ball_progression,lbp_pass_ratio,missing_from_provider_stats,0,,,metric_alias_not_found_in_player_season_stats
CB,ball_progression,obv_pass_90,candidate_ready,26,1.0,,
CB,ball_progression,xgbuildup_90,candidate_blocked,26,1.0,,highly_correlated_ge_0_90
CB,ball_progression,op_xgbuildup_90,candidate_ready,26,1.0,,
FB,ball_progression,obv_dribble_carry_90,candidate_ready,23,1.0,,
FB,ball_progression,op_f3_passes_90,candidate_ready,23,1.0,,
FB,ball_progression,lbp_pass_ratio,missing_from_provider_stats,0,,,metric_alias_not_found_in_player_season_stats
FB,ball_progression,obv_pass_90,candidate_ready,23,1.0,,
FB,wide_creation,crossing_ratio,candidate_blocked,23,1.0,0.0,split_half_reliability_lt_0_60
FB,wide_creation,box_cross_ratio,candidate_ready,23,1.0,0.9999999999999998,
FB,wide_creation,dribble_ratio,candidate_ready,23,1.0,,
FB,wide_creation,key_passes_90,candidate_ready,23,1.0,,
FB,wide_creation,xa_90,candidate_blocked,23,1.0,,highly_correlated_ge_0_90
FB,defensive_work,ball_recoveries_90,candidate_ready,23,1.0,,
FB,defensive_work,pressures_90,candidate_blocked,23,1.0,,highly_correlated_ge_0_90
FB,defensive_work,counterpressures_90,candidate_ready,23,1.0,,
MID,possession_and_progression,op_passes_90,candidate_ready,35,1.0,,
MID,possession_and_progression,passing_ratio,candidate_blocked,35,1.0,0.3425142156707983,split_half_reliability_lt_0_60
MID,possession_and_progression,op_f3_passes_90,candidate_ready,35,1.0,,
MID,possession_and_progression,obv_dribble_carry_90,candidate_ready,35,1.0,,
MID,possession_and_progression,obv_pass_90,candidate_ready,35,1.0,,
MID,possession_and_progression,xgbuildup_90,candidate_blocked,35,1.0,,highly_correlated_ge_0_90
MID,defensive_work,ball_recoveries_90,candidate_ready,35,1.0,,
MID,defensive_work,pressures_90,candidate_blocked,35,1.0,,highly_correlated_ge_0_90
MID,defensive_work,counterpressures_90,candidate_ready,35,1.0,,
MID,creation,key_passes_90,candidate_ready,35,1.0,,
MID,creation,xa_90,candidate_blocked,35,1.0,,highly_correlated_ge_0_90
MID,creation,through_balls_90,candidate_ready,35,1.0,,
WINGER,chance_creation,obv_dribble_carry_90,candidate_ready,25,1.0,,
WINGER,chance_creation,dribble_ratio,candidate_ready,25,1.0,,
WINGER,chance_creation,crossing_ratio,candidate_ready,25,1.0,0.6546536707079771,
WINGER,chance_creation,key_passes_90,candidate_ready,25,1.0,,
WINGER,chance_creation,xa_90,candidate_blocked,25,1.0,,highly_correlated_ge_0_90
WINGER,chance_creation,touches_inside_box_90,candidate_blocked,25,1.0,,highly_correlated_ge_0_90
WINGER,chance_creation,obv_pass_90,candidate_ready,25,1.0,,
WINGER,goal_threat,np_xg_90,candidate_ready,25,1.0,,
WINGER,goal_threat,np_shots_90,candidate_ready,25,1.0,,
WINGER,goal_threat,shot_on_target_ratio,candidate_blocked,25,1.0,,highly_correlated_ge_0_90
WINGER,goal_threat,obv_shot_90,candidate_blocked,25,1.0,,highly_correlated_ge_0_90;high_coefficient_of_variation
CF,finishing,np_xg_90,candidate_ready,23,1.0,,
