statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients
317852,Abderahmane El Houasli,GK,GK,1.0,109.3,Goalkeeper,1286.4167,600.0,True
477675,Mohamed Idar,GK,GK,1.0,96.683334,Goalkeeper,2196.5332,600.0,True
138845,Mohsine Moutouali,MID,MID,1.0,211.93333,Center Attacking Midfield; Right Center Midfield; Center Defensive Midfield,309.93335,900.0,False
138845,Mohsine Moutouali,MID,MID,1.0,211.93333,Center Attacking Midfield; Right Center Midfield; Center Defensive Midfield,650.48334,900.0,False
6312,Franco Armani,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
3302,Nordin Amrabat,WINGER,WINGER,1.0,80.9,Right Wing,1213.9333,750.0,True
5726,Khalid Boutaïb,CF,CF,1.0,22.366667,Left Center Forward; Right Center Forward,296.3333,750.0,False
5503,Lionel Andrés Messi Cuccittini,CF,CF,1.0,66.88333,Right Center Forward,,750.0,False
7378,Yunis Abdelhamid,CB,CB,1.0,98.11667,Left Center Back,937.7833,900.0,True
3090,Nicolás Hernán Otamendi,WINGER,WINGER,1.0,8.216666,Right Midfield; Center Back,,750.0,False
2995,Ángel Fabián Di María Hernández,WINGER,WINGER,1.0,122.30000000000001,Right Midfield; Left Midfield,,750.0,False
4276,David Ospina Ramírez,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
27225,Camilo Andrés Vargas Gil,GK,GK,1.0,130.51666,Goalkeeper,,600.0,False
139545,Mohammad El Fakih,MID,MID,1.0,38.1,Right Center Midfield,684.73334,900.0,False
139001,Youssef Anouar,WINGER,WINGER,1.0,88.0,Left Wing,906.2,750.0,True
139565,Larbi Naji,MID,MID,1.0,96.1,Right Defensive Midfield; Left Defensive Midfield,1892.6,900.0,True
140881,Yassine Kordani,CB,CB,1.0,137.85,Left Center Back,488.31668,900.0,False
6193,Andrés Mateus Uribe Villa,UNKNOWN,UNKNOWN,0.0,0.0,Center Defensive Midfield,,,False
49760,Adil Rhaili,CB,CB,1.0,112.46667,Left Center Back,1269.3834,900.0,True
7161,Germán Alejandro Pezzella,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
5695,James David Rodríguez Rubio,MID,MID,1.0,95.066666,Center Attacking Midfield,,900.0,False
143490,Ahmed Hammoudan,WINGER,WINGER,1.0,87.566666,Left Midfield; Left Wing,1350.9333,750.0,True
3319,Yacine Bammou,CF,CF,1.0,109.3,Center Forward; Left Center Forward,1178.8168,750.0,True
19597,Marcos Javier Acuña,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
51475,Abdelali Gluja M'Hamdi,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
5696,Santiago Arias Naranjo,FB,FB,1.0,130.51666,Right Back,,900.0,False
524395,Amine Dghoughi,MID,MID,0.9764918669229176,24.666666,Right Wing; Center Attacking Midfield,495.8833,900.0,False
7717,Rayane Aabid,MID,MID,1.0,164.900004,Left Defensive Midfield; Left Center Midfield,1303.0834,900.0,True
3252,Oussama Haddadi,CB,CB,0.8980807536072257,199.566664,Left Center Back; Left Back,1504.85,900.0,True
138842,Marouane Hadhoudi,CB,CB,1.0,96.1,Right Center Back,299.0,900.0,False
406860,Abdelaziz El Hamzaoui,CF,CF,1.0,38.1,Center Forward,850.13336,750.0,True
442295,Reda Abardi,CF,CF,1.0,14.833333,Center Forward,1312.8335,750.0,True
407663,Mohamed Habbali,WINGER,WINGER,1.0,50.599999999999994,Right Wing,580.9667,750.0,False
6694,Gerónimo Rulli,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
409454,Ayoub Tine,FB,FB,1.0,112.46667,Right Back,756.55,900.0,False
523314,Mouhcine Boussanane,CF,CF,0.9826641591278183,29.5,Right Wing; Center Forward,262.78333,750.0,False
139570,Brahim El Bahraoui,WINGER,WINGER,1.0,88.7,Right Midfield,499.98334,750.0,False
5691,Johan Andrés Mojica Palacio,FB,FB,1.0,130.51666,Left Back,,900.0,False
5507,Nicolás Alejandro Tagliafico,FB,FB,1.0,130.51666,Left Back; Left Wing Back,,900.0,False
6909,Damián Emiliano Martínez,GK,GK,1.0,130.51666,Goalkeeper,,600.0,False
143166,Zakaria Fati,MID,MID,1.0,98.11667,Right Center Midfield; Left Center Midfield,1729.35,900.0,True
49000,Amine Oudrhiri Idrissi,MID,MID,1.0,99.25,Right Defensive Midfield,543.86664,900.0,False
143163,Hamza Semmoumy,FB,FB,1.0,195.68333,Right Back,680.7,900.0,False
139568,Youssef Zghoudi,WINGER,WINGER,1.0,131.66666999999998,Right Midfield; Left Midfield; Left Wing,882.10004,750.0,True
477682,Ayoub Benaadi,MID,MID,1.0,96.683334,Center Attacking Midfield,1579.8833,900.0,True
138904,Mehdi El Jourbaoui,UNKNOWN,UNKNOWN,0.0,0.0,,207.1,,False
313284,Achraf Harmach,MID,MID,1.0,93.61667,Center Attacking Midfield,1416.0166,900.0,True
5692,Juan Fernando Quintero Paniagua,UNKNOWN,UNKNOWN,0.0,0.0,Center Attacking Midfield,,,False
6333,Miguel Ángel Borja Hernández,UNKNOWN,UNKNOWN,0.0,0.0,Left Center Forward,,,False
138998,Abdellah Khafifi,CB,CB,1.0,102.96667,Left Center Back,1950.3999,900.0,True
138841,Salaheddine Chihab,GK,GK,1.0,112.46667,Goalkeeper,2015.4667,600.0,True
138839,Driss Abdi,CB,CB,1.0,14.4,Left Center Back,63.916664,900.0,False
141808,Charki El Bahri,CF,CF,1.0,142.91666,Center Forward,463.7333,750.0,False
139560,Hamza El Moussaoui,FB,FB,0.8980807536072257,199.566664,Left Back; Left Midfield,1272.2667,900.0,True
29391,Nassim Ouammou,FB,FB,1.0,104.95,Left Back,868.9167,900.0,False
8817,Jhon Andrés Córdoba Copete,CF,CF,1.0,89.98333,Right Center Forward,,750.0,False
360406,Imad Khannouss,CF,CF,0.7255686784599376,96.1,Center Forward; Right Wing,823.43335,750.0,True
360406,Imad Khannouss,CF,CF,0.7255686784599376,96.1,Center Forward; Right Wing,706.86664,750.0,False
126527,Kabelo Seakanyeng,WINGER,WINGER,0.8634598415979544,106.583336,Right Wing; Center Forward,340.55002,750.0,False
138999,Marouane Lemzaouri,FB,FB,1.0,96.1,Right Back,523.85,900.0,False
477684,Brahim Amzili,CF,CF,1.0,81.96667,Center Forward,1496.7002,750.0,True
314450,Anass Lamrabat,MULTI_ROLE,FB,0.6595911869236822,193.96667000000002,Left Wing Back; Left Center Back; Left Midfield,1482.4332,,False
194912,Faouzi Abd El Mouttalib,MID,MID,0.7557439467581876,193.06667000000002,Right Defensive Midfield; Left Defensive Midfield; Right Midfield,1603.85,900.0,True
64615,Thembinkosi Lorch,WINGER,WINGER,1.0,42.766666,Left Wing,462.61667,750.0,False
143162,Mehdi Maftah,GK,GK,1.0,199.566664,Goalkeeper,402.21664,600.0,False
140886,Mustapha Sahd,CF,CF,1.0,24.183332,Center Forward,886.8334,750.0,True
442288,Adnane Berdad,MID,MID,1.0,96.1,Left Defensive Midfield; Right Defensive Midfield,1615.9169,900.0,True
27473,Deiver Andrés Machado Mena,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
67700,Badr Banoun,CB,CB,1.0,102.96667,Right Center Back,1769.8834,900.0,True
477677,Yassine Boughaz,FB,FB,1.0,96.683334,Right Back,361.46664,900.0,False
380600,Mouad Goulouss,MID,MID,1.0,72.13333,Center Attacking Midfield,445.91666,900.0,False
138949,Ayoub Boucheta,FB,FB,1.0,98.75,Left Back,1453.0,900.0,True
140887,Haytham El Bahja,CF,CF,0.9460912941566769,151.783336,Left Center Forward; Left Center Midfield,1497.5667,750.0,True
138973,Saad Ait Khorsa,UNKNOWN,UNKNOWN,0.0,0.0,,854.5833,,False
139559,Hamza Hamiani Akbi,UNKNOWN,UNKNOWN,0.0,0.0,,1688.1334,,False
523318,Younes El Khafi,FB,FB,1.0,96.683334,Left Back,1192.4167,900.0,True
26404,Guido Rodríguez,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
7797,Rodrigo Javier De Paul,MULTI_ROLE,MID,0.5082085561592928,130.51666,Right Defensive Midfield; Right Midfield; Right Center Midfield,,,False
143452,Mohamed Ayman Sadil,UNKNOWN,UNKNOWN,0.0,0.0,,1223.8167,,False
16308,Leandro Daniel Paredes,MID,MID,1.0,29.166666,Left Center Midfield; Center Defensive Midfield; Right Defensive Midfield,,900.0,False
134249,Adam Ennaffati,WINGER,WINGER,0.8792837203210192,102.96667,Left Midfield; Right Center Forward,1201.3667,750.0,True
21573,Mohamed Rayhi,WINGER,WINGER,1.0,61.033333,Left Wing,566.6167,750.0,False
138982,Jalal Tachtach,UNKNOWN,UNKNOWN,0.0,0.0,Center Defensive Midfield,1185.7333,,False
149135,Moses Orkuma,MID,MID,1.0,83.85,Center Defensive Midfield,172.13333,900.0,False
140872,Mohamed Rabie Hrimat,MID,MID,1.0,98.11667,Left Defensive Midfield,1687.5834,900.0,True
6196,Yerry Fernando Mina González,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
523299,Youness Noussir,FB,FB,1.0,98.11667,Right Back,807.06665,900.0,False
5678,Jefferson Andrés Lerma Solís,MID,MID,1.0,111.05000000000001,Center Defensive Midfield,,900.0,False
409301,Jawad Ghabra,CF,CF,0.7829177100559563,137.73333399999999,Right Center Forward; Left Center Midfield; Center Forward,1463.6833,750.0,True
139554,Abdoulaye Diarra,MULTI_ROLE,MID,0.5079926928140779,177.416664,Left Center Midfield; Left Wing; Center Attacking Midfield,177.41666,,False
138918,Marwan Louadni,CB,CB,1.0,98.11667,Right Center Back,1607.0668,900.0,True
442292,Abdellatif El Bajjani,MID,MID,1.0,112.46667,Center Defensive Midfield,1764.4001,900.0,True
139555,Aymane Majid,GK,GK,1.0,96.1,Goalkeeper,1386.4,600.0,True
151743,Mohamed Al Makahasi,MID,MID,1.0,102.96667,Right Center Midfield; Right Defensive Midfield,1844.75,900.0,True
313277,Mohamed Chemlal,MID,MID,1.0,31.85,Left Center Midfield,462.78336,900.0,False
46646,José Dembi,MID,MID,1.0,104.95,Center Defensive Midfield; Left Center Midfield,703.9167,900.0,False
523296,Youssef Legnibi,UNKNOWN,UNKNOWN,0.0,0.0,,466.0,,False
7242,Ange-Freddy Plumain,WINGER,WINGER,1.0,101.183334,Left Wing,544.25,750.0,False
503286,Mehdi Balouk,CF,CF,1.0,68.933334,Center Forward,1433.7333,750.0,True
522354,Akram El Hamdaoui,CB,CB,1.0,47.633335,Left Center Back,58.11667,900.0,False
314452,Zouhair Marour,CB,CB,1.0,98.11667,Left Center Back,2187.6167,900.0,True
27166,Álvaro David Montero Perales,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
21648,Anas Tahiri,MID,MID,1.0,31.833334,Left Defensive Midfield; Center Attacking Midfield,1222.9333,900.0,True
312935,Amine Azri,WINGER,WINGER,0.7320234915628229,63.333332,Right Wing; Right Midfield; Right Defensive Midfield,831.3667,750.0,True
138872,Oussama Mahrous,MID,MID,1.0,206.68333,Right Defensive Midfield; Center Defensive Midfield,946.41675,900.0,True
406864,Hamza Malki,FB,FB,1.0,96.1,Left Back,1218.2834,900.0,True
138827,Achraf El Idrissi,MID,MID,1.0,31.783333,Center Attacking Midfield,874.5167,900.0,False
442286,Oussama Daoui,FB,FB,1.0,96.1,Right Back,1507.8333,900.0,True
34952,Soufyan Ahannach,WINGER,WINGER,0.846838181994749,80.98333,Left Wing; Right Center Midfield,1648.5166,750.0,True
28266,Rafael Santos Borré Maury,CF,CF,1.0,41.583332,Right Center Forward,,750.0,False
140867,Ismail Khafi,CF,CF,1.0,95.73332999999998,Center Forward,1004.94995,750.0,True
523293,Nassim Azzoubairi,FB,FB,1.0,89.0,Left Back,1764.2832,900.0,True
135851,Augusto de Jesus Corte Real Carneiro,FB,FB,1.0,86.433334,Left Back,1209.55,900.0,True
139572,Amine El Ouaad,GK,GK,1.0,190.10000000000002,Goalkeeper,2078.9502,600.0,True
407665,Soufiane Jazouli,WINGER,WINGER,1.0,50.599999999999994,Left Wing,140.8,750.0,False
523312,Brahim Mansouri,WINGER,WINGER,0.9862628199920874,29.416665999999996,Left Center Midfield; Left Wing,1587.7167,750.0,True
143504,Oussama Lamlaoui,CF,CF,1.0,149.899994,Center Forward,813.4167,750.0,True
3032,Zinédine Machach,MULTI_ROLE,MID,0.6422842209045192,74.950001,Right Center Midfield; Left Center Forward; Right Midfield,624.0833,,False
6725,Zakaria Bakkali,MULTI_ROLE,FB,0.6564009544782263,27.600001000000002,Center Back; Right Back; Right Wing Back,241.6,,False
314466,Mohamed Saoud,CB,CB,1.0,211.93332999999998,Center Back; Right Center Back; Left Center Back,2195.433,900.0,True
207378,Younes Najjari,UNKNOWN,UNKNOWN,0.0,0.0,Left Center Forward,119.55,,False
207378,Younes Najjari,UNKNOWN,UNKNOWN,0.0,0.0,Left Center Forward,731.4666,,False
135202,Walid Sabbar,MID,MID,1.0,103.8,Left Defensive Midfield,629.5667,900.0,False
225437,Stephane Aziz Ki,MID,MID,1.0,61.016665999999994,Center Attacking Midfield,371.68335,900.0,False
139018,Zouheir El-Moutaraji,UNKNOWN,UNKNOWN,0.0,0.0,,251.66669,,False
139011,Ahmed Reda Tagnaouti,GK,GK,1.0,98.11667,Goalkeeper,1502.3833,600.0,True
3313,Giovani Lo Celso,MID,MID,1.0,28.666665999999996,Left Center Midfield; Left Defensive Midfield,,900.0,False
139562,Abdelkarim Baadi,UNKNOWN,UNKNOWN,0.0,0.0,Right Back,409.4167,,False
28728,Lucas Martínez Quarta,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
138876,Hamza Khaba,CF,CF,1.0,73.933334,Left Center Forward; Right Center Forward; Center Forward,808.81665,750.0,True
3494,Davinson Sánchez Mina,CB,CB,1.0,130.51666,Right Center Back,,900.0,False
46648,Marwane Elaz,WINGER,WINGER,1.0,53.55,Left Wing; Left Midfield,258.01666,750.0,False
477680,Hamza Saoud,MID,MID,1.0,37.983334,Right Defensive Midfield,1441.9332,900.0,True
141318,Khalid Kbiri Alaoui,UNKNOWN,UNKNOWN,0.0,0.0,,100.26667,,False
10689,Sabir Bougrine,MID,MID,1.0,95.75000000000001,Left Center Midfield,1519.933,900.0,True
138867,Marouane Bessak,UNKNOWN,UNKNOWN,0.0,0.0,,,,False
16208,Arthur Kevin Yamga,WINGER,WINGER,1.0,112.46667,Left Wing; Left Midfield,908.2999,750.0,True
141254,Hamza Afsal,MID,MID,1.0,18.85,Center Attacking Midfield; Left Defensive Midfield; Right Defensive Midfield,982.0499,900.0,True
144436,Anas Serrhat,MID,MID,1.0,102.96667,Right Defensive Midfield,2207.3833,900.0,True
138877,Saleh Al Sellami,WINGER,WINGER,0.8615495205071226,74.883334,Left Midfield; Left Center Midfield,529.1166,750.0,False
381935,Ismail Mihrab,WINGER,WINGER,0.9023313672411428,146.45,Right Midfield; Left Midfield; Right Wing,1046.0,750.0,True
138898,Ahmed Chentouf,MID,MID,1.0,19.4,Right Defensive Midfield; Left Defensive Midfield,252.36667,900.0,False
442093,Yassine Fatine,CB,CB,1.0,96.1,Left Center Back,1008.3,900.0,True
36951,Babacar Niasse,GK,GK,1.0,96.1,Goalkeeper,2050.4001,600.0,True
9253,Moussa Koné,MULTI_ROLE,CF,0.5118090300290367,74.266666,Center Forward; Center Attacking Midfield,1023.4832,,False
28263,Gonzalo Ariel Montiel,FB,FB,1.0,72.35,Right Back,,900.0,False
202502,Soulaimane El Amrani,CB,CB,1.0,104.95,Right Center Back,1117.3333,900.0,True
139004,Zakaria Bahrou,CF,CF,1.0,74.85,Center Forward,510.88336,750.0,False
8861,Bart Meijers,CB,CB,0.9138431278098909,103.8,Left Center Back; Left Back,320.90002,900.0,False
27158,Luis Fernando Díaz Marulanda,CF,CF,1.0,111.05000000000001,Left Center Forward,,750.0,False
152015,Zakaria Kiani,FB,FB,1.0,125.31667,Right Wing Back; Right Back,2197.05,900.0,True
409303,Faraji Karmoune,CB,CB,0.9383217220978919,216.28333000000003,Right Center Back; Right Back,1912.9167,900.0,True
407852,Abdessamad Mahir,MID,MID,1.0,102.96667,Left Defensive Midfield,2116.4497,900.0,True
138865,Mouhcine Boumlik,CB,CB,1.0,46.083332000000006,Left Center Back,81.63333,900.0,False
139566,Youssef Elfahli,CF,CF,0.7449330815378602,98.11667,Right Center Forward; Left Center Forward; Right Wing,1451.0833,750.0,True
139571,Hamza Regragui,UNKNOWN,UNKNOWN,0.0,0.0,,1412.7666,,False
523288,Abdelali Khouch,FB,FB,1.0,9.35,Left Back,543.6667,900.0,False
30155,Bilal Ould-Chikh,WINGER,WINGER,1.0,34.116665,Right Midfield,457.43335,750.0,False
380596,Alí El Harrak El Harrak,MULTI_ROLE,CF,0.592177384519994,102.96667,Center Forward; Left Wing; Right Wing,952.8,,False
524000,Ahmed Aboulfath,WINGER,WINGER,1.0,21.583334,Right Midfield,150.95,750.0,False
11456,Lautaro Javier Martínez,UNKNOWN,UNKNOWN,0.0,0.0,Center Forward,,,False
138873,Abdelghafour Lamirat,MID,MID,1.0,80.88333,Right Defensive Midfield,1501.45,900.0,True
143160,Anouar Tarkhatt,CB,CB,0.7303634168901153,127.949997,Right Center Back; Center Back; Right Center Midfield,323.96667,900.0,False
27277,Jhon Adolfo Arias Andrade,MID,MID,1.0,111.05000000000001,Left Center Midfield,,900.0,False
313287,Redouane Ait Lemkadem,FB,FB,1.0,109.3,Left Back,2003.1166,900.0,True
523311,Anas Jabroun,WINGER,WINGER,0.9901865809451249,29.316668000000004,Center Forward; Right Wing,215.59999,750.0,False
157113,Badr Gaddarine,CB,CB,0.7097440973536348,211.93333,Left Center Back; Left Wing Back; Left Back,1892.25,900.0,True
139023,Amine Aboulfath,CB,CB,1.0,103.8,Right Center Back; Left Center Back,1608.4166,900.0,True
313283,Tahar Ahmed Madeira El Khalej,CB,CB,1.0,109.3,Left Center Back,1015.96655,900.0,True
131244,Ismaël Kandouss,CB,CB,1.0,199.566664,Right Center Back,2149.25,900.0,True
523996,Fred Duval Ngoma,MID,MID,0.9163895031625127,175.65,Left Defensive Midfield; Center Defensive Midfield; Right Center Midfield,1765.4167,900.0,True
313974,Mohamed El Abdi,FB,FB,0.7389538357039722,179.43333,Left Back; Left Center Back,749.6667,900.0,False
