role_family,metric,cluster_id
GK,average_x_defensive_action,3
GK,goals_faced_90,1
GK,obv_pass_90,1
GK,p_pass_length,2
GK,pass_length,1
CB,aerial_ratio,3
CB,ball_recoveries_90,7
CB,blocks_per_shot,8
CB,clearance_90,9
CB,interceptions_90,4
CB,obv_defensive_action_90,1
CB,obv_pass_90,5
CB,op_f3_passes_90,6
CB,op_xgbuildup_90,2
FB,ball_recoveries_90,1
FB,box_cross_ratio,4
FB,counterpressures_90,2
FB,dribble_ratio,6
FB,key_passes_90,5
FB,obv_dribble_carry_90,3
FB,obv_pass_90,7
FB,op_f3_passes_90,3
MID,ball_recoveries_90,6
MID,counterpressures_90,7
MID,key_passes_90,1
MID,obv_dribble_carry_90,5
MID,obv_pass_90,4
MID,op_f3_passes_90,1
MID,op_passes_90,3
MID,through_balls_90,2
WINGER,crossing_ratio,5
WINGER,dribble_ratio,4
WINGER,key_passes_90,2
WINGER,np_shots_90,1
WINGER,np_xg_90,1
WINGER,obv_dribble_carry_90,6
WINGER,obv_pass_90,3
CF,aerial_ratio,3
CF,aerial_wins_90,4
CF,goals_90,1
CF,np_shots_90,2
CF,np_xg_90,1
CF,op_passes_into_and_touches_inside_box_90,1
CF,op_xgchain_90,1
