role_family,metric,normalization_method,normalized_skewness,normalized_kurtosis,normalized_outlier_pct,normalization_quality_score
GK,average_x_defensive_action,z_score,0.12749492547434332,-1.4246487192781534,0.0,0.8398192851134201
GK,average_x_defensive_action,robust_z_score,0.1274949254743428,-1.424648719278156,0.0,0.8398192851134209
GK,average_x_defensive_action,percentile_rank,2.68601390069819e-16,-1.2000000000000006,0.0,0.6000000000000005
GK,average_x_defensive_action,min_max,0.12749492547434255,-1.424648719278156,0.0,0.8398192851134205
GK,average_x_defensive_action,log_transform,-0.14151507623392043,-1.5806741037426892,0.0,0.9318521281052651
GK,average_x_defensive_action,quantile_transform,5.493647094746012e-11,3.677265602302522,16.666666666666664,2.671966134539531
GK,average_x_defensive_action,winsorized_z_score,-0.027760605369209435,-1.8317375705955046,0.0,0.9436293906669617
GK,goals_faced_90,z_score,-0.17584952708759402,-1.1517965234137253,0.0,0.7517477887944567
GK,goals_faced_90,robust_z_score,-0.1758495270875945,-1.1517965234137253,0.0,0.7517477887944571
GK,goals_faced_90,percentile_rank,3.348796551519821e-16,-1.2000000000000002,0.0,0.6000000000000004
GK,goals_faced_90,min_max,-0.1758495270875957,-1.1517965234137253,0.0,0.7517477887944584
GK,goals_faced_90,log_transform,-0.4524447863925681,-0.9575834923648165,0.0,0.9312365325749763
GK,goals_faced_90,quantile_transform,5.49364128877322e-11,3.677265602302522,16.666666666666664,2.671966134539531
GK,goals_faced_90,winsorized_z_score,-0.20731051252611324,-1.2341418874751469,0.0,0.8243814562636866
GK,obv_pass_90,z_score,0.8360852182306613,2.335786597443403,16.666666666666664,2.8373118502856958
GK,obv_pass_90,robust_z_score,0.8360852182306611,2.335786597443402,16.666666666666664,2.837311850285695
GK,obv_pass_90,percentile_rank,3.453446443754816e-16,-1.1999999999999997,0.0,0.6000000000000002
GK,obv_pass_90,min_max,0.8360852182306618,2.335786597443403,16.666666666666664,2.8373118502856967
GK,obv_pass_90,log_transform,0.7106026201062844,2.2089319316271245,16.666666666666664,2.64840191925318
GK,obv_pass_90,quantile_transform,5.493640037892902e-11,3.677265602302522,16.666666666666664,2.671966134539531
GK,obv_pass_90,winsorized_z_score,0.9042165386433744,0.3566835927995875,0.0,1.082558335043168
GK,p_pass_length,z_score,0.3455295703332512,-0.7554352260537263,0.0,0.7232471833601144
