role_family,component,explained_variance_ratio,cumulative_variance
GK,PC1,0.5637610478302597,0.5637610478302597
GK,PC2,0.21400044770868132,0.777761495538941
GK,PC3,0.11433500612469202,0.8920965016636331
GK,PC4,0.09715571795474338,0.9892522196183765
GK,PC5,0.010747780381623573,1.0
CB,PC1,0.2667020084654727,0.2667020084654727
CB,PC2,0.21959493850679868,0.4862969469722714
CB,PC3,0.14245595941821718,0.6287529063904885
CB,PC4,0.11560536293768443,0.744358269328173
CB,PC5,0.09739039332602728,0.8417486626542002
FB,PC1,0.300340132855603,0.300340132855603
FB,PC2,0.2558862252605365,0.5562263581161395
FB,PC3,0.16925608948772708,0.7254824476038666
FB,PC4,0.0981685487065139,0.8236509963103805
FB,PC5,0.06413032976795724,0.8877813260783378
MID,PC1,0.4408480504962457,0.4408480504962457
MID,PC2,0.19743128514990643,0.6382793356461521
MID,PC3,0.12117255279002435,0.7594518884361765
MID,PC4,0.08216614535051806,0.8416180337866945
MID,PC5,0.07335098046543988,0.9149690142521344
WINGER,PC1,0.361721977029293,0.361721977029293
WINGER,PC2,0.2196749062053314,0.5813968832346244
WINGER,PC3,0.15210308717133958,0.7334999704059639
WINGER,PC4,0.12654945936848894,0.8600494297744529
WINGER,PC5,0.0915314319907211,0.951580861765174
CF,PC1,0.5750393143855653,0.5750393143855653
CF,PC2,0.19032097268330278,0.765360287068868
CF,PC3,0.10473996935292561,0.8701002564217937
CF,PC4,0.07388343936225812,0.9439836957840518
CF,PC5,0.034349459205319136,0.978333154989371
