role_family,metric,normalized_variance,pca_pc1_abs_loading,mutual_information_to_pc1,information_gain_candidate_entropy,variance_contribution_candidate,note
GK,average_x_defensive_action,0.003585447983388566,0.03245446427533681,0.0,1.5545851693377997,0.20839062429952177,Unsupervised candidate signal only; not a final score weight.
GK,goals_faced_90,0.001512361752654361,0.43328497087114154,0.42301887926888004,1.5545851693377997,0.08790031573809227,Unsupervised candidate signal only; not a final score weight.
GK,obv_pass_90,1.788470503593876e-05,0.5102102132679988,0.2076749639249651,1.2806721295208872,0.0010394809421638098,Unsupervised candidate signal only; not a final score weight.
GK,p_pass_length,0.35068973819274474,0.4606409077487188,0.3147186147186154,1.5545851693377994,20.382516722039963,Unsupervised candidate signal only; not a final score weight.
GK,pass_length,0.6441945673661764,0.5819848229561092,0.7920995670995676,1.4833557549816874,37.44137655482739,Unsupervised candidate signal only; not a final score weight.
CB,aerial_ratio,0.0013466581896557101,0.3183289948195936,0.0,2.0162328109062857,0.007862001375218343,Unsupervised candidate signal only; not a final score weight.
CB,ball_recoveries_90,0.35728610314622283,0.22517925004627437,0.1412223580176868,2.1819011889093374,2.0858922151582937,Unsupervised candidate signal only; not a final score weight.
CB,blocks_per_shot,6.427439596467949e-05,0.15311886446597403,0.0,2.162292189082415,0.0003752439879304719,Unsupervised candidate signal only; not a final score weight.
CB,clearance_90,0.22147190308549186,0.16979496337947753,0.289113006584806,2.172878689342031,1.2929876489857632,Unsupervised candidate signal only; not a final score weight.
CB,interceptions_90,0.02009534393302712,0.38525494424607976,0.10705046214610103,2.1019011889093373,0.11731976447366856,Unsupervised candidate signal only; not a final score weight.
CB,obv_defensive_action_90,0.0006551585407426709,0.41963813422169616,0.20403937433470332,2.126428310992824,0.003824918147656906,Unsupervised candidate signal only; not a final score weight.
CB,obv_pass_90,0.00016352350821585303,0.1357648957102674,0.0,2.018830073557112,0.0009546758459934437,Unsupervised candidate signal only; not a final score weight.
CB,op_f3_passes_90,0.3973361536352646,0.37861085405593575,0.21717083764263712,1.956929658423764,2.3197106810771855,Unsupervised candidate signal only; not a final score weight.
CB,op_xgbuildup_90,0.0015808815654146757,0.5562278478160341,0.7504314822268114,2.1819011889093374,0.00922943411833786,Unsupervised candidate signal only; not a final score weight.
FB,ball_recoveries_90,0.215465810847464,0.011375626101591435,0.06348152397250484,1.8370206542387149,1.8022328543916502,Unsupervised candidate signal only; not a final score weight.
FB,box_cross_ratio,0.004422544002729489,0.28868117816905575,0.22243766445038493,1.913166303130589,0.03699173465322725,Unsupervised candidate signal only; not a final score weight.
FB,counterpressures_90,0.06386995986392689,0.20128717061476492,0.0,1.8370206542387149,0.5342311136170674,Unsupervised candidate signal only; not a final score weight.
FB,dribble_ratio,0.003262881340568499,0.42297456889111945,0.13537907087005263,1.897317260669707,0.027291902733083805,Unsupervised candidate signal only; not a final score weight.
FB,key_passes_90,0.007933819462290612,0.5424708051508761,0.4772976595277716,1.8820451081368619,0.06636129434880285,Unsupervised candidate signal only; not a final score weight.
FB,obv_dribble_carry_90,5.30803264577932e-05,0.37101501913712254,0.12998555134609835,1.6516598775783053,0.0004439827733588445,Unsupervised candidate signal only; not a final score weight.
FB,obv_pass_90,0.00035618394032644257,0.35821245468025537,0.12601213416935586,1.7349112826910291,0.0029792494546498267,Unsupervised candidate signal only; not a final score weight.
FB,op_f3_passes_90,0.7046357202162362,0.3699552404880654,0.18438984270691128,1.9726474141849653,5.893824362931732,Unsupervised candidate signal only; not a final score weight.
MID,ball_recoveries_90,0.05127433532900122,0.22374466219275943,0.0,1.965936655011607,4.965773848064274,Unsupervised candidate signal only; not a final score weight.
MID,counterpressures_90,0.009835222772158486,0.0797637965285114,0.0,2.0840595229579906,0.9525134108222516,Unsupervised candidate signal only; not a final score weight.
MID,key_passes_90,0.002085855278174792,0.48122856243143436,0.6423253389165458,1.6589797521242051,0.202009163546362,Unsupervised candidate signal only; not a final score weight.
MID,obv_dribble_carry_90,8.418508874557992e-06,0.19348563993657408,0.15405881843049363,1.9355697129622267,0.0008153086908048544,Unsupervised candidate signal only; not a final score weight.
MID,obv_pass_90,1.6851186296485246e-05,0.3777465164978585,0.4341910206037629,1.9224734155316094,0.0016319895652087725,Unsupervised candidate signal only; not a final score weight.
MID,op_f3_passes_90,0.1151720618090805,0.4966510025342382,0.8889617060500903,2.1266307677092087,11.154087300975544,Unsupervised candidate signal only; not a final score weight.
MID,op_passes_90,0.8214939922888703,0.32973749123310786,0.43065830220080237,2.1651614754770674,79.55936156119547,Unsupervised candidate signal only; not a final score weight.
MID,through_balls_90,0.00011326282754378098,0.4200916311626326,0.3895078709174167,1.701040701378016,0.01096918338123443,Unsupervised candidate signal only; not a final score weight.
WINGER,crossing_ratio,0.02051333881156903,0.3682246378324338,0.17217662597195504,1.9484930703645584,0.012734406693860363,Unsupervised candidate signal only; not a final score weight.
WINGER,dribble_ratio,0.036194604801318704,0.32511470346056226,0.14972058613975392,1.9846399546661782,0.022469127132224685,Unsupervised candidate signal only; not a final score weight.
WINGER,key_passes_90,0.42937465147661247,0.43828156957469533,0.2678735442927125,1.7411191885631823,0.2665500475648562,Unsupervised candidate signal only; not a final score weight.
WINGER,np_shots_90,0.495369706562991,0.4554762429872691,0.2690803888757176,2.2170148112524406,0.307518896125954,Unsupervised candidate signal only; not a final score weight.
WINGER,np_xg_90,0.009188591313220223,0.4849646527922353,0.4998634946588236,2.162292189082415,0.005704154735660451,Unsupervised candidate signal only; not a final score weight.
WINGER,obv_dribble_carry_90,0.0035932978684207434,0.012433921885855799,0.0,2.069275070710713,0.002230671313381934,Unsupervised candidate signal only; not a final score weight.
WINGER,obv_pass_90,0.005765809165867904,0.35187552722647575,0.04080910460443343,2.1306993328423074,0.003579337303976095,Unsupervised candidate signal only; not a final score weight.
CF,aerial_ratio,0.003261636986049166,0.298822928357185,0.06211568515607402,1.752664572199357,0.015452785728918408,Unsupervised candidate signal only; not a final score weight.
CF,aerial_wins_90,0.26832974189826625,0.1764147498833072,0.10935687705670882,1.8031333505578773,1.271276363367614,Unsupervised candidate signal only; not a final score weight.
CF,goals_90,0.008712193615403178,0.3890187505897152,0.42161641170225517,1.9196905740496968,0.04127610207497412,Unsupervised candidate signal only; not a final score weight.
CF,np_shots_90,0.09066878336857354,0.43949528899266316,0.6193797594656028,1.7646946861307393,0.4295650581867568,Unsupervised candidate signal only; not a final score weight.
CF,np_xg_90,0.0029860701240429946,0.4701271313512234,0.8909936253976507,1.8585552118703144,0.01414722177720168,Unsupervised candidate signal only; not a final score weight.
CF,op_passes_into_and_touches_inside_box_90,0.6209409722618012,0.38675281737673406,0.6065739229966651,1.5617677112802775,2.9418564468422557,Unsupervised candidate signal only; not a final score weight.
CF,op_xgchain_90,0.005100601745863827,0.4055782720673621,0.4968761267346977,1.749902506162897,0.02416532134155556,Unsupervised candidate signal only; not a final score weight.
