role,dimension_name,number_of_metrics,average_stability,explained_variance,bootstrap_stability,pca_contribution,redundancy_penalty,small_sample_penalty,raw_dimension_weight,adjusted_dimension_weight,confidence_level,warning_flags
CB,CB_D1,1,0.41885613518756476,0.2667020084654727,0.0,0.4196381342216961,0.0,0.2,0.23779350098244934,0.09131358190474322,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D2,1,0.7334218713338647,0.2667020084654727,0.0,0.5562278478160341,0.0,0.2,0.34060722037642893,0.13079442956468978,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D3,1,0.8812984000196331,0.2667020084654727,0.0,0.3183289948195936,0.0,0.2,0.32851781666172525,0.12615205392481232,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D4,1,0.7478055218520336,0.2667020084654727,0.0,0.3852549442460797,0.0,0.2,0.3098647157867986,0.11898919435344933,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D5,1,0.6784371845447976,0.2667020084654727,0.0,0.1357648957102674,0.0,0.2,0.24331830512589941,0.09343512708396923,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D6,1,0.6775817909216614,0.2667020084654727,0.0,0.3786108540559357,0.0,0.2,0.2916822023254804,0.11200704208551703,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D7,1,0.8657870950645493,0.2667020084654727,0.0,0.2251792500462743,0.0,0.2,0.30616515451784126,0.11756854917370793,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D8,1,0.7602058265245751,0.2667020084654727,0.0,0.153118864465974,0.0,0.2,0.26641357295218737,0.10230379515754866,low,single_metric_dimension;small_sample;unstable_weight
CB,CB_D9,1,0.8019989892260351,0.2667020084654727,0.0,0.1697949633794775,0.0,0.2,0.2797791517832385,0.10743622675156252,low,single_metric_dimension;small_sample;unstable_weight
CF,CF_D1,4,0.69882552309705,0.2900334188072646,0.0,0.4128692428462587,0.0,0.2,0.30829865787399663,0.2276288952196653,low,small_sample;unstable_weight
CF,CF_D2,1,0.7352972205437803,0.5750393143855653,0.0,0.4394952889926631,0.0,0.2,0.37937825360615296,0.2801097265043216,low,single_metric_dimension;small_sample;unstable_weight
CF,CF_D3,1,0.7643287890151275,0.5750393143855653,0.0,0.298822928357185,0.0,0.2,0.3582113579121807,0.264481383795097,low,single_metric_dimension;small_sample;unstable_weight
CF,CF_D4,1,0.659218719110932,0.5750393143855653,0.0,0.1764147498833072,0.0,0.2,0.3085033054403982,0.22777999448091615,low,single_metric_dimension;small_sample;unstable_weight
