role,latent_dimension,metric,equal_weight,pca_loading_weight,variance_contribution_weight,stability_adjusted_weight,entropy_weight,bootstrap_stability_weight,method_disagreement,shrinkage_to_equal,max_weight_cap,ensemble_candidate_weight,warning_flags
CB,CB_D1,obv_defensive_action_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D2,op_xgbuildup_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D3,aerial_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D4,interceptions_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D5,obv_pass_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D6,op_f3_passes_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D7,ball_recoveries_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D8,blocks_per_shot,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CB,CB_D9,clearance_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CF,CF_D1,goals_90,0.25,0.23555808366099046,0.01366104655807597,0.22145298468884433,0.2721241795346085,0.2469375382316557,0.0960090762665961,0.6451946580207524,0.4,0.2315312346992665,small_sample;wide_confidence_interval
CF,CF_D1,np_xg_90,0.25,0.2846707156666826,0.0046822700218815475,0.25165713510773724,0.22430469681934512,0.2437521995902945,0.10238172999031991,0.6451946580207524,0.4,0.23290313812913474,small_sample;wide_confidence_interval
CF,CF_D1,op_passes_into_and_touches_inside_box_90,0.25,0.23418601898661548,0.9736587484566531,0.26077525773588733,0.29355536172955077,0.2507058931055026,0.2928985372606237,0.6451946580207524,0.4,0.3041348706890016,small_sample;high_method_disagreement;wide_confidence_interval
CF,CF_D1,op_xgchain_90,0.25,0.24558518168571133,0.00799793496338924,0.26611462246753104,0.21001576191649565,0.2586043690725472,0.09909997252396499,0.6451946580207524,0.4,0.23143075648259717,small_sample;wide_confidence_interval
CF,CF_D2,np_shots_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CF,CF_D3,aerial_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
CF,CF_D4,aerial_wins_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
FB,FB_D1,ball_recoveries_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
FB,FB_D2,counterpressures_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
FB,FB_D3,obv_dribble_carry_90,0.5,0.500715129005038,7.532449276462893e-05,0.48471492958590207,0.4999999999999992,0.5096761994304136,0.20385232352432536,0.6499999999999999,0.6,0.4646627107759882,small_sample;high_method_disagreement
FB,FB_D3,op_f3_passes_90,0.5,0.4992848709949619,0.9999246755072354,0.515285070414098,0.5000000000000008,0.4903238005695863,0.20385232352432536,0.6499999999999999,0.6,0.5353372892240118,small_sample;high_method_disagreement
FB,FB_D4,box_cross_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
FB,FB_D5,key_passes_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
FB,FB_D6,dribble_ratio,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
FB,FB_D7,obv_pass_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
GK,GK_D1,goals_faced_90,0.3333333333333333,0.28403189085131525,0.0023421149695306964,0.31613530497804165,0.33673009227946427,0.3244354007849045,0.130617938000939,0.6499999999999999,0.4,0.3051239029370946,small_sample;wide_confidence_interval
GK,GK_D1,obv_pass_90,0.3333333333333333,0.33445880043981574,2.7697100456816486e-05,0.29264262322657336,0.33673009227946427,0.3389691461841626,0.13470701224605303,0.6499999999999999,0.4,0.3078646518127998,small_sample;wide_confidence_interval
GK,GK_D1,pass_length,0.3333333333333333,0.381509308708869,0.9976301879300125,0.3912220717953849,0.32653981544107147,0.33659545303093297,0.26420234038194185,0.6499999999999999,0.4,0.3870114452501056,small_sample;high_method_disagreement;wide_confidence_interval
GK,GK_D2,p_pass_length,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
GK,GK_D3,average_x_defensive_action,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.35,1.0,1.0,small_sample;single_metric_dimension
MID,MID_D1,key_passes_90,0.5,0.49211434584823066,0.017788609332217212,0.4569006991307535,0.4977408152913959,0.5023638984944798,0.19343929409372632,0.4,0.6,0.43602900417164925,high_method_disagreement
MID,MID_D1,op_f3_passes_90,0.5,0.5078856541517693,0.9822113906677827,0.5430993008692465,0.5022591847086041,0.4976361015055201,0.1934392940937263,0.4,0.6,0.5639709958283508,high_method_disagreement
MID,MID_D2,through_balls_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension
MID,MID_D4,obv_pass_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension
MID,MID_D5,obv_dribble_carry_90,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.1,1.0,1.0,single_metric_dimension
