role,latent_dimension,player_id,player_name,team_id,team_name,minutes,dimension_score,number_of_available_metrics,missing_metric_count,confidence_flag,single_metric_dimension_warning,dimension_percentile,dimension_rank_within_role
CB,CB_D1,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,51.227151902245815,1,0,low,True,52.0,13.0
CB,CB_D1,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,48.342249275306735,1,0,low,True,48.0,14.0
CB,CB_D1,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,38.78193112223114,1,0,low,True,32.0,18.0
CB,CB_D1,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,54.87612189068648,2,0,low,True,64.0,10.0
CB,CB_D1,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,26.428899827887186,1,0,low,True,20.0,21.0
CB,CB_D1,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,46.73997536012383,1,0,low,True,44.0,15.0
CB,CB_D1,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,79.00437582565473,1,0,low,True,84.0,5.0
CB,CB_D1,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,70.01745784706105,1,0,low,True,76.0,7.0
CB,CB_D1,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,94.36608676136503,1,0,low,True,92.0,3.0
CB,CB_D1,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,41.23169763829683,1,0,low,True,36.0,17.0
CB,CB_D1,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,37.621128228639954,1,0,low,True,28.000000000000004,19.0
CB,CB_D1,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,53.85600856718228,1,0,low,True,56.00000000000001,12.0
CB,CB_D1,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,34.32309583387007,1,0,low,True,24.0,20.0
CB,CB_D1,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,0.0,1,0,low,True,6.0,24.0
CB,CB_D1,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,100.0,1,0,low,True,98.0,1.0
CB,CB_D1,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,78.53872085100114,1,0,low,True,80.0,6.0
CB,CB_D1,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,84.43700559330185,1,0,low,True,88.0,4.0
CB,CB_D1,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,56.53879079286121,1,0,low,True,68.0,9.0
CB,CB_D1,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,100.0,1,0,low,True,98.0,1.0
CB,CB_D1,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,41.24453753112577,1,0,low,True,40.0,16.0
CB,CB_D1,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,25.786099435923106,1,0,low,True,16.0,22.0
CB,CB_D1,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,25.503680523018062,1,0,low,True,12.0,23.0
CB,CB_D1,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,57.17712492109699,1,0,low,True,72.0,8.0
CB,CB_D1,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,54.79814689241316,1,0,low,True,60.0,11.0
CB,CB_D1,7378,Yunis Abdelhamid,2838,FAR Rabat,937.7833,0.0,1,0,low,True,6.0,24.0
CB,CB_D2,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,72.34642180804613,1,0,low,True,76.0,7.0
CB,CB_D2,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,40.97237999922151,1,0,low,True,40.0,16.0
CB,CB_D2,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,100.0,1,0,low,True,100.0,1.0
CB,CB_D2,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,32.2455869685154,2,0,low,True,24.0,20.0
CB,CB_D2,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,84.73791530431957,1,0,low,True,92.0,3.0
CB,CB_D2,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,48.530902220710374,1,0,low,True,48.0,14.0
CB,CB_D2,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,53.70065511125552,1,0,low,True,64.0,10.0
CB,CB_D2,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,24.68619741424828,1,0,low,True,16.0,22.0
CB,CB_D2,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,14.466433798392938,1,0,low,True,8.0,24.0
CB,CB_D2,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,38.56848258649634,1,0,low,True,36.0,17.0
CB,CB_D2,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,55.75052209202358,1,0,low,True,68.0,9.0
CB,CB_D2,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,38.305405746735445,1,0,low,True,32.0,18.0
CB,CB_D2,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,75.71249007855918,1,0,low,True,80.0,6.0
CB,CB_D2,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,52.48477619429608,1,0,low,True,56.00000000000001,12.0
CB,CB_D2,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,22.251401271298302,1,0,low,True,12.0,23.0
CB,CB_D2,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,47.64893849045173,1,0,low,True,44.0,15.0
CB,CB_D2,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,34.86986623613114,1,0,low,True,28.000000000000004,19.0
CB,CB_D2,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,56.543063283984196,1,0,low,True,72.0,8.0
CB,CB_D2,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,11.711985862052625,1,0,low,True,4.0,25.0
CB,CB_D2,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,28.395494121599203,1,0,low,True,20.0,21.0
CB,CB_D2,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,85.2955573945831,1,0,low,True,96.0,2.0
CB,CB_D2,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,52.5808174336427,1,0,low,True,60.0,11.0
CB,CB_D2,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,52.47419896529315,1,0,low,True,52.0,13.0
CB,CB_D2,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,79.49109672325906,1,0,low,True,88.0,4.0
CB,CB_D2,7378,Yunis Abdelhamid,2838,FAR Rabat,937.7833,76.56580009544892,1,0,low,True,84.0,5.0
CB,CB_D3,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,88.90080198996442,1,0,low,True,84.0,5.0
CB,CB_D3,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,53.04713299309517,1,0,low,True,56.00000000000001,12.0
CB,CB_D3,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,58.21301326022555,1,0,low,True,64.0,10.0
CB,CB_D3,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,14.667410044173774,2,0,low,True,16.0,22.0
CB,CB_D3,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,67.84668186649577,1,0,low,True,72.0,8.0
CB,CB_D3,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,5.133593515460849,1,0,low,True,12.0,23.0
CB,CB_D3,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,71.18995344934224,1,0,low,True,76.0,7.0
CB,CB_D3,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,18.823176223356374,1,0,low,True,24.0,20.0
CB,CB_D3,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,38.16715178886092,1,0,low,True,32.0,18.0
CB,CB_D3,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,49.44461122785954,1,0,low,True,48.0,14.0
CB,CB_D3,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,48.157996311703926,1,0,low,True,44.0,15.0
CB,CB_D3,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,57.46312741499695,1,0,low,True,60.0,11.0
CB,CB_D3,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,89.55268688081658,1,0,low,True,92.0,3.0
CB,CB_D3,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,43.92074452116485,1,0,low,True,40.0,16.0
CB,CB_D3,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,65.49220818209113,1,0,low,True,68.0,9.0
CB,CB_D3,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,49.935864195846186,1,0,low,True,52.0,13.0
CB,CB_D3,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,0.0,1,0,low,True,6.0,24.0
CB,CB_D3,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,18.20092246390655,1,0,low,True,20.0,21.0
CB,CB_D3,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,0.0,1,0,low,True,6.0,24.0
CB,CB_D3,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,89.36643405485881,1,0,low,True,88.0,4.0
CB,CB_D3,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,100.0,1,0,low,True,98.0,1.0
CB,CB_D3,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,27.217731657443235,1,0,low,True,28.000000000000004,19.0
CB,CB_D3,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,83.73068044182655,1,0,low,True,80.0,6.0
CB,CB_D3,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,42.09546682677877,1,0,low,True,36.0,17.0
CB,CB_D3,7378,Yunis Abdelhamid,2838,FAR Rabat,937.7833,100.0,1,0,low,True,98.0,1.0
CB,CB_D4,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,24.56730533358632,1,0,low,True,28.000000000000004,19.0
CB,CB_D4,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,16.689961388361727,1,0,low,True,20.0,21.0
CB,CB_D4,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,100.0,1,0,low,True,100.0,1.0
CB,CB_D4,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,0.8392557471265818,2,0,low,True,4.0,25.0
CB,CB_D4,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,67.59143980291627,1,0,low,True,84.0,5.0
CB,CB_D4,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,27.38833398418648,1,0,low,True,36.0,17.0
CB,CB_D4,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,15.132700103247974,1,0,low,True,12.0,23.0
CB,CB_D4,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,53.50802886515944,1,0,low,True,68.0,9.0
CB,CB_D4,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,36.67430155164273,1,0,low,True,40.0,16.0
CB,CB_D4,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,10.934210905323265,1,0,low,True,8.0,24.0
CB,CB_D4,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,60.76514235068131,1,0,low,True,76.0,7.0
CB,CB_D4,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,38.043947525456026,1,0,low,True,44.0,15.0
CB,CB_D4,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,52.18600751273949,1,0,low,True,64.0,10.0
CB,CB_D4,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,59.69283277405864,1,0,low,True,72.0,8.0
CB,CB_D4,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,16.423639752351107,1,0,low,True,16.0,22.0
CB,CB_D4,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,41.32006141054798,1,0,low,True,48.0,14.0
CB,CB_D4,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,72.3454721765566,1,0,low,True,92.0,3.0
CB,CB_D4,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,70.58547757846523,1,0,low,True,88.0,4.0
CB,CB_D4,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,44.73018534838388,1,0,low,True,56.00000000000001,12.0
CB,CB_D4,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,49.37736908038952,1,0,low,True,60.0,11.0
CB,CB_D4,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,27.061103972753358,1,0,low,True,32.0,18.0
CB,CB_D4,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,65.03210448347336,1,0,low,True,80.0,6.0
CB,CB_D4,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,22.453127857109145,1,0,low,True,24.0,20.0
CB,CB_D4,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,43.44826801872203,1,0,low,True,52.0,13.0
CB,CB_D4,7378,Yunis Abdelhamid,2838,FAR Rabat,937.7833,98.73683106058773,1,0,low,True,96.0,2.0
CB,CB_D5,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,35.44062588331276,1,0,low,True,20.0,21.0
CB,CB_D5,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,52.284495685971635,1,0,low,True,52.0,13.0
CB,CB_D5,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,64.46847127501897,1,0,low,True,68.0,9.0
CB,CB_D5,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,60.78611776926654,2,0,low,True,64.0,10.0
CB,CB_D5,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,51.59806711686331,1,0,low,True,44.0,15.0
CB,CB_D5,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,59.99552699259151,1,0,low,True,60.0,11.0
CB,CB_D5,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,79.88550694967289,1,0,low,True,80.0,6.0
CB,CB_D5,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,100.0,1,0,low,True,98.0,1.0
CB,CB_D5,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,0.0,1,0,low,True,6.0,24.0
CB,CB_D5,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,44.509700746046136,1,0,low,True,36.0,17.0
CB,CB_D5,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,50.779534641786626,1,0,low,True,40.0,16.0
CB,CB_D5,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,71.10150516594084,1,0,low,True,76.0,7.0
CB,CB_D5,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,100.0,1,0,low,True,98.0,1.0
CB,CB_D5,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,66.0978390542443,1,0,low,True,72.0,8.0
CB,CB_D5,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,35.09218055257844,1,0,low,True,16.0,22.0
CB,CB_D5,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,88.27179351276362,1,0,low,True,88.0,4.0
CB,CB_D5,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,98.15376790181088,1,0,low,True,92.0,3.0
CB,CB_D5,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,35.4466670472642,1,0,low,True,24.0,20.0
CB,CB_D5,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,41.26578823860761,1,0,low,True,32.0,18.0
CB,CB_D5,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,12.032165568292948,1,0,low,True,12.0,23.0
CB,CB_D5,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,52.22188936376783,1,0,low,True,48.0,14.0
CB,CB_D5,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,36.08928507856308,1,0,low,True,28.000000000000004,19.0
CB,CB_D5,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,59.70491144551352,1,0,low,True,56.00000000000001,12.0
CB,CB_D5,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,87.3549653453054,1,0,low,True,84.0,5.0
CB,CB_D5,7378,Yunis Abdelhamid,2838,FAR Rabat,937.7833,0.0,1,0,low,True,6.0,24.0
CB,CB_D6,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,76.92307692307693,1,0,low,True,76.0,7.0
CB,CB_D6,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,23.076923076923077,1,0,low,True,24.0,20.0
CB,CB_D6,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,84.61538461538461,1,0,low,True,84.0,5.0
CB,CB_D6,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,50.0,2,0,low,True,50.0,13.0
CB,CB_D6,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,57.692307692307686,1,0,low,True,56.00000000000001,12.0
CB,CB_D6,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,26.923076923076923,1,0,low,True,28.000000000000004,19.0
CB,CB_D6,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,69.23076923076923,1,0,low,True,68.0,9.0
CB,CB_D6,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,96.15384615384616,1,0,low,True,96.0,2.0
CB,CB_D6,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,11.538461538461538,1,0,low,True,12.0,23.0
CB,CB_D6,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,30.76923076923077,1,0,low,True,32.0,18.0
CB,CB_D6,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,100.0,1,0,low,True,100.0,1.0
CB,CB_D6,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,61.53846153846154,1,0,low,True,60.0,11.0
CB,CB_D6,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,88.46153846153845,1,0,low,True,88.0,4.0
CB,CB_D6,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,3.8461538461538463,1,0,low,True,4.0,25.0
CB,CB_D6,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,38.46153846153847,1,0,low,True,40.0,16.0
CB,CB_D6,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,42.30769230769231,1,0,low,True,44.0,15.0
CB,CB_D6,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,34.61538461538461,1,0,low,True,36.0,17.0
CB,CB_D6,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,50.0,1,0,low,True,50.0,13.0
CB,CB_D6,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,15.384615384615385,1,0,low,True,16.0,22.0
CB,CB_D6,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,7.6923076923076925,1,0,low,True,8.0,24.0
CB,CB_D6,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,80.76923076923077,1,0,low,True,80.0,6.0
CB,CB_D6,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,73.07692307692307,1,0,low,True,72.0,8.0
CB,CB_D6,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,65.38461538461539,1,0,low,True,64.0,10.0
CB,CB_D6,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,92.3076923076923,1,0,low,True,92.0,3.0
CB,CB_D6,7378,Yunis Abdelhamid,2838,FAR Rabat,937.7833,19.230769230769234,1,0,low,True,20.0,21.0
CB,CB_D7,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,74.96584323449802,1,0,low,True,76.0,7.0
CB,CB_D7,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,53.65771361204874,1,0,low,True,60.0,11.0
CB,CB_D7,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,58.800847276924706,1,0,low,True,64.0,10.0
CB,CB_D7,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,28.584943687060687,2,0,low,True,20.0,21.0
CB,CB_D7,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,33.309506420686816,1,0,low,True,24.0,20.0
CB,CB_D7,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,25.70725158346964,1,0,low,True,16.0,22.0
CB,CB_D7,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,51.77730270665043,1,0,low,True,56.00000000000001,12.0
CB,CB_D7,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,78.575156571544,1,0,low,True,88.0,4.0
CB,CB_D7,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,22.46612649878031,1,0,low,True,12.0,23.0
CB,CB_D7,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,48.73462499466929,1,0,low,True,48.0,14.0
CB,CB_D7,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,81.92766741722036,1,0,low,True,92.0,3.0
CB,CB_D7,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,73.18362466581506,1,0,low,True,72.0,8.0
CB,CB_D7,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,63.073311294331305,1,0,low,True,68.0,9.0
CB,CB_D7,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,37.272137304398214,1,0,low,True,28.000000000000004,19.0
CB,CB_D7,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,44.82084939315423,1,0,low,True,40.0,16.0
CB,CB_D7,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,78.42131060985777,1,0,low,True,84.0,5.0
CB,CB_D7,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,100.0,1,0,low,True,100.0,1.0
CB,CB_D7,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,51.76395582897225,1,0,low,True,52.0,13.0
CB,CB_D7,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,10.155332318518603,1,0,low,True,4.0,25.0
CB,CB_D7,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,76.40930448670997,1,0,low,True,80.0,6.0
CB,CB_D7,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,16.23179636661589,1,0,low,True,8.0,24.0
CB,CB_D7,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,41.27236427269242,1,0,low,True,32.0,18.0
CB,CB_D7,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,90.1595148160156,1,0,low,True,96.0,2.0
CB,CB_D7,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,42.89757859446316,1,0,low,True,36.0,17.0
