role,player_id,player_name,team_id,team_name,minutes,prototype_role_score,confidence_level,score_uncertainty,bootstrap_lower_bound,bootstrap_upper_bound,data_quality_warning,single_metric_dimension_warning,small_sample_warning,role_rank,role_percentile
CB,131244,Ismaël Kandouss,2762,RSB Berkane,2149.25,57.62348748861237,low,28.86743144820548,42.75441548343122,71.6218469316367,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,6.0,80.0
CB,138871,Karim El Bounagat,25917,CODM Meknès,2001.0168,42.375156008408055,low,18.585640583378407,32.26939064721873,50.855031230597135,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,21.0,20.0
CB,138918,Marwan Louadni,2838,FAR Rabat,1607.0668,67.20775450326752,low,31.837406389296966,50.3123165024522,82.14972289174916,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,2.0,96.0
CB,138958,Mouad Bahsain,6992,Hassania Agadir,1506.3167,35.449185570962634,low,25.627972218737455,23.485344055522887,49.11331627426034,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,23.0,12.0
CB,138998,Abdellah Khafifi,2349,Raja Casablanca,1950.3999,54.03924387991279,low,25.444246086793235,41.94977697984492,67.39402306663816,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,13.0,52.0
CB,139023,Amine Aboulfath,6994,Wydad Casablanca,1608.4166,39.368541024207225,low,24.66535469213172,26.355425763979966,51.02078045611169,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,22.0,16.0
CB,139556,Bilal El Ouadghiri,2839,Ittihad Tanger,1500.8333,59.605614965569465,low,24.749600827476414,45.650286821030434,70.39988764850685,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,3.0,92.0
CB,157113,Badr Gaddarine,2839,Ittihad Tanger,1892.25,55.1673296857255,low,40.10019618475207,35.94651727617016,76.04671346092223,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,9.0,68.0
CB,202502,Soulaimane El Amrani,6992,Hassania Agadir,1117.3333,33.33627865745442,low,33.45949759318002,16.284662442431777,49.7441600356118,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,24.0,8.0
CB,313283,Tahar Ahmed Madeira El Khalej,11935,UTS Rabat,1015.96655,43.37933056215727,low,23.53936294575393,32.62507450255048,56.16443744830441,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,20.0,24.0
CB,314452,Zouhair Marour,36100,US Yacoub El Mansour,2187.6167,54.22863132188184,low,30.056445573641696,39.37052876705532,69.42697434069702,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,12.0,56.00000000000001
CB,314466,Mohamed Saoud,2839,Ittihad Tanger,2195.433,54.759477665908584,low,22.489761740466562,42.75953765277461,65.24929939324117,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,11.0,60.0
CB,3252,Oussama Haddadi,2762,RSB Berkane,1504.85,58.86389384557369,low,41.670571491537586,35.344086476402964,77.01465796794055,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,4.0,88.0
CB,338916,Johnstone Omurwa,36099,KAC Marrakech,1145.9666,48.188940746842086,low,36.081465970359034,28.769817788086986,64.85128375844602,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,17.0,36.0
CB,363239,Bilal Soufi,18552,Renaissance Zemamra,1606.9667,51.183949736607765,low,34.763661990727925,34.75369324147758,69.5173552322055,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,15.0,44.0
CB,407555,James Monday Ajako,18552,Renaissance Zemamra,1626.8003,55.027065073459454,low,22.955892778107405,44.81049831505411,67.76639109316152,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,10.0,64.0
CB,409303,Faraji Karmoune,6989,Olympic Safi,1912.9167,56.66319537961723,low,47.052871324621684,33.214240863635816,80.2671121882575,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,8.0,72.0
CB,419744,Driss El Jabali,6995,Maghreb Fès,1346.0168,52.4345938473122,low,26.992307773928268,40.83280991740549,67.82511769133376,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,14.0,48.0
CB,442093,Yassine Fatine,2365,Difaâ El Jadida,1008.3,31.604164816877102,low,32.8082715480964,17.98512547077964,50.793397018876036,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,25.0,4.0
CB,477678,Cheick Keita,2889,Olympique Dcheïra,1643.9834,48.06390819689062,low,38.987761655357986,26.89479366232737,65.88255531768536,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,18.0,32.0
CB,49760,Adil Rhaili,6995,Maghreb Fès,1269.3834,57.4892418344554,low,41.83251275437458,34.04071544731531,75.87322820168988,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,7.0,76.0
CB,523290,Achraf Zine,36100,US Yacoub El Mansour,1219.8333,50.16834912306648,low,23.12870476690471,38.47467172504363,61.60337649194834,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,16.0,40.0
CB,524512,Reda Ait Boughima,18552,Renaissance Zemamra,1352.4501,67.2078232699728,low,30.970817458298,50.73678228835979,81.70759974665779,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,1.0,100.0
CB,67700,Badr Banoun,2349,Raja Casablanca,1769.8834,58.10544095607193,low,26.174656258832954,44.270714352162344,70.4453706109953,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,5.0,84.0
CB,7378,Yunis Abdelhamid,2838,FAR Rabat,937.7833,47.64963119461793,low,48.65492724558577,22.9354944520345,71.59042169762027,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,19.0,28.000000000000004
CF,138876,Hamza Khaba,2838,FAR Rabat,808.81665,66.47425015492958,low,15.672333717171647,59.895963761195794,75.56829747836744,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,3.0,90.9090909090909
CF,139566,Youssef Elfahli,2838,FAR Rabat,1451.0833,48.36876489868084,low,41.19132485939099,28.09809052913822,69.2894153885292,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,13.0,45.45454545454545
CF,140867,Ismail Khafi,2349,Raja Casablanca,1004.94995,50.60785206930373,low,15.052499318546268,41.24765697552363,56.3001562940699,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,11.0,54.54545454545454
CF,140886,Mustapha Sahd,25917,CODM Meknès,886.8334,75.92856395929778,low,36.25984018288599,56.85269339162232,93.1125335745083,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,1.0,100.0
CF,140887,Haytham El Bahja,2839,Ittihad Tanger,1497.5667,38.138004910882614,low,24.05738351934538,23.333714277956133,47.39109779730151,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,18.0,22.727272727272727
CF,143504,Oussama Lamlaoui,2762,RSB Berkane,813.4167,49.86445433449164,low,86.91895667641171,3.1376585688392837,90.056615245251,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,12.0,50.0
CF,155347,Ayoub Mouloua,2761,FUS Rabat,1735.4165,51.98861374325399,low,12.079190950886442,45.42094029038208,57.50013124126852,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,10.0,59.09090909090909
CF,155705,Soufiane Benjdida,6995,Maghreb Fès,2024.9166,52.75066400365881,low,72.23150113751376,16.16751869797655,88.39901983549031,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,8.0,68.18181818181817
CF,312936,Hamza Hannouri,6994,Wydad Casablanca,1161.1166,58.76054835869575,low,22.491318466640188,45.18802327987412,67.67934174651431,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,5.0,81.81818181818183
CF,3319,Yacine Bammou,11935,UTS Rabat,1178.8168,61.068254516203794,low,43.387011036416276,37.33540067321439,80.72241170963066,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,4.0,86.36363636363636
CF,335508,Paul Valère Bassène,2762,RSB Berkane,1335.15,55.99167694236434,low,24.614270356526973,43.18629422755501,67.80056458408198,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,6.0,77.27272727272727
CF,360406,Imad Khannouss,6989,Olympic Safi,823.43335,20.9537940655467,low,11.445078738086393,13.72597314044519,25.171051878531582,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,22.0,4.545454545454546
CF,38423,Siriki Sanogo,2839,Ittihad Tanger,1153.7667,38.49002372177697,low,77.70689413685672,0.0,77.70689413685672,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,17.0,27.27272727272727
CF,406860,Abdelaziz El Hamzaoui,18552,Renaissance Zemamra,850.13336,39.68066401505422,low,47.21235531720771,16.439844914948697,63.65220023215641,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,16.0,31.818181818181817
CF,409301,Jawad Ghabra,2839,Ittihad Tanger,1463.6833,47.78203037222179,low,10.032594588130507,42.60520170098687,52.637796289117375,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,True,True,14.0,40.909090909090914
CF,442295,Reda Abardi,2889,Olympique Dcheïra,1312.8335,52.71189778852511,low,23.846508761640344,41.627131402848526,65.47364016448887,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,9.0,63.63636363636363
CF,453613,Baba Bello Ilou,6992,Hassania Agadir,1744.35,66.62200976391712,low,21.77466665643221,55.605115108000355,77.37978176443256,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,2.0,95.45454545454545
CF,477684,Brahim Amzili,2889,Olympique Dcheïra,1496.7002,35.183434486280916,low,46.37025225779159,12.357150198854013,58.727402456645606,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,19.0,18.181818181818183
CF,503286,Mehdi Balouk,36100,US Yacoub El Mansour,1433.7333,29.398930048887927,low,36.40110899797553,9.884641096678966,46.28575009465449,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,20.0,13.636363636363635
CF,522342,Younes El Bahraoui,36099,KAC Marrakech,969.3167,39.821111100691645,low,27.714266902053446,26.006294464885514,53.72056136693896,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,True,True,15.0,36.36363636363637
