scope,role,entity,flag
metric_weight,CB,obv_defensive_action_90,small_sample
metric_weight,CB,obv_defensive_action_90,single_metric_dimension
metric_weight,CB,op_xgbuildup_90,small_sample
metric_weight,CB,op_xgbuildup_90,single_metric_dimension
metric_weight,CB,aerial_ratio,small_sample
metric_weight,CB,aerial_ratio,single_metric_dimension
metric_weight,CB,interceptions_90,small_sample
metric_weight,CB,interceptions_90,single_metric_dimension
metric_weight,CB,obv_pass_90,small_sample
metric_weight,CB,obv_pass_90,single_metric_dimension
metric_weight,CB,op_f3_passes_90,small_sample
metric_weight,CB,op_f3_passes_90,single_metric_dimension
metric_weight,CB,ball_recoveries_90,small_sample
metric_weight,CB,ball_recoveries_90,single_metric_dimension
metric_weight,CB,blocks_per_shot,small_sample
metric_weight,CB,blocks_per_shot,single_metric_dimension
metric_weight,CB,clearance_90,small_sample
metric_weight,CB,clearance_90,single_metric_dimension
metric_weight,CF,goals_90,small_sample
metric_weight,CF,goals_90,wide_confidence_interval
metric_weight,CF,np_xg_90,small_sample
metric_weight,CF,np_xg_90,wide_confidence_interval
metric_weight,CF,op_passes_into_and_touches_inside_box_90,small_sample
metric_weight,CF,op_passes_into_and_touches_inside_box_90,high_method_disagreement
metric_weight,CF,op_passes_into_and_touches_inside_box_90,wide_confidence_interval
metric_weight,CF,op_xgchain_90,small_sample
metric_weight,CF,op_xgchain_90,wide_confidence_interval
metric_weight,CF,np_shots_90,small_sample
metric_weight,CF,np_shots_90,single_metric_dimension
metric_weight,CF,aerial_ratio,small_sample
metric_weight,CF,aerial_ratio,single_metric_dimension
metric_weight,CF,aerial_wins_90,small_sample
metric_weight,CF,aerial_wins_90,single_metric_dimension
metric_weight,FB,ball_recoveries_90,small_sample
metric_weight,FB,ball_recoveries_90,single_metric_dimension
metric_weight,FB,counterpressures_90,small_sample
metric_weight,FB,counterpressures_90,single_metric_dimension
metric_weight,FB,obv_dribble_carry_90,small_sample
metric_weight,FB,obv_dribble_carry_90,high_method_disagreement
metric_weight,FB,op_f3_passes_90,small_sample
metric_weight,FB,op_f3_passes_90,high_method_disagreement
metric_weight,FB,box_cross_ratio,small_sample
metric_weight,FB,box_cross_ratio,single_metric_dimension
metric_weight,FB,key_passes_90,small_sample
metric_weight,FB,key_passes_90,single_metric_dimension
metric_weight,FB,dribble_ratio,small_sample
metric_weight,FB,dribble_ratio,single_metric_dimension
metric_weight,FB,obv_pass_90,small_sample
metric_weight,FB,obv_pass_90,single_metric_dimension
metric_weight,GK,goals_faced_90,small_sample
metric_weight,GK,goals_faced_90,wide_confidence_interval
metric_weight,GK,obv_pass_90,small_sample
metric_weight,GK,obv_pass_90,wide_confidence_interval
metric_weight,GK,pass_length,small_sample
metric_weight,GK,pass_length,high_method_disagreement
metric_weight,GK,pass_length,wide_confidence_interval
metric_weight,GK,p_pass_length,small_sample
metric_weight,GK,p_pass_length,single_metric_dimension
metric_weight,GK,average_x_defensive_action,small_sample
metric_weight,GK,average_x_defensive_action,single_metric_dimension
metric_weight,MID,key_passes_90,high_method_disagreement
metric_weight,MID,op_f3_passes_90,high_method_disagreement
metric_weight,MID,through_balls_90,single_metric_dimension
metric_weight,MID,obv_pass_90,single_metric_dimension
metric_weight,MID,obv_dribble_carry_90,single_metric_dimension
metric_weight,MID,ball_recoveries_90,single_metric_dimension
metric_weight,MID,counterpressures_90,single_metric_dimension
metric_weight,WINGER,np_shots_90,small_sample
metric_weight,WINGER,np_shots_90,high_method_disagreement
metric_weight,WINGER,np_xg_90,small_sample
metric_weight,WINGER,np_xg_90,high_method_disagreement
metric_weight,WINGER,key_passes_90,small_sample
metric_weight,WINGER,key_passes_90,single_metric_dimension
metric_weight,WINGER,obv_pass_90,small_sample
metric_weight,WINGER,obv_pass_90,single_metric_dimension
metric_weight,WINGER,dribble_ratio,small_sample
