role,method_a,method_b,spearman_rank_correlation
CB,ensemble_candidate,ensemble_candidate,1.0
CB,ensemble_candidate,entropy,1.0
CB,ensemble_candidate,equal,1.0
CB,ensemble_candidate,pca_loading,1.0
CB,ensemble_candidate,stability_adjusted,1.0
CB,entropy,ensemble_candidate,1.0
CB,entropy,entropy,1.0
CB,entropy,equal,1.0
CB,entropy,pca_loading,1.0
CB,entropy,stability_adjusted,1.0
CB,equal,ensemble_candidate,1.0
CB,equal,entropy,1.0
CB,equal,equal,1.0
CB,equal,pca_loading,1.0
CB,equal,stability_adjusted,1.0
CB,pca_loading,ensemble_candidate,1.0
CB,pca_loading,entropy,1.0
CB,pca_loading,equal,1.0
CB,pca_loading,pca_loading,1.0
CB,pca_loading,stability_adjusted,1.0
CB,stability_adjusted,ensemble_candidate,1.0
CB,stability_adjusted,entropy,1.0
CB,stability_adjusted,equal,1.0
CB,stability_adjusted,pca_loading,1.0
CB,stability_adjusted,stability_adjusted,1.0
CF,ensemble_candidate,ensemble_candidate,1.0
CF,ensemble_candidate,entropy,1.0
CF,ensemble_candidate,equal,0.9988706945228685
CF,ensemble_candidate,pca_loading,0.9988706945228685
CF,ensemble_candidate,stability_adjusted,0.9977413890457368
CF,entropy,ensemble_candidate,1.0
CF,entropy,entropy,1.0
CF,entropy,equal,0.9988706945228685
CF,entropy,pca_loading,0.9988706945228685
CF,entropy,stability_adjusted,0.9977413890457368
CF,equal,ensemble_candidate,0.9988706945228685
CF,equal,entropy,0.9988706945228685
CF,equal,equal,1.0
CF,equal,pca_loading,1.0
CF,equal,stability_adjusted,0.9988706945228685
CF,pca_loading,ensemble_candidate,0.9988706945228685
CF,pca_loading,entropy,0.9988706945228685
CF,pca_loading,equal,1.0
CF,pca_loading,pca_loading,1.0
CF,pca_loading,stability_adjusted,0.9988706945228685
CF,stability_adjusted,ensemble_candidate,0.9977413890457368
CF,stability_adjusted,entropy,0.9977413890457368
CF,stability_adjusted,equal,0.9988706945228685
CF,stability_adjusted,pca_loading,0.9988706945228685
CF,stability_adjusted,stability_adjusted,1.0
FB,ensemble_candidate,ensemble_candidate,1.0
FB,ensemble_candidate,entropy,0.9990118577075099
FB,ensemble_candidate,equal,0.9990118577075099
FB,ensemble_candidate,pca_loading,0.9990118577075099
FB,ensemble_candidate,stability_adjusted,0.9990118577075099
FB,entropy,ensemble_candidate,0.9990118577075099
FB,entropy,entropy,1.0
FB,entropy,equal,1.0
FB,entropy,pca_loading,1.0
FB,entropy,stability_adjusted,1.0
FB,equal,ensemble_candidate,0.9990118577075099
FB,equal,entropy,1.0
FB,equal,equal,1.0
FB,equal,pca_loading,1.0
FB,equal,stability_adjusted,1.0
FB,pca_loading,ensemble_candidate,0.9990118577075099
FB,pca_loading,entropy,1.0
FB,pca_loading,equal,1.0
FB,pca_loading,pca_loading,1.0
FB,pca_loading,stability_adjusted,1.0
FB,stability_adjusted,ensemble_candidate,0.9990118577075099
FB,stability_adjusted,entropy,1.0
FB,stability_adjusted,equal,1.0
FB,stability_adjusted,pca_loading,1.0
FB,stability_adjusted,stability_adjusted,1.0
GK,ensemble_candidate,ensemble_candidate,1.0
GK,ensemble_candidate,entropy,0.993006993006993
GK,ensemble_candidate,equal,0.993006993006993
GK,ensemble_candidate,pca_loading,1.0
GK,ensemble_candidate,stability_adjusted,1.0
GK,entropy,ensemble_candidate,0.993006993006993
GK,entropy,entropy,1.0
GK,entropy,equal,1.0
GK,entropy,pca_loading,0.993006993006993
GK,entropy,stability_adjusted,0.993006993006993
GK,equal,ensemble_candidate,0.993006993006993
GK,equal,entropy,1.0
GK,equal,equal,1.0
GK,equal,pca_loading,0.993006993006993
GK,equal,stability_adjusted,0.993006993006993
GK,pca_loading,ensemble_candidate,1.0
GK,pca_loading,entropy,0.993006993006993
GK,pca_loading,equal,0.993006993006993
GK,pca_loading,pca_loading,1.0
GK,pca_loading,stability_adjusted,1.0
GK,stability_adjusted,ensemble_candidate,1.0
GK,stability_adjusted,entropy,0.993006993006993
GK,stability_adjusted,equal,0.993006993006993
GK,stability_adjusted,pca_loading,1.0
GK,stability_adjusted,stability_adjusted,1.0
MID,ensemble_candidate,ensemble_candidate,1.0
MID,ensemble_candidate,entropy,0.99938884644767
MID,ensemble_candidate,equal,0.99938884644767
MID,ensemble_candidate,pca_loading,0.99938884644767
MID,ensemble_candidate,stability_adjusted,0.999694423223835
MID,entropy,ensemble_candidate,0.99938884644767
MID,entropy,entropy,1.0
MID,entropy,equal,1.0
MID,entropy,pca_loading,1.0
MID,entropy,stability_adjusted,0.999694423223835
MID,equal,ensemble_candidate,0.99938884644767
MID,equal,entropy,1.0
MID,equal,equal,1.0
MID,equal,pca_loading,1.0
MID,equal,stability_adjusted,0.999694423223835
MID,pca_loading,ensemble_candidate,0.99938884644767
