role,metric,match_metric,mapping_status
CB,obv_defensive_action_90,obv_defensive_action,available_match_level
CB,op_xgbuildup_90,op_xgbuildup,available_match_level
CB,aerial_ratio,aerial_ratio,available_match_level
CB,interceptions_90,interceptions,available_match_level
CB,obv_pass_90,obv_pass,available_match_level
CB,op_f3_passes_90,op_f3_passes,available_match_level
CB,ball_recoveries_90,ball_recoveries,available_match_level
CB,blocks_per_shot,,season_only_metric
CB,clearance_90,,season_only_metric
CF,goals_90,goals,available_match_level
CF,np_xg_90,np_xg,available_match_level
CF,op_passes_into_and_touches_inside_box_90,,season_only_metric
CF,op_xgchain_90,op_xgchain,available_match_level
CF,np_shots_90,np_shots,available_match_level
CF,aerial_ratio,aerial_ratio,available_match_level
CF,aerial_wins_90,,season_only_metric
FB,ball_recoveries_90,ball_recoveries,available_match_level
FB,counterpressures_90,counterpressures,available_match_level
FB,obv_dribble_carry_90,obv_dribble_carry,available_match_level
FB,op_f3_passes_90,op_f3_passes,available_match_level
FB,box_cross_ratio,box_cross_ratio,available_match_level
FB,key_passes_90,key_passes,available_match_level
FB,dribble_ratio,,season_only_metric
FB,obv_pass_90,obv_pass,available_match_level
GK,goals_faced_90,,season_only_metric
GK,obv_pass_90,obv_pass,available_match_level
GK,pass_length,,season_only_metric
GK,p_pass_length,,season_only_metric
GK,average_x_defensive_action,,season_only_metric
MID,key_passes_90,key_passes,available_match_level
MID,op_f3_passes_90,op_f3_passes,available_match_level
MID,through_balls_90,through_balls,available_match_level
MID,obv_pass_90,obv_pass,available_match_level
MID,obv_dribble_carry_90,obv_dribble_carry,available_match_level
MID,ball_recoveries_90,ball_recoveries,available_match_level
MID,counterpressures_90,counterpressures,available_match_level
WINGER,np_shots_90,np_shots,available_match_level
WINGER,np_xg_90,np_xg,available_match_level
WINGER,key_passes_90,key_passes,available_match_level
WINGER,obv_pass_90,obv_pass,available_match_level
WINGER,dribble_ratio,,season_only_metric
WINGER,crossing_ratio,crossing_ratio,available_match_level
WINGER,obv_dribble_carry_90,obv_dribble_carry,available_match_level
