role,metric,grouping,status,group_value,ks_statistic,wasserstein_distance,mean_shift,median_shift,variance_shift,percentile_shift
CB,prototype_role_score,season_id,not_enough_groups,,,,,,,
CB,prototype_role_score,competition_id,not_enough_groups,,,,,,,
CB,prototype_role_score,team_id,computed,6994,,,15.12978969032769,14.123146499764104,,7.483537813271134
CB,prototype_role_score,team_id,computed,36099,,,-14.719710266289002,-15.72635345685259,,-22.36596214334556
CB,prototype_role_score,team_id,computed,25917,,,1.0066431905635866,0.0,,-6.63960868649297
CB,prototype_role_score,team_id,computed,2365,,,1.5631431526762043,0.5564999621126177,,-6.083108724380352
CB,prototype_role_score,team_id,computed,2838,,,4.641312127160624,3.6346689365970377,,-3.0049397498959323
CB,prototype_role_score,team_id,computed,36100,0.6666666666666666,13.372704838454194,-12.350246998850402,-13.356890189413988,-120.34052793539252,-17.149203148811434
CB,prototype_role_score,team_id,computed,2761,,,-5.064335650758451,-6.070978841322038,,-12.710587527815008
CB,prototype_role_score,team_id,computed,2349,0.7037037037037037,11.736058415592895,9.040224981428402,8.033581790864815,-167.72502878183212,2.8718196294655343
CB,prototype_role_score,team_id,computed,2839,0.24444444444444444,5.378631309395877,4.206046203258147,2.029744276813638,-47.34157444557812,-1.733548362753858
CB,prototype_role_score,team_id,computed,6992,,,-8.743597469210947,-9.750240659774533,,-16.389849346267503
CB,prototype_role_score,team_id,computed,2762,0.3888888888888889,9.928455795581812,9.83321184018228,6.521472500574028,113.92653865908858,11.90435774085293
CB,prototype_role_score,team_id,computed,2889,,,,,,
CB,prototype_role_score,team_id,computed,11935,,,-21.217745882872617,-22.224389073436203,,-28.863997759929173
CB,prototype_role_score,team_id,computed,6989,0.7407407407407407,13.18228958366152,10.15648821307731,9.149845022513723,-183.39790491070806,2.98449453112336
CB,prototype_role_score,team_id,computed,18552,0.9259259259259259,23.359975155451433,-23.35997515545143,-24.366618346015017,-177.22193408419372,-30.007769627840027
CB,prototype_role_score,team_id,computed,6995,0.4074074074074074,8.694851618487192,0.03422032548771625,-0.9724228650758704,-175.25439169113122,-6.497195246065161
CB,prototype_role_score,minutes_bucket,computed,0-300,0.0,0.0,0.0,0.0,0.0,0.0
CF,prototype_role_score,season_id,not_enough_groups,,,,,,,
CF,prototype_role_score,competition_id,not_enough_groups,,,,,,,
CF,prototype_role_score,team_id,computed,6994,,,-4.847145071991051,0.0,,-18.786780513485347
CF,prototype_role_score,team_id,computed,36099,0.34782608695652173,10.073746191987967,-1.7436349841283167,3.103510087862734,-323.403022735175,-10.535561577400244
CF,prototype_role_score,team_id,computed,25917,0.391304347826087,10.407352064209146,5.475562876451242,10.322707948442293,-21.445899689603834,-0.4488653458400904
CF,prototype_role_score,team_id,computed,2365,,,-21.001906360706435,-16.154761288715385,,-34.94154180220073
