role,grouping,mean_wasserstein,max_ks,computed_tests,population_drift_status
CB,competition_id,,,0,high_drift
CB,minutes_bucket,0.0,0.0,1,moderate_or_low_drift
CB,season_id,,,0,high_drift
CB,team_id,12.236138102374989,0.9259259259259259,16,high_drift
CF,competition_id,,,0,high_drift
CF,minutes_bucket,0.0,0.0,1,moderate_or_low_drift
CF,season_id,,,0,high_drift
CF,team_id,16.12311213630876,0.5652173913043478,15,high_drift
FB,competition_id,,,0,high_drift
FB,minutes_bucket,0.0,0.0,1,moderate_or_low_drift
FB,season_id,,,0,high_drift
FB,team_id,8.27474381846495,0.7368421052631579,15,moderate_or_low_drift
GK,competition_id,,,0,high_drift
GK,minutes_bucket,0.0,0.0,1,moderate_or_low_drift
GK,season_id,,,0,high_drift
GK,team_id,20.663265306122454,0.5714285714285714,12,high_drift
MID,competition_id,,,0,high_drift
MID,minutes_bucket,0.0,0.0,1,moderate_or_low_drift
MID,season_id,,,0,high_drift
MID,team_id,7.409592030613306,0.75,16,moderate_or_low_drift
WINGER,competition_id,,,0,high_drift
WINGER,minutes_bucket,0.0,0.0,1,moderate_or_low_drift
WINGER,season_id,,,0,high_drift
WINGER,team_id,14.625071059321291,0.7222222222222222,13,high_drift
