role,criterion,status,players,matches,seasons,competitions,readiness_status,production_coefficients_declared
GK,enough_eligible_players,FAIL,12,10,1,1,Research Prototype,False
GK,enough_matches,FAIL,12,10,1,1,Research Prototype,False
GK,enough_seasons,FAIL,12,10,1,1,Research Prototype,False
GK,enough_competitions,FAIL,12,10,1,1,Research Prototype,False
GK,temporal_stability,PASS,12,10,1,1,Research Prototype,False
GK,cross_season_stability,FAIL,12,10,1,1,Research Prototype,False
GK,cross_competition_stability,FAIL,12,10,1,1,Research Prototype,False
GK,low_population_drift,FAIL,12,10,1,1,Research Prototype,False
GK,acceptable_rank_stability,PASS,12,10,1,1,Research Prototype,False
GK,acceptable_confidence_intervals,PASS,12,10,1,1,Research Prototype,False
GK,expert_review_completed,PENDING,12,10,1,1,Research Prototype,False
GK,no_critical_metric_direction_issues,PASS,12,10,1,1,Research Prototype,False
GK,no_severe_team_context_bias,PASS,12,10,1,1,Research Prototype,False
GK,no_severe_minutes_threshold_instability,PASS,12,10,1,1,Research Prototype,False
CB,enough_eligible_players,FAIL,25,10,1,1,Research Prototype,False
CB,enough_matches,FAIL,25,10,1,1,Research Prototype,False
CB,enough_seasons,FAIL,25,10,1,1,Research Prototype,False
CB,enough_competitions,FAIL,25,10,1,1,Research Prototype,False
CB,temporal_stability,PASS,25,10,1,1,Research Prototype,False
CB,cross_season_stability,FAIL,25,10,1,1,Research Prototype,False
CB,cross_competition_stability,FAIL,25,10,1,1,Research Prototype,False
CB,low_population_drift,FAIL,25,10,1,1,Research Prototype,False
CB,acceptable_rank_stability,PASS,25,10,1,1,Research Prototype,False
CB,acceptable_confidence_intervals,PASS,25,10,1,1,Research Prototype,False
CB,expert_review_completed,PENDING,25,10,1,1,Research Prototype,False
CB,no_critical_metric_direction_issues,PASS,25,10,1,1,Research Prototype,False
CB,no_severe_team_context_bias,FAIL,25,10,1,1,Research Prototype,False
CB,no_severe_minutes_threshold_instability,PASS,25,10,1,1,Research Prototype,False
FB,enough_eligible_players,FAIL,23,10,1,1,Research Prototype,False
FB,enough_matches,FAIL,23,10,1,1,Research Prototype,False
FB,enough_seasons,FAIL,23,10,1,1,Research Prototype,False
FB,enough_competitions,FAIL,23,10,1,1,Research Prototype,False
FB,temporal_stability,PASS,23,10,1,1,Research Prototype,False
FB,cross_season_stability,FAIL,23,10,1,1,Research Prototype,False
FB,cross_competition_stability,FAIL,23,10,1,1,Research Prototype,False
FB,low_population_drift,FAIL,23,10,1,1,Research Prototype,False
FB,acceptable_rank_stability,PASS,23,10,1,1,Research Prototype,False
FB,acceptable_confidence_intervals,PASS,23,10,1,1,Research Prototype,False
FB,expert_review_completed,PENDING,23,10,1,1,Research Prototype,False
FB,no_critical_metric_direction_issues,PASS,23,10,1,1,Research Prototype,False
FB,no_severe_team_context_bias,PASS,23,10,1,1,Research Prototype,False
FB,no_severe_minutes_threshold_instability,PASS,23,10,1,1,Research Prototype,False
MID,enough_eligible_players,FAIL,34,10,1,1,Research Prototype,False
MID,enough_matches,FAIL,34,10,1,1,Research Prototype,False
MID,enough_seasons,FAIL,34,10,1,1,Research Prototype,False
MID,enough_competitions,FAIL,34,10,1,1,Research Prototype,False
MID,temporal_stability,PASS,34,10,1,1,Research Prototype,False
MID,cross_season_stability,FAIL,34,10,1,1,Research Prototype,False
MID,cross_competition_stability,FAIL,34,10,1,1,Research Prototype,False
MID,low_population_drift,FAIL,34,10,1,1,Research Prototype,False
MID,acceptable_rank_stability,PASS,34,10,1,1,Research Prototype,False
MID,acceptable_confidence_intervals,PASS,34,10,1,1,Research Prototype,False
MID,expert_review_completed,PENDING,34,10,1,1,Research Prototype,False
MID,no_critical_metric_direction_issues,PASS,34,10,1,1,Research Prototype,False
MID,no_severe_team_context_bias,PASS,34,10,1,1,Research Prototype,False
MID,no_severe_minutes_threshold_instability,PASS,34,10,1,1,Research Prototype,False
WINGER,enough_eligible_players,FAIL,25,9,1,1,Research Prototype,False
WINGER,enough_matches,FAIL,25,9,1,1,Research Prototype,False
WINGER,enough_seasons,FAIL,25,9,1,1,Research Prototype,False
WINGER,enough_competitions,FAIL,25,9,1,1,Research Prototype,False
WINGER,temporal_stability,PASS,25,9,1,1,Research Prototype,False
WINGER,cross_season_stability,FAIL,25,9,1,1,Research Prototype,False
WINGER,cross_competition_stability,FAIL,25,9,1,1,Research Prototype,False
WINGER,low_population_drift,FAIL,25,9,1,1,Research Prototype,False
WINGER,acceptable_rank_stability,PASS,25,9,1,1,Research Prototype,False
WINGER,acceptable_confidence_intervals,PASS,25,9,1,1,Research Prototype,False
WINGER,expert_review_completed,PENDING,25,9,1,1,Research Prototype,False
WINGER,no_critical_metric_direction_issues,PASS,25,9,1,1,Research Prototype,False
WINGER,no_severe_team_context_bias,FAIL,25,9,1,1,Research Prototype,False
WINGER,no_severe_minutes_threshold_instability,PASS,25,9,1,1,Research Prototype,False
CF,enough_eligible_players,FAIL,22,10,1,1,Research Prototype,False
CF,enough_matches,FAIL,22,10,1,1,Research Prototype,False
CF,enough_seasons,FAIL,22,10,1,1,Research Prototype,False
CF,enough_competitions,FAIL,22,10,1,1,Research Prototype,False
CF,temporal_stability,PASS,22,10,1,1,Research Prototype,False
CF,cross_season_stability,FAIL,22,10,1,1,Research Prototype,False
CF,cross_competition_stability,FAIL,22,10,1,1,Research Prototype,False
CF,low_population_drift,FAIL,22,10,1,1,Research Prototype,False
