role,score_band,players,mean_percentile_rank_stability,mean_confidence_index,mean_minutes_reliability,mean_temporal_stability,football_review_candidate_count,top_bottom_consistency
CB,20-40,4,98.7090055512642,68.18238955790943,72.78286944444444,,4,10.0
CB,40-60,19,94.37268566128863,69.47335563382619,85.34581008771931,,19,56.0
CB,60-80,2,99.29289321881345,70.13704102817422,82.20880277777778,,2,98.0
CF,20-40,8,97.55051025721683,66.98892233865739,67.13368270833334,,8,20.454545454545453
CF,40-60,10,96.97234964590251,68.12697038810376,73.00573972222222,,10,61.36363636363636
CF,60-80,4,98.7090055512642,69.03065878078905,64.15023402777777,,4,93.18181818181817
FB,20-40,3,99.0,65.8965996708903,75.52006296296297,,3,8.695652173913045
FB,40-60,16,95.23904771430476,70.44533319509674,87.86510416666667,,16,50.0
FB,60-80,4,98.7090055512642,66.5148358816458,77.50439944444445,,4,93.47826086956522
GK,20-40,5,98.41886116991581,69.17191632941316,83.91648,,5,25.0
GK,40-60,1,,76.85369691579847,100.0,,1,50.0
GK,60-80,6,98.12917130661303,71.13457735758323,96.17037037037038,,6,79.16666666666667
MID,20-40,10,96.97234964590251,73.81034509739371,77.61120611111112,,10,16.176470588235297
MID,40-60,16,95.23904771430476,72.817847343491,81.15920145138888,,16,54.411764705882355
MID,60-80,8,97.55051025721683,72.92967573245775,80.73888680555555,,8,89.70588235294116
WINGER,20-40,6,98.12917130661303,65.74300518970546,68.70200685185185,,6,14.0
WINGER,40-60,13,96.1055595181507,67.58816214777987,74.43967136752137,,13,52.0
WINGER,60-80,6,98.12917130661303,66.33160049903951,67.10077222222223,,6,90.0
