role,team_context_metric,score_team_context_correlation,role_specific_team_bias
CB,possession,0.3962784641689914,not_detected_or_insufficient
CB,np_xg,0.6191581937414533,potential_bias
CB,np_xg_conceded,-0.5676685718428917,potential_bias
CB,pressures,-0.16871024076433488,not_detected_or_insufficient
CB,passes,0.5191774648646881,potential_bias
CB,obv,0.6216558036164168,potential_bias
CB,xgd,0.6179914259881114,potential_bias
CF,possession,-0.11312455710576319,not_detected_or_insufficient
CF,np_xg,0.1306085145132551,not_detected_or_insufficient
CF,np_xg_conceded,-0.0276355173554248,not_detected_or_insufficient
CF,pressures,-0.12877343868458038,not_detected_or_insufficient
CF,passes,-0.17980550485695734,not_detected_or_insufficient
CF,obv,-0.19308820881207805,not_detected_or_insufficient
CF,xgd,-0.11024984694380373,not_detected_or_insufficient
FB,possession,0.3358296754383878,not_detected_or_insufficient
FB,np_xg,-0.19163806396804903,not_detected_or_insufficient
FB,np_xg_conceded,-0.33609131396484393,not_detected_or_insufficient
FB,pressures,-0.07596122177603291,not_detected_or_insufficient
FB,passes,0.28467293812194544,not_detected_or_insufficient
FB,obv,0.15119996301658356,not_detected_or_insufficient
FB,xgd,-0.05949662733085549,not_detected_or_insufficient
GK,possession,-0.009592223711045286,not_detected_or_insufficient
GK,np_xg,-0.15254651484446974,not_detected_or_insufficient
GK,np_xg_conceded,-0.1564995194689394,not_detected_or_insufficient
GK,pressures,-0.22918108214590838,not_detected_or_insufficient
GK,passes,-0.1901608681644443,not_detected_or_insufficient
GK,obv,-0.39985913481681074,not_detected_or_insufficient
GK,xgd,-0.06752657923090727,not_detected_or_insufficient
MID,possession,0.042011230536554305,not_detected_or_insufficient
MID,np_xg,-0.19441211424713425,not_detected_or_insufficient
MID,np_xg_conceded,0.12412160994767935,not_detected_or_insufficient
MID,pressures,0.2564868909165407,not_detected_or_insufficient
MID,passes,0.31486916658932285,not_detected_or_insufficient
MID,obv,0.042260038746627364,not_detected_or_insufficient
MID,xgd,-0.20815295010016033,not_detected_or_insufficient
WINGER,possession,0.670896237202165,potential_bias
WINGER,np_xg,0.35389127869685,not_detected_or_insufficient
WINGER,np_xg_conceded,-0.19304755192409162,not_detected_or_insufficient
WINGER,pressures,-0.46728387889624595,not_detected_or_insufficient
WINGER,passes,0.6981675419248575,potential_bias
WINGER,obv,0.37014674699704236,not_detected_or_insufficient
WINGER,xgd,0.36518732464482817,not_detected_or_insufficient
