role,player_id,matches,first_half_score,second_half_score,half_score_change,rolling_score_volatility,rolling_rank_volatility,mean_absolute_score_change,median_absolute_score_change,score_std_across_matches,rank_std_across_matches,coefficient_of_variation,temporal_reliability_index,first_half_vs_second_half_correlation
CB,131244,2,55.18973995532066,32.42784609891899,-22.76189385640167,,,22.76189385640167,22.76189385640167,16.095089498510035,12.020815280171307,0.3673940409302391,83.90491050148997,
CB,138871,1,40.61441882749305,,,,,,,,,,100.0,
CB,138918,1,44.249087764090085,,,,,,,,,,100.0,
CB,138958,1,34.54343998617101,,,,,,,,,,100.0,
CB,138998,1,51.60369366854523,,,,,,,,,,100.0,
CB,139023,1,54.73756532725715,,,,,,,,,,100.0,
CB,139556,2,39.601648035367546,29.485919310601616,-10.11572872476593,,,10.11572872476593,10.11572872476593,7.152900377925536,4.949747468305833,0.20706765783504935,92.84709962207447,
CB,157113,2,,45.52047915123216,,,,,,,,,100.0,
CB,202502,1,30.864178167718514,,,,,,,,,,100.0,
CB,313283,1,18.390029754056844,,,,,,,,,,100.0,
CB,314452,1,32.95212009227011,,,,,,,,,,100.0,
CB,314466,2,61.81689959943005,42.644163104306685,-19.172736495123367,,,19.172736495123367,19.172736495123367,13.557171989604532,6.363961030678928,0.2595641215723449,86.44282801039547,
CB,3252,2,71.06432115339379,39.082042700813496,-31.982278452580296,,,31.982278452580296,31.982278452580296,22.61488597161593,10.606601717798213,0.41063336419438423,77.38511402838407,
CB,338916,1,24.888065370640458,,,,,,,,,,100.0,
CB,363239,1,14.250885672142108,,,,,,,,,,100.0,
CB,407555,1,18.24471529081395,,,,,,,,,,100.0,
CB,409303,2,50.71278024021199,48.81574745980154,-1.8970327804104485,,,1.8970327804104485,1.8970327804104485,1.341404743161399,0.7071067811865476,0.02695518107540973,98.6585952568386,
CB,419744,1,37.41232335140982,,,,,,,,,,100.0,
CB,442093,1,41.170918789605665,,,,,,,,,,100.0,
CB,477678,1,,,,,,,,,,,100.0,
CB,49760,1,41.871668573424536,,,,,,,,,,100.0,
