role,criterion,status,readiness_status,production_ready_allowed,reason
GK,enough_eligible_players,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,enough_matches,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,enough_competitions,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,enough_seasons,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,metric_coverage_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,temporal_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,cross_season_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,cross_competition_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,rank_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,confidence_interval_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,team_context_bias_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,population_drift_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,expert_review_completed_or_pending,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,metric_direction_reviewed,FAIL,Research Prototype,False,full_population_data_readiness_failed
GK,no_critical_data_quality_issue,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,enough_eligible_players,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,enough_matches,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,enough_competitions,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,enough_seasons,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,metric_coverage_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,temporal_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,cross_season_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,cross_competition_validation_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,rank_stability_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,confidence_interval_pass,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,team_context_bias_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,population_drift_acceptable,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,expert_review_completed_or_pending,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,metric_direction_reviewed,FAIL,Research Prototype,False,full_population_data_readiness_failed
CB,no_critical_data_quality_issue,FAIL,Research Prototype,False,full_population_data_readiness_failed
FB,enough_eligible_players,FAIL,Research Prototype,False,full_population_data_readiness_failed
