role,player_id,player_name,score,bootstrap_mean,bootstrap_std,bootstrap_ci_low,bootstrap_ci_high,score_variance,bootstrap_samples,experiment_008_status
GK,138841,Salaheddine Chihab,30.747904998691947,30.647355408629835,5.551727588682516,16.6992779987201,38.67090622929452,30.82167921893858,300,not_recomputed_full_population_unavailable
GK,138950,Mehdi Harrar,36.17141063173851,35.55141839749184,14.79929203902896,8.299880909718395,66.6790405405333,219.019044856466,300,not_recomputed_full_population_unavailable
GK,138972,Mahdi Benabid,50.69522827002397,50.69354625143592,6.674177823080917,33.52100471487782,58.37145189126958,44.544649614105126,300,not_recomputed_full_population_unavailable
GK,139011,Ahmed Reda Tagnaouti,30.58758056138213,30.974280010680445,10.468463357707304,8.441390520243322,49.89596818303876,109.58872507166052,300,not_recomputed_full_population_unavailable
GK,139555,Aymane Majid,62.51704494420145,61.95791379522388,14.643236903207208,41.734778626636746,99.91033254946676,214.42438700344945,300,not_recomputed_full_population_unavailable
GK,139572,Amine El Ouaad,71.51107076853708,71.97496824725722,9.547232654203407,55.06428201982643,91.5952761753244,91.14965135348784,300,not_recomputed_full_population_unavailable
GK,317852,Abderahmane El Houasli,35.25726487253641,34.66391798637636,8.304055208694988,24.85431479974477,49.63351829665377,68.95733290905437,300,not_recomputed_full_population_unavailable
GK,362445,Badreddine Abyir,76.7757739977954,77.14811420219932,5.383963823088575,66.67531567145086,83.49797476761532,28.98706644832654,300,not_recomputed_full_population_unavailable
GK,36951,Babacar Niasse,62.71956263824022,62.93653858312024,6.500120552288475,52.23812039672217,74.91712009799402,42.25156719428304,300,not_recomputed_full_population_unavailable
GK,477675,Mohamed Idar,66.38027072693205,67.00064453429846,12.104186771132223,50.04725253932325,91.6284122798567,146.51133739045233,300,not_recomputed_full_population_unavailable
GK,522350,Mohamed Jemjami,76.92738408650465,76.90346220118538,14.420121638610016,41.77479271870165,100.0,207.93990807230875,300,not_recomputed_full_population_unavailable
GK,523287,Ismail Sayad,33.46356773530849,33.14473322260612,10.546877922489008,16.727035354490077,58.181510592288056,111.23663391188606,300,not_recomputed_full_population_unavailable
CB,131244,Ismaël Kandouss,57.62348748861237,58.21727132606053,7.01617081678636,44.53999395154566,71.50530738374798,49.226652930324576,300,not_recomputed_full_population_unavailable
CB,138871,Karim El Bounagat,42.375156008408055,42.17890038004618,4.633078844894056,32.27121490523514,50.16525305377596,21.465419583004845,300,not_recomputed_full_population_unavailable
CB,138918,Marwan Louadni,67.20775450326752,67.46885561338831,7.448675999161981,52.09960765834999,79.94954652126097,55.482774140491735,300,not_recomputed_full_population_unavailable
CB,138958,Mouad Bahsain,35.449185570962634,35.252882137973536,6.074833326480142,22.456483400331607,46.72220734211529,36.90359994451379,300,not_recomputed_full_population_unavailable
CB,138998,Abdellah Khafifi,54.03924387991279,54.09406499891328,6.401412830778297,41.27424995846958,66.45468807366564,40.97808623005301,300,not_recomputed_full_population_unavailable
CB,139023,Amine Aboulfath,39.368541024207225,38.7850664779395,6.031832955184941,27.006848354214306,49.48947208431198,36.38300879925509,300,not_recomputed_full_population_unavailable
