role,player_id,player_name,team,prototype_score,confidence,rank,main_positive_contributors,main_negative_contributors,instability_flags,team_context_flags,temporal_flags,review_category,why_review_needed,suggested_review_question,reviewer_decision,reviewer_comment,experiment_008_status
CB,524512,Reda Ait Boughima,Renaissance Zemamra,67.2078232699728,68.78199618602616,1.0,clearance_90;ball_recoveries_90;aerial_ratio,interceptions_90;op_xgbuildup_90;obv_defensive_action_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,138918,Marwan Louadni,FAR Rabat,67.20775450326752,71.4920858703223,2.0,interceptions_90;op_xgbuildup_90;op_f3_passes_90,clearance_90;obv_defensive_action_90;aerial_ratio,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,139556,Bilal El Ouadghiri,Ittihad Tanger,59.605614965569465,71.50505720907077,3.0,obv_pass_90;obv_defensive_action_90;aerial_ratio,interceptions_90;ball_recoveries_90;op_xgbuildup_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,3252,Oussama Haddadi,RSB Berkane,58.86389384557369,65.48382881106858,4.0,obv_pass_90;aerial_ratio;op_f3_passes_90,blocks_per_shot;clearance_90;obv_defensive_action_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,67700,Badr Banoun,Raja Casablanca,58.10544095607193,73.48041475871032,5.0,op_f3_passes_90;obv_pass_90;op_xgbuildup_90,clearance_90;aerial_ratio;ball_recoveries_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,131244,Ismaël Kandouss,RSB Berkane,57.62348748861237,73.94540699329255,6.0,aerial_ratio;op_f3_passes_90;ball_recoveries_90,interceptions_90;clearance_90;obv_pass_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,49760,Adil Rhaili,Maghreb Fès,57.4892418344554,64.06642015779512,7.0,aerial_ratio;op_xgbuildup_90;op_f3_passes_90,ball_recoveries_90;obv_defensive_action_90;interceptions_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,409303,Faraji Karmoune,Olympic Safi,56.66319537961723,66.65136307644521,8.0,ball_recoveries_90;obv_pass_90;clearance_90,aerial_ratio;blocks_per_shot;op_f3_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,157113,Badr Gaddarine,Ittihad Tanger,55.1673296857255,68.204512488346,9.0,obv_pass_90;op_f3_passes_90;ball_recoveries_90,aerial_ratio;op_xgbuildup_90;clearance_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,407555,James Monday Ajako,Renaissance Zemamra,55.027065073459454,72.40828167805014,10.0,obv_pass_90;obv_defensive_action_90;ball_recoveries_90,blocks_per_shot;interceptions_90;op_f3_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,top_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,442093,Yassine Fatine,Difaâ El Jadida,31.604164816877105,63.18405383503679,25.0,obv_defensive_action_90;blocks_per_shot;interceptions_90,aerial_ratio;ball_recoveries_90;op_xgbuildup_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,202502,Soulaimane El Amrani,Hassania Agadir,33.33627865745442,64.53274491485486,24.0,obv_defensive_action_90;blocks_per_shot;aerial_ratio,obv_pass_90;op_f3_passes_90;op_xgbuildup_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,138958,Mouad Bahsain,Hassania Agadir,35.449185570962634,71.6271155371613,23.0,blocks_per_shot;obv_defensive_action_90;obv_pass_90,interceptions_90;ball_recoveries_90;op_xgbuildup_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,139023,Amine Aboulfath,Wydad Casablanca,39.368541024207225,73.38564394458473,22.0,clearance_90;blocks_per_shot;obv_pass_90,aerial_ratio;ball_recoveries_90;op_f3_passes_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,138871,Karim El Bounagat,CODM Meknès,42.375156008408055,77.87035334257408,21.0,clearance_90;ball_recoveries_90;aerial_ratio,interceptions_90;op_f3_passes_90;op_xgbuildup_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight,,,bottom_rank_validation,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,313283,Tahar Ahmed Madeira El Khalej,UTS Rabat,43.37933056215727,66.75763366222014,20.0,blocks_per_shot;clearance_90;aerial_ratio,interceptions_90;op_f3_passes_90;op_xgbuildup_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,7378,Yunis Abdelhamid,FAR Rabat,47.64963119461793,56.46048307923563,19.0,aerial_ratio;interceptions_90;op_xgbuildup_90,obv_pass_90;obv_defensive_action_90;clearance_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,477678,Cheick Keita,Olympique Dcheïra,48.06390819689062,67.99529745752558,18.0,aerial_ratio;clearance_90;ball_recoveries_90,op_f3_passes_90;obv_pass_90;op_xgbuildup_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,338916,Johnstone Omurwa,KAC Marrakech,48.188940746842086,64.79742719279689,17.0,clearance_90;blocks_per_shot;obv_pass_90,obv_defensive_action_90;op_f3_passes_90;ball_recoveries_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
CB,523290,Achraf Zine,US Yacoub El Mansour,50.16834912306648,68.03305875088839,16.0,blocks_per_shot;op_f3_passes_90;interceptions_90,obv_defensive_action_90;aerial_ratio;obv_pass_90,limited_dataset_scope;single_metric_dimension;small_sample;unstable_weight;wide_confidence_interval,,,low_confidence_high_score,prototype validation gate requires expert review,"Does this ranking match role-specific football evidence, or is it context/noise driven?",,,expert_review_pending_full_population
