role,player_id,player_name,metric,contribution_type,contribution_delta,experiment_008_status
CB,3252,Oussama Haddadi,obv_pass_90,positive,42.36736161705884,not_recalculated_full_population_unavailable
CB,3252,Oussama Haddadi,aerial_ratio,positive,31.92004849787542,not_recalculated_full_population_unavailable
CB,3252,Oussama Haddadi,op_f3_passes_90,positive,30.828900078597293,not_recalculated_full_population_unavailable
CB,3252,Oussama Haddadi,blocks_per_shot,negative,-57.63263838294116,not_recalculated_full_population_unavailable
CB,3252,Oussama Haddadi,clearance_90,negative,-42.24802299832578,not_recalculated_full_population_unavailable
CB,3252,Oussama Haddadi,obv_defensive_action_90,negative,-23.30954254907109,not_recalculated_full_population_unavailable
CB,7378,Yunis Abdelhamid,aerial_ratio,positive,56.0268333097064,not_recalculated_full_population_unavailable
CB,7378,Yunis Abdelhamid,interceptions_90,positive,54.76366437029412,not_recalculated_full_population_unavailable
CB,7378,Yunis Abdelhamid,op_xgbuildup_90,positive,32.592633405155325,not_recalculated_full_population_unavailable
CB,7378,Yunis Abdelhamid,obv_pass_90,negative,-43.9731666902936,not_recalculated_full_population_unavailable
CB,7378,Yunis Abdelhamid,obv_defensive_action_90,negative,-43.9731666902936,not_recalculated_full_population_unavailable
CB,7378,Yunis Abdelhamid,clearance_90,negative,-40.12701284413975,not_recalculated_full_population_unavailable
CB,49760,Adil Rhaili,aerial_ratio,positive,43.99823381118328,not_recalculated_full_population_unavailable
CB,49760,Adil Rhaili,op_xgbuildup_90,positive,29.29379120576637,not_recalculated_full_population_unavailable
CB,49760,Adil Rhaili,op_f3_passes_90,positive,24.76746458041405,not_recalculated_full_population_unavailable
CB,49760,Adil Rhaili,ball_recoveries_90,negative,-39.76996982220084,not_recalculated_full_population_unavailable
CB,49760,Adil Rhaili,obv_defensive_action_90,negative,-30.21566675289362,not_recalculated_full_population_unavailable
CB,49760,Adil Rhaili,interceptions_90,negative,-28.94066221606336,not_recalculated_full_population_unavailable
CB,67700,Badr Banoun,op_f3_passes_90,positive,33.83305757056067,not_recalculated_full_population_unavailable
CB,67700,Badr Banoun,obv_pass_90,positive,28.880330608173765,not_recalculated_full_population_unavailable
CB,67700,Badr Banoun,op_xgbuildup_90,positive,21.016461986127425,not_recalculated_full_population_unavailable
CB,67700,Badr Banoun,clearance_90,negative,-39.2438655063624,not_recalculated_full_population_unavailable
CB,67700,Badr Banoun,aerial_ratio,negative,-16.37916791035287,not_recalculated_full_population_unavailable
CB,67700,Badr Banoun,ball_recoveries_90,negative,-15.577056142668477,not_recalculated_full_population_unavailable
CB,131244,Ismaël Kandouss,aerial_ratio,positive,32.596649855851815,not_recalculated_full_population_unavailable
CB,131244,Ismaël Kandouss,op_f3_passes_90,positive,20.61892478896433,not_recalculated_full_population_unavailable
CB,131244,Ismaël Kandouss,ball_recoveries_90,positive,18.66169110038542,not_recalculated_full_population_unavailable
CB,131244,Ismaël Kandouss,interceptions_90,negative,-31.736846800526287,not_recalculated_full_population_unavailable
CB,131244,Ismaël Kandouss,clearance_90,negative,-21.688767518727992,not_recalculated_full_population_unavailable
CB,131244,Ismaël Kandouss,obv_pass_90,negative,-20.863526250799843,not_recalculated_full_population_unavailable
CB,138871,Karim El Bounagat,clearance_90,positive,11.119491546514446,not_recalculated_full_population_unavailable
CB,138871,Karim El Bounagat,ball_recoveries_90,positive,10.931051312409338,not_recalculated_full_population_unavailable
CB,138871,Karim El Bounagat,aerial_ratio,positive,10.320470693455768,not_recalculated_full_population_unavailable
CB,138871,Karim El Bounagat,interceptions_90,negative,-26.036700911277677,not_recalculated_full_population_unavailable
CB,138871,Karim El Bounagat,op_f3_passes_90,negative,-19.64973922271632,not_recalculated_full_population_unavailable
CB,138871,Karim El Bounagat,op_xgbuildup_90,negative,-1.7542823004178911,not_recalculated_full_population_unavailable
CB,138918,Marwan Louadni,interceptions_90,positive,34.35343134272391,not_recalculated_full_population_unavailable
CB,138918,Marwan Louadni,op_xgbuildup_90,positive,34.35343134272391,not_recalculated_full_population_unavailable
CB,138918,Marwan Louadni,op_f3_passes_90,positive,18.96881595810852,not_recalculated_full_population_unavailable
CB,138918,Marwan Louadni,clearance_90,negative,-38.72349173419917,not_recalculated_full_population_unavailable
CB,138918,Marwan Louadni,obv_defensive_action_90,negative,-26.86463753504495,not_recalculated_full_population_unavailable
CB,138918,Marwan Louadni,aerial_ratio,negative,-7.43355539705054,not_recalculated_full_population_unavailable
CB,138958,Mouad Bahsain,blocks_per_shot,positive,62.84517175163869,not_recalculated_full_population_unavailable
CB,138958,Mouad Bahsain,obv_defensive_action_90,positive,33.70806841347162,not_recalculated_full_population_unavailable
CB,138958,Mouad Bahsain,obv_pass_90,positive,30.43774121992801,not_recalculated_full_population_unavailable
CB,138958,Mouad Bahsain,interceptions_90,negative,-37.15482824836131,not_recalculated_full_population_unavailable
CB,138958,Mouad Bahsain,ball_recoveries_90,negative,-37.15482824836131,not_recalculated_full_population_unavailable
CB,138958,Mouad Bahsain,op_xgbuildup_90,negative,-37.15482824836131,not_recalculated_full_population_unavailable
CB,138998,Abdellah Khafifi,op_xgbuildup_90,positive,32.32008044854997,not_recalculated_full_population_unavailable
CB,138998,Abdellah Khafifi,aerial_ratio,positive,15.428847010726171,not_recalculated_full_population_unavailable
CB,138998,Abdellah Khafifi,interceptions_90,positive,15.173604947146671,not_recalculated_full_population_unavailable
CB,138998,Abdellah Khafifi,blocks_per_shot,negative,-27.554446877627523,not_recalculated_full_population_unavailable
CB,138998,Abdellah Khafifi,obv_defensive_action_90,negative,-25.988935027882416,not_recalculated_full_population_unavailable
CB,138998,Abdellah Khafifi,ball_recoveries_90,negative,-19.108328435082782,not_recalculated_full_population_unavailable
CB,139023,Amine Aboulfath,clearance_90,positive,24.696457431063664,not_recalculated_full_population_unavailable
CB,139023,Amine Aboulfath,blocks_per_shot,positive,19.70198766417885,not_recalculated_full_population_unavailable
CB,139023,Amine Aboulfath,obv_pass_90,positive,19.307369039039784,not_recalculated_full_population_unavailable
CB,139023,Amine Aboulfath,aerial_ratio,negative,-35.55456443809087,not_recalculated_full_population_unavailable
CB,139023,Amine Aboulfath,ball_recoveries_90,negative,-14.980906370082083,not_recalculated_full_population_unavailable
CB,139023,Amine Aboulfath,op_f3_passes_90,negative,-13.7650810304748,not_recalculated_full_population_unavailable
CB,139556,Bilal El Ouadghiri,obv_pass_90,positive,19.189705639505934,not_recalculated_full_population_unavailable
CB,139556,Bilal El Ouadghiri,obv_defensive_action_90,positive,18.308574515487784,not_recalculated_full_population_unavailable
CB,139556,Bilal El Ouadghiri,aerial_ratio,positive,10.494152139175291,not_recalculated_full_population_unavailable
CB,139556,Bilal El Ouadghiri,interceptions_90,negative,-45.56310120691897,not_recalculated_full_population_unavailable
CB,139556,Bilal El Ouadghiri,ball_recoveries_90,negative,-8.918498603516518,not_recalculated_full_population_unavailable
CB,139556,Bilal El Ouadghiri,op_xgbuildup_90,negative,-6.995146198911428,not_recalculated_full_population_unavailable
CB,157113,Badr Gaddarine,obv_pass_90,positive,42.99297058279941,not_recalculated_full_population_unavailable
CB,157113,Badr Gaddarine,op_f3_passes_90,positive,39.14681673664557,not_recalculated_full_population_unavailable
CB,157113,Badr Gaddarine,ball_recoveries_90,positive,21.568127154343408,not_recalculated_full_population_unavailable
CB,157113,Badr Gaddarine,aerial_ratio,negative,-38.183853193844215,not_recalculated_full_population_unavailable
CB,157113,Badr Gaddarine,op_xgbuildup_90,negative,-32.320832002952315,not_recalculated_full_population_unavailable
CB,157113,Badr Gaddarine,clearance_90,negative,-26.23779864796982,not_recalculated_full_population_unavailable
CB,202502,Soulaimane El Amrani,obv_defensive_action_90,positive,59.75703339129995,not_recalculated_full_population_unavailable
CB,202502,Soulaimane El Amrani,blocks_per_shot,positive,36.116941946094165,not_recalculated_full_population_unavailable
CB,202502,Soulaimane El Amrani,aerial_ratio,positive,3.5580984187958293,not_recalculated_full_population_unavailable
CB,202502,Soulaimane El Amrani,obv_pass_90,negative,-34.60905337006509,not_recalculated_full_population_unavailable
CB,202502,Soulaimane El Amrani,op_f3_passes_90,negative,-23.07059183160355,not_recalculated_full_population_unavailable
CB,202502,Soulaimane El Amrani,op_xgbuildup_90,negative,-20.142619571672157,not_recalculated_full_population_unavailable
CB,313283,Tahar Ahmed Madeira El Khalej,blocks_per_shot,positive,37.41957161775529,not_recalculated_full_population_unavailable
CB,313283,Tahar Ahmed Madeira El Khalej,clearance_90,positive,6.048483689290315,not_recalculated_full_population_unavailable
CB,313283,Tahar Ahmed Madeira El Khalej,aerial_ratio,positive,5.493094917149854,not_recalculated_full_population_unavailable
CB,313283,Tahar Ahmed Madeira El Khalej,interceptions_90,negative,-33.01730540538642,not_recalculated_full_population_unavailable
CB,313283,Tahar Ahmed Madeira El Khalej,op_f3_passes_90,negative,-13.182285541478915,not_recalculated_full_population_unavailable
CB,313283,Tahar Ahmed Madeira El Khalej,op_xgbuildup_90,negative,-5.383033724213348,not_recalculated_full_population_unavailable
CB,314452,Zouhair Marour,op_f3_passes_90,positive,46.71475090391071,not_recalculated_full_population_unavailable
CB,314452,Zouhair Marour,ball_recoveries_90,positive,28.642418321131075,not_recalculated_full_population_unavailable
CB,314452,Zouhair Marour,interceptions_90,positive,7.479893254592021,not_recalculated_full_population_unavailable
