role_family,dimension_id,dimension_label,metric,cluster_id,primary_pca_component,primary_pca_loading,assignment_explanation,stability_score,confidence_score,football_interpretation,experiment_008_status
GK,GK_D3,Data-driven cluster 3,average_x_defensive_action,3,PC2,0.9265821711497206,Assigned by hierarchical feature cluster 3 and strongest PCA association PC2 loading=0.927; secondary_factor=FA2 loading=-0.200.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
GK,GK_D1,Data-driven cluster 1,goals_faced_90,1,PC3,0.7118534526438435,Assigned by hierarchical feature cluster 1 and strongest PCA association PC3 loading=0.712; secondary_factor=FA1 loading=0.655.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
GK,GK_D1,Data-driven cluster 1,obv_pass_90,1,PC4,0.6933545228947597,Assigned by hierarchical feature cluster 1 and strongest PCA association PC4 loading=0.693; secondary_factor=FA1 loading=0.893.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
GK,GK_D2,Data-driven cluster 2,p_pass_length,2,PC3,-0.6098456863859982,Assigned by hierarchical feature cluster 2 and strongest PCA association PC3 loading=-0.610; secondary_factor=FA1 loading=0.708.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
GK,GK_D1,Data-driven cluster 1,pass_length,1,PC5,0.8013859002584034,Assigned by hierarchical feature cluster 1 and strongest PCA association PC5 loading=0.801; secondary_factor=FA1 loading=0.986.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D3,Data-driven cluster 3,aerial_ratio,3,PC4,-0.4640228551024229,Assigned by hierarchical feature cluster 3 and strongest PCA association PC4 loading=-0.464; secondary_factor=FA1 loading=0.478.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D7,Data-driven cluster 7,ball_recoveries_90,7,PC3,0.5503387887076171,Assigned by hierarchical feature cluster 7 and strongest PCA association PC3 loading=0.550; secondary_factor=FA3 loading=0.437.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D8,Data-driven cluster 8,blocks_per_shot,8,PC5,0.8010754302619078,Assigned by hierarchical feature cluster 8 and strongest PCA association PC5 loading=0.801; secondary_factor=FA3 loading=-0.288.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D9,Data-driven cluster 9,clearance_90,9,PC3,0.779597412888276,Assigned by hierarchical feature cluster 9 and strongest PCA association PC3 loading=0.780; secondary_factor=FA2 loading=0.906.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D4,Data-driven cluster 4,interceptions_90,4,PC4,0.6863484446694269,Assigned by hierarchical feature cluster 4 and strongest PCA association PC4 loading=0.686; secondary_factor=FA1 loading=0.496.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D1,Data-driven cluster 1,obv_defensive_action_90,1,PC1,-0.4196381342216961,Assigned by hierarchical feature cluster 1 and strongest PCA association PC1 loading=-0.420; secondary_factor=FA1 loading=-0.546.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D5,Data-driven cluster 5,obv_pass_90,5,PC2,0.5890675015951679,Assigned by hierarchical feature cluster 5 and strongest PCA association PC2 loading=0.589; secondary_factor=FA3 loading=0.879.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
CB,CB_D6,Data-driven cluster 6,op_f3_passes_90,6,PC4,-0.4063054160474996,Assigned by hierarchical feature cluster 6 and strongest PCA association PC4 loading=-0.406; secondary_factor=FA1 loading=0.503.,,,requires_full_population_review,not_recalibrated_full_population_unavailable
