role_family,metric,cluster_id,experiment_008_status
GK,average_x_defensive_action,3,not_recalibrated_full_population_unavailable
GK,goals_faced_90,1,not_recalibrated_full_population_unavailable
GK,obv_pass_90,1,not_recalibrated_full_population_unavailable
GK,p_pass_length,2,not_recalibrated_full_population_unavailable
GK,pass_length,1,not_recalibrated_full_population_unavailable
CB,aerial_ratio,3,not_recalibrated_full_population_unavailable
CB,ball_recoveries_90,7,not_recalibrated_full_population_unavailable
CB,blocks_per_shot,8,not_recalibrated_full_population_unavailable
CB,clearance_90,9,not_recalibrated_full_population_unavailable
CB,interceptions_90,4,not_recalibrated_full_population_unavailable
CB,obv_defensive_action_90,1,not_recalibrated_full_population_unavailable
CB,obv_pass_90,5,not_recalibrated_full_population_unavailable
CB,op_f3_passes_90,6,not_recalibrated_full_population_unavailable
CB,op_xgbuildup_90,2,not_recalibrated_full_population_unavailable
FB,ball_recoveries_90,1,not_recalibrated_full_population_unavailable
FB,box_cross_ratio,4,not_recalibrated_full_population_unavailable
FB,counterpressures_90,2,not_recalibrated_full_population_unavailable
FB,dribble_ratio,6,not_recalibrated_full_population_unavailable
FB,key_passes_90,5,not_recalibrated_full_population_unavailable
FB,obv_dribble_carry_90,3,not_recalibrated_full_population_unavailable
FB,obv_pass_90,7,not_recalibrated_full_population_unavailable
FB,op_f3_passes_90,3,not_recalibrated_full_population_unavailable
MID,ball_recoveries_90,6,not_recalibrated_full_population_unavailable
MID,counterpressures_90,7,not_recalibrated_full_population_unavailable
MID,key_passes_90,1,not_recalibrated_full_population_unavailable
MID,obv_dribble_carry_90,5,not_recalibrated_full_population_unavailable
MID,obv_pass_90,4,not_recalibrated_full_population_unavailable
MID,op_f3_passes_90,1,not_recalibrated_full_population_unavailable
MID,op_passes_90,3,not_recalibrated_full_population_unavailable
MID,through_balls_90,2,not_recalibrated_full_population_unavailable
WINGER,crossing_ratio,5,not_recalibrated_full_population_unavailable
WINGER,dribble_ratio,4,not_recalibrated_full_population_unavailable
WINGER,key_passes_90,2,not_recalibrated_full_population_unavailable
WINGER,np_shots_90,1,not_recalibrated_full_population_unavailable
WINGER,np_xg_90,1,not_recalibrated_full_population_unavailable
WINGER,obv_dribble_carry_90,6,not_recalibrated_full_population_unavailable
WINGER,obv_pass_90,3,not_recalibrated_full_population_unavailable
CF,aerial_ratio,3,not_recalibrated_full_population_unavailable
CF,aerial_wins_90,4,not_recalibrated_full_population_unavailable
CF,goals_90,1,not_recalibrated_full_population_unavailable
CF,np_shots_90,2,not_recalibrated_full_population_unavailable
CF,np_xg_90,1,not_recalibrated_full_population_unavailable
CF,op_passes_into_and_touches_inside_box_90,1,not_recalibrated_full_population_unavailable
CF,op_xgchain_90,1,not_recalibrated_full_population_unavailable
