role,threshold,eligible_player_count,score_mean,score_std,score_reliability,rank_stability,confidence_index,top_player_preservation,volatility,threshold_recommendation,experiment_008_status
GK,300,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,lower_threshold_possible,not_recalibrated_full_population_unavailable
GK,450,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,lower_threshold_possible,not_recalibrated_full_population_unavailable
GK,600,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,keep_current_threshold,not_recalibrated_full_population_unavailable
GK,750,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,insufficient_evidence,not_recalibrated_full_population_unavailable
GK,900,12,52.81283868599102,18.651309287527425,0.7275124784782329,1.0,,1.0,18.651309287527425,insufficient_evidence,not_recalibrated_full_population_unavailable
CB,450,25,51.1676091742173,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,lower_threshold_possible,not_recalibrated_full_population_unavailable
CB,600,25,51.1676091742173,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,lower_threshold_possible,not_recalibrated_full_population_unavailable
CB,750,25,51.1676091742173,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,lower_threshold_possible,not_recalibrated_full_population_unavailable
CB,900,25,51.1676091742173,9.409251606507222,0.7618473341602272,1.0,,1.0,9.409251606507222,keep_current_threshold,not_recalibrated_full_population_unavailable
CB,1200,20,53.75159416887417,7.975905124323961,0.7671789155839119,0.8,,0.8,7.975905124323961,insufficient_evidence,not_recalibrated_full_population_unavailable
FB,450,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,lower_threshold_possible,not_recalibrated_full_population_unavailable
FB,600,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,lower_threshold_possible,not_recalibrated_full_population_unavailable
FB,750,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,lower_threshold_possible,not_recalibrated_full_population_unavailable
FB,900,23,51.46222911940261,10.061478328738684,0.7512276772071151,1.0,,1.0,10.061478328738684,keep_current_threshold,not_recalibrated_full_population_unavailable
FB,1200,19,51.35065483796405,8.561706585512715,0.7468805135028246,0.75,,0.75,8.561706585512715,insufficient_evidence,not_recalibrated_full_population_unavailable
MID,450,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,lower_threshold_possible,not_recalibrated_full_population_unavailable
MID,600,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,lower_threshold_possible,not_recalibrated_full_population_unavailable
MID,750,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,lower_threshold_possible,not_recalibrated_full_population_unavailable
MID,900,33,50.47476700203981,13.449130562074204,0.7552545567065565,1.0,,1.0,13.449130562074204,keep_current_threshold,not_recalibrated_full_population_unavailable
MID,1200,27,51.515851302622686,13.687511336979211,0.7457321209616311,0.8333333333333334,,0.8333333333333334,13.687511336979211,insufficient_evidence,not_recalibrated_full_population_unavailable
WINGER,300,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,lower_threshold_possible,not_recalibrated_full_population_unavailable
WINGER,450,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,lower_threshold_possible,not_recalibrated_full_population_unavailable
WINGER,600,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,lower_threshold_possible,not_recalibrated_full_population_unavailable
WINGER,750,25,50.63847353546034,13.760012345534566,0.7282011106719273,1.0,,1.0,13.760012345534566,keep_current_threshold,not_recalibrated_full_population_unavailable
WINGER,900,22,52.01557020659441,13.181520341235505,0.7297225958726332,0.8,,0.8,13.181520341235505,insufficient_evidence,not_recalibrated_full_population_unavailable
CF,300,22,48.05414098402763,13.968937832251036,0.735241221579839,1.0,,1.0,13.968937832251036,lower_threshold_possible,not_recalibrated_full_population_unavailable
CF,450,22,48.05414098402763,13.968937832251036,0.735241221579839,1.0,,1.0,13.968937832251036,lower_threshold_possible,not_recalibrated_full_population_unavailable
CF,600,22,48.05414098402763,13.968937832251036,0.735241221579839,1.0,,1.0,13.968937832251036,lower_threshold_possible,not_recalibrated_full_population_unavailable
CF,750,22,48.05414098402763,13.968937832251036,0.735241221579839,1.0,,1.0,13.968937832251036,keep_current_threshold,not_recalibrated_full_population_unavailable
CF,900,17,47.3111397128993,11.630417582047729,0.7408354219937461,0.5,,0.5,11.630417582047729,raise_threshold_needed,not_recalibrated_full_population_unavailable
