role,grouping,mean_wasserstein,max_ks,computed_tests,population_drift_status,experiment_008_status
CB,competition_id,,,0,high_drift,not_recomputed_full_population_unavailable
CB,minutes_bucket,0.0,0.0,1,moderate_or_low_drift,not_recomputed_full_population_unavailable
CB,season_id,,,0,high_drift,not_recomputed_full_population_unavailable
CB,team_id,12.236138102374987,0.925925925925926,16,high_drift,not_recomputed_full_population_unavailable
CF,competition_id,,,0,high_drift,not_recomputed_full_population_unavailable
CF,minutes_bucket,0.0,0.0,1,moderate_or_low_drift,not_recomputed_full_population_unavailable
CF,season_id,,,0,high_drift,not_recomputed_full_population_unavailable
CF,team_id,16.12311213630876,0.5652173913043478,15,high_drift,not_recomputed_full_population_unavailable
FB,competition_id,,,0,high_drift,not_recomputed_full_population_unavailable
FB,minutes_bucket,0.0,0.0,1,moderate_or_low_drift,not_recomputed_full_population_unavailable
FB,season_id,,,0,high_drift,not_recomputed_full_population_unavailable
FB,team_id,8.27474381846495,0.7368421052631579,15,moderate_or_low_drift,not_recomputed_full_population_unavailable
GK,competition_id,,,0,high_drift,not_recomputed_full_population_unavailable
GK,minutes_bucket,0.0,0.0,1,moderate_or_low_drift,not_recomputed_full_population_unavailable
GK,season_id,,,0,high_drift,not_recomputed_full_population_unavailable
GK,team_id,20.66326530612245,0.5714285714285714,12,high_drift,not_recomputed_full_population_unavailable
MID,competition_id,,,0,high_drift,not_recomputed_full_population_unavailable
MID,minutes_bucket,0.0,0.0,1,moderate_or_low_drift,not_recomputed_full_population_unavailable
MID,season_id,,,0,high_drift,not_recomputed_full_population_unavailable
MID,team_id,7.409592030613306,0.75,16,moderate_or_low_drift,not_recomputed_full_population_unavailable
WINGER,competition_id,,,0,high_drift,not_recomputed_full_population_unavailable
WINGER,minutes_bucket,0.0,0.0,1,moderate_or_low_drift,not_recomputed_full_population_unavailable
WINGER,season_id,,,0,high_drift,not_recomputed_full_population_unavailable
WINGER,team_id,14.625071059321291,0.7222222222222222,13,high_drift,not_recomputed_full_population_unavailable
