role,player_id,base_rank,mean_bootstrap_rank,average_rank_variation,worst_case_rank_variation,rank_std,experiment_008_status
GK,138841,11.0,10.343333333333334,0.9566666666666668,2.0,1.105832313648224,not_recomputed_full_population_unavailable
GK,138950,8.0,9.15,2.21,4.0,2.404183922758024,not_recomputed_full_population_unavailable
GK,138972,7.0,6.8566666666666665,1.01,4.0,1.4432829850049869,not_recomputed_full_population_unavailable
GK,139011,12.0,10.22,1.78,5.0,1.8209850691517435,not_recomputed_full_population_unavailable
GK,139555,6.0,4.943333333333333,1.81,5.0,2.272444109247663,not_recomputed_full_population_unavailable
GK,139572,3.0,3.3,0.88,4.0,1.1695695689392012,not_recomputed_full_population_unavailable
GK,317852,9.0,9.45,1.096666666666667,5.0,1.3810107296655971,not_recomputed_full_population_unavailable
GK,362445,2.0,2.013333333333333,0.52,1.0,0.7221916352897596,not_recomputed_full_population_unavailable
GK,36951,5.0,5.026666666666666,0.5133333333333333,3.0,0.7967044719389874,not_recomputed_full_population_unavailable
GK,477675,4.0,4.283333333333333,1.39,4.0,1.7720579901979232,not_recomputed_full_population_unavailable
GK,522350,1.0,2.563333333333333,1.5633333333333332,7.0,2.1403877580331128,not_recomputed_full_population_unavailable
GK,523287,10.0,9.85,1.1166666666666667,4.0,1.5259735639013383,not_recomputed_full_population_unavailable
CB,131244,6.0,8.553333333333333,3.9266666666666663,16.0,4.408166132425034,not_recomputed_full_population_unavailable
CB,138871,21.0,19.24333333333333,2.25,9.0,2.440760796645936,not_recomputed_full_population_unavailable
CB,138918,2.0,3.716666666666667,2.4833333333333334,16.0,3.492426908027608,not_recomputed_full_population_unavailable
CB,138958,23.0,22.19333333333333,1.6266666666666667,9.0,2.323924332510204,not_recomputed_full_population_unavailable
CB,138998,13.0,11.476666666666668,3.87,11.0,4.614517105390555,not_recomputed_full_population_unavailable
CB,139023,22.0,20.71,2.05,11.0,2.642443634442183,not_recomputed_full_population_unavailable
CB,139556,3.0,7.593333333333334,4.746666666666667,18.0,3.861475391117958,not_recomputed_full_population_unavailable
CB,157113,9.0,10.73,5.443333333333333,14.0,6.320622402780317,not_recomputed_full_population_unavailable
CB,202502,24.0,22.40333333333333,2.023333333333333,19.0,3.120863371381654,not_recomputed_full_population_unavailable
CB,313283,20.0,18.33333333333333,2.74,15.0,3.5502445469807817,not_recomputed_full_population_unavailable
CB,314452,12.0,10.96,4.366666666666666,13.0,5.170510671298019,not_recomputed_full_population_unavailable
CB,314466,11.0,10.816666666666666,3.0966666666666667,12.0,3.8901800160678426,not_recomputed_full_population_unavailable
CB,3252,4.0,8.04,5.22,21.0,6.1136176745225175,not_recomputed_full_population_unavailable
CB,338916,17.0,14.933333333333334,4.94,15.0,5.910895406273224,not_recomputed_full_population_unavailable
CB,363239,15.0,13.453333333333331,4.486666666666666,14.0,5.434421035909961,not_recomputed_full_population_unavailable
