statsbomb_player_id,player_name,assigned_role,dominant_role,dominant_role_share,lineup_role_minutes,position_examples,season_minutes,threshold_minutes,eligible_for_initial_coefficients,experiment_008_status
317852,Abderahmane El Houasli,GK,GK,1.0,109.3,Goalkeeper,1286.4167,600.0,True,available_population_recomputed_or_reused_from_role_resolution
477675,Mohamed Idar,GK,GK,1.0,96.683334,Goalkeeper,2196.5332,600.0,True,available_population_recomputed_or_reused_from_role_resolution
138845,Mohsine Moutouali,MID,MID,1.0,211.93333,Center Attacking Midfield; Right Center Midfield; Center Defensive Midfield,309.93335,900.0,False,available_population_recomputed_or_reused_from_role_resolution
138845,Mohsine Moutouali,MID,MID,1.0,211.93333,Center Attacking Midfield; Right Center Midfield; Center Defensive Midfield,650.48334,900.0,False,available_population_recomputed_or_reused_from_role_resolution
6312,Franco Armani,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
3302,Nordin Amrabat,WINGER,WINGER,1.0,80.9,Right Wing,1213.9333,750.0,True,available_population_recomputed_or_reused_from_role_resolution
5726,Khalid Boutaïb,CF,CF,1.0,22.366667,Left Center Forward; Right Center Forward,296.3333,750.0,False,available_population_recomputed_or_reused_from_role_resolution
5503,Lionel Andrés Messi Cuccittini,CF,CF,1.0,66.88333,Right Center Forward,,750.0,False,available_population_recomputed_or_reused_from_role_resolution
7378,Yunis Abdelhamid,CB,CB,1.0,98.11667,Left Center Back,937.7833,900.0,True,available_population_recomputed_or_reused_from_role_resolution
3090,Nicolás Hernán Otamendi,WINGER,WINGER,1.0,8.216666,Right Midfield; Center Back,,750.0,False,available_population_recomputed_or_reused_from_role_resolution
2995,Ángel Fabián Di María Hernández,WINGER,WINGER,1.0,122.3,Right Midfield; Left Midfield,,750.0,False,available_population_recomputed_or_reused_from_role_resolution
4276,David Ospina Ramírez,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
27225,Camilo Andrés Vargas Gil,GK,GK,1.0,130.51666,Goalkeeper,,600.0,False,available_population_recomputed_or_reused_from_role_resolution
139545,Mohammad El Fakih,MID,MID,1.0,38.1,Right Center Midfield,684.73334,900.0,False,available_population_recomputed_or_reused_from_role_resolution
139001,Youssef Anouar,WINGER,WINGER,1.0,88.0,Left Wing,906.2,750.0,True,available_population_recomputed_or_reused_from_role_resolution
139565,Larbi Naji,MID,MID,1.0,96.1,Right Defensive Midfield; Left Defensive Midfield,1892.6,900.0,True,available_population_recomputed_or_reused_from_role_resolution
140881,Yassine Kordani,CB,CB,1.0,137.85,Left Center Back,488.31668,900.0,False,available_population_recomputed_or_reused_from_role_resolution
6193,Andrés Mateus Uribe Villa,UNKNOWN,UNKNOWN,0.0,0.0,Center Defensive Midfield,,,False,available_population_recomputed_or_reused_from_role_resolution
49760,Adil Rhaili,CB,CB,1.0,112.46667,Left Center Back,1269.3834,900.0,True,available_population_recomputed_or_reused_from_role_resolution
7161,Germán Alejandro Pezzella,UNKNOWN,UNKNOWN,0.0,0.0,,,,False,available_population_recomputed_or_reused_from_role_resolution
5695,James David Rodríguez Rubio,MID,MID,1.0,95.066666,Center Attacking Midfield,,900.0,False,available_population_recomputed_or_reused_from_role_resolution
143490,Ahmed Hammoudan,WINGER,WINGER,1.0,87.566666,Left Midfield; Left Wing,1350.9333,750.0,True,available_population_recomputed_or_reused_from_role_resolution
3319,Yacine Bammou,CF,CF,1.0,109.3,Center Forward; Left Center Forward,1178.8168,750.0,True,available_population_recomputed_or_reused_from_role_resolution
