role,player_id,player_name,score,confidence_index,confidence_level,confidence_interval_low,confidence_interval_high,weight_stability,bootstrap_stability,sample_quality,minutes_reliability,population_size,data_quality,overall_reliability,experiment_008_status
CB,131244,Ismaël Kandouss,57.62348748861237,73.94540699329255,medium,44.53999395154566,71.50530738374798,90,73.03468656779768,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
CB,138871,Karim El Bounagat,42.375156008408055,77.87035334257408,medium,32.27121490523514,50.16525305377596,90,82.10596185145918,80,100.0,25,80,Adequate,not_recomputed_full_population_unavailable
CB,138918,Marwan Louadni,67.20775450326752,71.4920858703223,medium,52.09960765834999,79.94954652126097,90,72.15006113708901,75,89.28148888888889,25,75,Adequate,not_recomputed_full_population_unavailable
CB,138958,Mouad Bahsain,35.449185570962634,71.6271155371613,medium,22.456483400331607,46.72220734211529,90,75.73427605821632,75,83.68426111111111,25,75,Adequate,not_recomputed_full_population_unavailable
CB,138998,Abdellah Khafifi,54.03924387991279,74.57011335424475,medium,41.27424995846958,66.45468807366564,90,74.81956188480395,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
CB,139023,Amine Aboulfath,39.368541024207225,73.38564394458473,medium,27.006848354214306,49.48947208431198,90,77.51737626990233,75,89.35647777777777,25,75,Adequate,not_recomputed_full_population_unavailable
CB,139556,Bilal El Ouadghiri,59.605614965569465,71.50505720907077,medium,46.59272946592143,71.03311529748758,90,75.55961416843385,75,83.37962777777777,25,75,Adequate,not_recomputed_full_population_unavailable
CB,157113,Badr Gaddarine,55.1673296857255,68.204512488346,medium,34.24962150792023,77.61749066854131,90,56.63213083937893,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
CB,202502,Soulaimane El Amrani,33.33627865745442,64.53274491485486,medium,18.8028160591414,50.98949098529271,90,67.81332507384869,75,62.07407222222222,25,75,Research Only,not_recomputed_full_population_unavailable
CB,313283,Tahar Ahmed Madeira El Khalej,43.37933056215727,66.75763366222014,medium,31.94786202949572,54.559719899682726,90,77.38814212981299,75,56.44258611111111,25,75,Adequate,not_recomputed_full_population_unavailable
CB,314452,Zouhair Marour,54.22863132188184,73.4900445503491,medium,41.33131441269658,69.59766339616593,90,71.73365101653064,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
CB,314466,Mohamed Saoud,54.75947766590858,75.43624544543698,medium,43.27400831721804,65.97978331472201,90,77.29422500249603,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
CB,3252,Oussama Haddadi,58.86389384557369,65.48382881106858,medium,37.999329115543,79.7707389414011,90,58.22859017414189,75,83.60277777777777,25,75,Adequate,not_recomputed_full_population_unavailable
CB,338916,Johnstone Omurwa,48.188940746842086,64.79742719279689,medium,31.173009320917835,63.51244281802841,90,67.66056650288942,75,63.66481111111111,25,75,Research Only,not_recomputed_full_population_unavailable
CB,363239,Bilal Soufi,51.183949736607765,70.12750031979593,medium,35.97608007407637,67.72165701785637,90,68.25442305621999,75,89.27592777777778,25,75,Adequate,not_recomputed_full_population_unavailable
CB,407555,James Monday Ajako,55.027065073459454,72.40828167805014,medium,43.28939744616797,69.14809431874544,90,74.14130312742253,75,90.37779444444443,25,75,Adequate,not_recomputed_full_population_unavailable
CB,409303,Faraji Karmoune,56.66319537961723,66.65136307644521,medium,31.29724325575721,79.10268216466623,90,52.194561091090975,75,100.0,25,75,Adequate,not_recomputed_full_population_unavailable
CB,419744,Driss El Jabali,52.4345938473122,68.71031471485122,medium,39.19420742182998,66.70476228449961,90,72.48944513733036,75,74.77871111111112,25,75,Adequate,not_recomputed_full_population_unavailable
CB,442093,Yassine Fatine,31.604164816877105,63.18405383503679,medium,15.40383814095169,47.982541549122885,90,67.4212965918288,75,56.01666666666666,25,75,Research Only,not_recomputed_full_population_unavailable
CB,477678,Cheick Keita,48.06390819689062,67.99529745752558,medium,28.20871919712563,67.22143765215424,90,60.9872815449714,75,91.33241111111111,25,75,Adequate,not_recomputed_full_population_unavailable
CB,49760,Adil Rhaili,57.4892418344554,64.06642015779512,medium,38.66860564406053,77.01462432054124,90,61.65398132351929,75,70.5213,25,75,Research Only,not_recomputed_full_population_unavailable
CB,523290,Achraf Zine,50.16834912306648,68.03305875088839,medium,37.3225364641225,62.76228296986055,90,74.56025349426196,75,67.76851666666667,25,75,Adequate,not_recomputed_full_population_unavailable
CB,524512,Reda Ait Boughima,67.2078232699728,68.78199618602616,medium,52.893578344170926,80.4035607495153,90,72.49001759465563,75,75.13611666666667,25,75,Adequate,not_recomputed_full_population_unavailable
CB,67700,Badr Banoun,58.10544095607193,73.48041475871032,medium,44.97830567274417,72.31608580692749,90,72.66221986581668,75,98.32685555555555,25,75,Adequate,not_recomputed_full_population_unavailable
CB,7378,Yunis Abdelhamid,47.64963119461793,56.46048307923563,low,22.408319991703475,71.95860016248115,90,50.44971982922233,75,52.09907222222222,25,75,Research Only,not_recomputed_full_population_unavailable
CF,138876,Hamza Khaba,66.47425015492958,70.34566765148384,medium,57.86560824098291,74.55516961484398,90,83.31043862613893,80,44.93425833333333,22,80,Adequate,not_recomputed_full_population_unavailable
CF,139566,Youssef Elfahli,48.36876489868084,67.85474423563736,medium,27.922919706913397,69.97596544351042,90,57.94695426340297,75,80.61573888888888,22,75,Adequate,not_recomputed_full_population_unavailable
CF,140867,Ismail Khafi,50.60785206930373,73.35372493244532,medium,41.975757448185526,56.297323416124925,90,85.67843403206061,80,55.830552777777775,22,80,Adequate,not_recomputed_full_population_unavailable
CF,140886,Mustapha Sahd,75.92856395929778,64.31510197022874,medium,58.64403292329069,92.89764703724568,90,65.746385886045,75,49.268522222222224,22,75,Research Only,not_recomputed_full_population_unavailable
CF,140887,Haytham El Bahja,38.13800491088261,74.91017216816851,medium,24.12822353535343,47.49856724249638,90,76.62965629285705,75,83.19815,22,75,Adequate,not_recomputed_full_population_unavailable
CF,143504,Oussama Lamlaoui,49.86445433449164,44.61886831967817,low,5.30618752677127,93.50406603912472,90,11.802121487646543,75,45.189816666666665,22,75,Research Only,not_recomputed_full_population_unavailable
CF,155347,Ayoub Mouloua,51.98861374325399,82.1035505076618,high,45.43107141909085,57.94255002926887,90,87.48852138982198,80,96.41202777777778,22,80,Adequate,not_recomputed_full_population_unavailable
CF,155705,Soufiane Benjdida,52.75066400365881,61.15652632961428,medium,16.070085532594625,88.33761734989254,90,27.73246818270209,75,100.0,22,75,Research Only,not_recomputed_full_population_unavailable
CF,312936,Hamza Hannouri,58.76054835869575,71.24557745280185,medium,44.773569279885606,67.93322804680633,90,76.84034123307927,75,64.50647777777777,22,75,Adequate,not_recomputed_full_population_unavailable
CF,3319,Yacine Bammou,61.068254516203794,63.87411591595446,medium,35.21544583375668,79.99833438849532,90,55.21711144526136,75,65.48982222222223,22,75,Research Only,not_recomputed_full_population_unavailable
CF,335508,Paul Valère Bassène,55.99167694236434,71.56397305046804,medium,43.03726821488704,70.8120951154599,90,72.22517309942714,75,74.175,22,75,Adequate,not_recomputed_full_population_unavailable
CF,360406,Imad Khannouss,20.9537940655467,72.40857555755403,medium,13.971963379557527,25.231524386868823,90,88.74043899268871,80,45.74629722222222,22,80,Adequate,not_recomputed_full_population_unavailable
CF,38423,Siriki Sanogo,38.49002372177697,52.08000483046327,low,0.0217866076987722,77.70689413685672,90,22.314892470842054,75,64.09815,22,75,Research Only,not_recomputed_full_population_unavailable
CF,406860,Abdelaziz El Hamzaoui,39.68066401505422,59.470941020743375,low,15.869573043158958,62.79856637786581,90,53.071006665293154,75,47.22963111111112,22,75,Research Only,not_recomputed_full_population_unavailable
CF,409301,Jawad Ghabra,47.78203037222179,79.7529506597678,medium,41.980175639169055,52.58120302110768,90,89.39897261806138,80,81.31573888888889,22,80,Adequate,not_recomputed_full_population_unavailable
CF,442295,Reda Abardi,52.71189778852511,72.22685154385448,medium,40.78532399422573,65.95775202480559,90,74.82757196942015,75,72.93519444444443,22,75,Adequate,not_recomputed_full_population_unavailable
CF,453613,Baba Bello Ilou,66.62200976391712,77.58774958548915,medium,53.85433504694715,77.40884803793593,90,76.44548700901123,75,96.90833333333332,22,75,Adequate,not_recomputed_full_population_unavailable
CF,477684,Brahim Amzili,35.18343448628092,66.55045760963756,medium,11.37833939328564,58.60607390258049,90,52.77226549070515,75,83.15001111111111,22,75,Adequate,not_recomputed_full_population_unavailable
CF,503286,Mehdi Balouk,29.398930048887927,68.70462065497547,medium,10.06299975140882,49.13703349624617,90,60.92596625516265,75,79.65185,22,75,Adequate,not_recomputed_full_population_unavailable
CF,522342,Younes El Bahraoui,39.821111100691645,67.27305373232463,medium,25.925693952695152,54.34653477812223,90,71.57915917457292,75,53.85092777777778,22,75,Adequate,not_recomputed_full_population_unavailable
CF,524001,Nasreddine Moustaghfir,53.378000469389896,57.39293684910845,low,23.430863102079137,83.06685057796513,90,40.36401252411401,75,59.07685,22,75,Research Only,not_recomputed_full_population_unavailable
CF,524392,Romuald Dacosta,23.227557924552748,74.51355313539229,medium,11.515425262206582,34.273991602678414,90,77.24143365952817,75,80.14444444444445,22,75,Adequate,not_recomputed_full_population_unavailable
FB,135851,Augusto de Jesus Corte Real Carneiro,48.893941350310406,63.64406860540966,medium,28.448000881839715,68.32489709650062,90,60.1231037853391,75,67.19722222222222,23,75,Research Only,not_recomputed_full_population_unavailable
FB,138910,Jamal Ech-Chammakh,76.02197127468717,65.53870644361947,medium,63.598002735189205,89.13572290417125,90,74.46227983101795,75,51.57685333333334,23,75,Adequate,not_recomputed_full_population_unavailable
FB,138927,Saad El Morsli,64.22657303802754,64.3505170445505,medium,36.384672136174856,85.99288074694128,90,50.391791389233575,75,87.75926111111112,23,75,Research Only,not_recomputed_full_population_unavailable
FB,138945,Mohamed Boulacsout,35.34227332760554,67.78646590447607,medium,15.111200455390437,57.68706629176631,90,57.42413416362413,75,92.63240555555556,23,75,Adequate,not_recomputed_full_population_unavailable
FB,138949,Ayoub Boucheta,54.33028768909539,66.35276269709512,medium,33.79305004723791,73.65939171422608,90,60.13365833301184,75,80.72222222222221,23,75,Adequate,not_recomputed_full_population_unavailable
FB,138956,Anas Bach,56.87353653867026,72.07183570990475,medium,36.715962776950064,71.25796885178374,90,65.45799392516632,75,100.0,23,75,Adequate,not_recomputed_full_population_unavailable
FB,139560,Hamza El Moussaoui,67.38879234613674,65.09629885490463,medium,47.42760380389837,85.14627708349424,90,62.28132672040413,75,70.68148333333333,23,75,Adequate,not_recomputed_full_population_unavailable
FB,140876,Mohamed Moufid,49.03019453170217,78.55340845150035,medium,40.68213388044456,56.484195614211416,90,84.19793826623314,80,95.8629611111111,23,80,Adequate,not_recomputed_full_population_unavailable
FB,142789,Oussama Soukhane,51.84902963564516,66.30632155999976,medium,25.327066128389383,76.34196977438015,90,48.98509635400924,75,100.0,23,75,Adequate,not_recomputed_full_population_unavailable
FB,152015,Zakaria Kiani,55.62682167678936,79.52835205860542,medium,47.01228788526027,62.392818678092006,90,84.61946920716827,80,100.0,23,80,Adequate,not_recomputed_full_population_unavailable
FB,178342,Ettayb Boukhriss,49.93994331832277,66.22221963888934,medium,38.6165829793178,65.92151433641769,90,72.69506864290011,75,58.0870388888889,23,75,Adequate,not_recomputed_full_population_unavailable
FB,261620,Nadir Lougmani,42.10707881510001,73.94150586648503,medium,30.71504192787752,57.69238723787862,90,73.0226546899989,75,96.11019444444445,23,75,Adequate,not_recomputed_full_population_unavailable
FB,313287,Redouane Ait Lemkadem,45.12588573811286,70.96998752677366,medium,26.265978273587844,63.95612201451031,90,62.309856259077534,75,100.0,23,75,Adequate,not_recomputed_full_population_unavailable
FB,314451,Houdaifa El Mahasni,47.647788343322745,76.12290224767487,medium,36.77632529303742,59.743855545670726,90,77.03246974736669,75,100.0,23,75,Adequate,not_recomputed_full_population_unavailable
FB,337496,Haytam Manaout,47.45234026977532,57.67147372064744,low,21.84026237300092,73.42880429015702,90,48.41145808284391,75,57.82962777777777,23,75,Research Only,not_recomputed_full_population_unavailable
FB,339278,Chemseddine Knaidil,56.86376027080534,73.5559806154701,medium,42.89716318427874,73.19875524321138,90,69.69840794106736,75,100.0,23,75,Adequate,not_recomputed_full_population_unavailable
FB,406864,Hamza Malki,38.053301196515775,60.42339758917033,medium,16.434415589618563,65.79047978718549,90,50.64393580243308,75,67.68241111111112,23,75,Research Only,not_recomputed_full_population_unavailable
FB,442100,Marouane Ouhrou,60.36154374480873,71.07382118350854,medium,40.378391064149376,77.77186721440077,90,62.606523849748605,75,100.0,23,75,Adequate,not_recomputed_full_population_unavailable
