role,team_context_metric,score_team_context_correlation,role_specific_team_bias,experiment_008_status
CB,possession,0.3962784641689914,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CB,np_xg,0.6191581937414533,potential_bias,not_recomputed_full_population_unavailable
CB,np_xg_conceded,-0.5676685718428917,potential_bias,not_recomputed_full_population_unavailable
CB,pressures,-0.1687102407643348,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CB,passes,0.5191774648646881,potential_bias,not_recomputed_full_population_unavailable
CB,obv,0.6216558036164168,potential_bias,not_recomputed_full_population_unavailable
CB,xgd,0.6179914259881114,potential_bias,not_recomputed_full_population_unavailable
CF,possession,-0.1131245571057631,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CF,np_xg,0.1306085145132551,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CF,np_xg_conceded,-0.0276355173554248,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CF,pressures,-0.1287734386845803,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CF,passes,-0.1798055048569573,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CF,obv,-0.193088208812078,not_detected_or_insufficient,not_recomputed_full_population_unavailable
CF,xgd,-0.1102498469438037,not_detected_or_insufficient,not_recomputed_full_population_unavailable
FB,possession,0.3358296754383878,not_detected_or_insufficient,not_recomputed_full_population_unavailable
FB,np_xg,-0.191638063968049,not_detected_or_insufficient,not_recomputed_full_population_unavailable
FB,np_xg_conceded,-0.3360913139648439,not_detected_or_insufficient,not_recomputed_full_population_unavailable
FB,pressures,-0.0759612217760329,not_detected_or_insufficient,not_recomputed_full_population_unavailable
FB,passes,0.2846729381219454,not_detected_or_insufficient,not_recomputed_full_population_unavailable
FB,obv,0.1511999630165835,not_detected_or_insufficient,not_recomputed_full_population_unavailable
FB,xgd,-0.0594966273308554,not_detected_or_insufficient,not_recomputed_full_population_unavailable
GK,possession,-0.0095922237110452,not_detected_or_insufficient,not_recomputed_full_population_unavailable
GK,np_xg,-0.1525465148444697,not_detected_or_insufficient,not_recomputed_full_population_unavailable
GK,np_xg_conceded,-0.1564995194689394,not_detected_or_insufficient,not_recomputed_full_population_unavailable
GK,pressures,-0.2291810821459083,not_detected_or_insufficient,not_recomputed_full_population_unavailable
GK,passes,-0.1901608681644443,not_detected_or_insufficient,not_recomputed_full_population_unavailable
GK,obv,-0.3998591348168107,not_detected_or_insufficient,not_recomputed_full_population_unavailable
GK,xgd,-0.0675265792309072,not_detected_or_insufficient,not_recomputed_full_population_unavailable
MID,possession,0.0420112305365543,not_detected_or_insufficient,not_recomputed_full_population_unavailable
MID,np_xg,-0.1944121142471342,not_detected_or_insufficient,not_recomputed_full_population_unavailable
MID,np_xg_conceded,0.1241216099476793,not_detected_or_insufficient,not_recomputed_full_population_unavailable
MID,pressures,0.2564868909165407,not_detected_or_insufficient,not_recomputed_full_population_unavailable
MID,passes,0.3148691665893228,not_detected_or_insufficient,not_recomputed_full_population_unavailable
MID,obv,0.0422600387466273,not_detected_or_insufficient,not_recomputed_full_population_unavailable
MID,xgd,-0.2081529501001603,not_detected_or_insufficient,not_recomputed_full_population_unavailable
WINGER,possession,0.670896237202165,potential_bias,not_recomputed_full_population_unavailable
WINGER,np_xg,0.35389127869685,not_detected_or_insufficient,not_recomputed_full_population_unavailable
WINGER,np_xg_conceded,-0.1930475519240916,not_detected_or_insufficient,not_recomputed_full_population_unavailable
WINGER,pressures,-0.4672838788962459,not_detected_or_insufficient,not_recomputed_full_population_unavailable
WINGER,passes,0.6981675419248575,potential_bias,not_recomputed_full_population_unavailable
WINGER,obv,0.3701467469970423,not_detected_or_insufficient,not_recomputed_full_population_unavailable
WINGER,xgd,0.3651873246448281,not_detected_or_insufficient,not_recomputed_full_population_unavailable
