target_dataset,source_path,mapping_status,would_load_rows,missing_fields,duplicate_source_candidates,schema_conflict,id_inconsistency_risk,ready_for_execute
competition_metadata,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_competitions.jsonl,missing_required_fields,222,competition_id,False,True,unknown_until_execute,False
season_metadata,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_botola_2seasons/gold/marts/possession_chains.jsonl,missing_required_fields,988,season_id;season_name;competition_id,False,True,unknown_until_execute,False
silver_matches,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_botola_318_10matches/gold/marts/possession_chains.jsonl,missing_required_fields,2319,provider_id;competition_id;season_id;match_date,False,True,unknown_until_execute,False
silver_lineups,/home/platform/DataPlatform/tmp/master_data_warehouse/silver/silver_lineups.jsonl,missing_required_fields,450,player_id;team_id,False,True,unknown_until_execute,False
silver_events,/home/platform/DataPlatform/tmp/master_data_warehouse/silver/silver_events.jsonl,missing_required_fields,35082,match_id;type;team,False,True,unknown_until_execute,False
player_match_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/gold/gold_player_match_stats.jsonl,missing_required_fields,472,statsbomb_player_id;team_id;competition_id;season_id;metrics,False,True,unknown_until_execute,False
team_match_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/marts_v2/mart_set_piece_defensive_team_match_v1.jsonl,missing_required_fields,59,match_provider_id;metrics,False,True,unknown_until_execute,False
player_season_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/marts_v2/mart_statsbomb_player_season_stats_direct_v1.jsonl,missing_required_fields,489,statsbomb_player_id,False,True,unknown_until_execute,False
team_season_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/marts_v2/mart_statsbomb_team_season_stats_direct_v1.jsonl,duplicate_source_candidates,16,,True,False,unknown_until_execute,True
player_metadata,/home/platform/DataPlatform/tmp/master_data_warehouse/gold/gold_player_metric_benchmarks.jsonl,missing_required_fields,28758,player_id,False,True,unknown_until_execute,False
team_metadata,/home/platform/DataPlatform/packages/myteam-viz/node_modules/node-releases/data/processed/envs.json,missing_required_fields,366,team_id;team_name,False,True,unknown_until_execute,False
