target_dataset,source_path,source_format,mapping_status,required_fields_present,missing_fields,transformation_needed,blocking_issue
competition_metadata,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_competitions.jsonl,jsonl,missing_required_fields,False,competition_id,schema_completion_required,missing required fields
season_metadata,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_botola_2seasons/gold/marts/possession_chains.jsonl,jsonl,missing_required_fields,False,season_id;season_name;competition_id,schema_completion_required,missing required fields
silver_matches,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_botola_318_10matches/gold/marts/possession_chains.jsonl,jsonl,missing_required_fields,False,provider_id;competition_id;season_id;match_date,schema_completion_required,missing required fields
silver_lineups,/home/platform/DataPlatform/tmp/master_data_warehouse/silver/silver_lineups.jsonl,jsonl,missing_required_fields,False,player_id;team_id,schema_completion_required,missing required fields
silver_events,/home/platform/DataPlatform/tmp/master_data_warehouse/silver/silver_events.jsonl,jsonl,missing_required_fields,False,match_id;type;team,schema_completion_required,missing required fields
player_match_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/gold/gold_player_match_stats.jsonl,jsonl,missing_required_fields,False,statsbomb_player_id;team_id;competition_id;season_id;metrics,schema_completion_required,missing required fields
team_match_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/marts_v2/mart_set_piece_defensive_team_match_v1.jsonl,jsonl,missing_required_fields,False,match_provider_id;metrics,schema_completion_required,missing required fields
player_season_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/marts_v2/mart_statsbomb_player_season_stats_direct_v1.jsonl,jsonl,missing_required_fields,False,statsbomb_player_id,schema_completion_required,missing required fields
team_season_stats_direct,/home/platform/DataPlatform/tmp/master_data_warehouse/marts_v2/mart_statsbomb_team_season_stats_direct_v1.jsonl,jsonl,duplicate_source_candidates,True,,copy_to_compatible_layout,
player_metadata,/home/platform/DataPlatform/tmp/master_data_warehouse/gold/gold_player_metric_benchmarks.jsonl,jsonl,missing_required_fields,False,player_id,schema_completion_required,missing required fields
team_metadata,/home/platform/DataPlatform/packages/myteam-viz/node_modules/node-releases/data/processed/envs.json,json,missing_required_fields,False,team_id;team_name,schema_completion_required,missing required fields
