provider_dataset,path,available,row_count
cached_matches,/home/platform/DataPlatform/lake/raw/statsbomb/matches/extracted_date=2026-06-27/run_id=botola_statsbomb_backfill_20260627T220356Z/competition_id=1229/season_id=318/matches.json,True,224
cached_matches,/home/platform/DataPlatform/lake/bronze/statsbomb/matches/statsbomb_matches.json,True,10
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_provider_events.jsonl,True,35082
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_competitions.jsonl,True,222
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_provider_teams.jsonl,True,22
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_events.jsonl,True,35082
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_transfermarkt_market_values.jsonl,False,0
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_transfermarkt_players.jsonl,True,6
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_360.jsonl,False,0
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_lineups.jsonl,True,22
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_provider_players.jsonl,True,450
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_matches.jsonl,True,11
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_team_match_stats.jsonl,True,22
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_player_match_stats.jsonl,True,350
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_player_season_stats.jsonl,True,489
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_transfermarkt_coach_profiles.jsonl,True,14
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_transfermarkt_coach_history.jsonl,True,192
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_statsbomb_team_season_stats.jsonl,True,16
cached_matches,/home/platform/DataPlatform/tmp/master_data_warehouse/bronze/bronze_raw_provider_matches.jsonl,True,11
events,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_botola_318_10matches/bronze/statsbomb_events_flat.jsonl,True,30940
events,/home/platform/DataPlatform/tmp/statsbomb_warehouse_flow_botola_318_10matches/silver/myteam_canonical_events.jsonl,True,30940
events,/home/platform/DataPlatform/tmp/master_data_warehouse_real_3773386/bronze/bronze_raw_provider_events.jsonl,True,3891
