dataset,row_count,status,missing_fields
competition_metadata,0,NOT_EXECUTED,competition_id;competition_name
season_metadata,0,NOT_EXECUTED,season_id;season_name;competition_id
silver_matches,0,NOT_EXECUTED,match_id;competition_id;season_id;match_date;home_team_id;away_team_id
silver_lineups,0,NOT_EXECUTED,match_id;player_id;player_name;team_id;team_name;position
silver_events,0,NOT_EXECUTED,match_id;event_id;event_type;team_id;timestamp
player_match_stats_direct,0,NOT_EXECUTED,player_id;player_name;match_id;team_id;competition_id;season_id;minutes
team_match_stats_direct,0,NOT_EXECUTED,team_id;match_id;competition_id;season_id
player_season_stats_direct,0,NOT_EXECUTED,player_id;player_name;team_id;competition_id;season_id;minutes
team_season_stats_direct,0,NOT_EXECUTED,team_id;competition_id;season_id
player_metadata,0,NOT_EXECUTED,player_id;player_name
team_metadata,0,NOT_EXECUTED,team_id;team_name
