path,item_type,credential_variable_detected,safe_pattern,risk_level,recommendation
/home/platform/DataScienceResearch/scripts/check_statsbomb_credentials.py,script,STATSBOMB_USERNAME;STATSBOMB_PASSWORD;STATSBOMB_API_TOKEN;STATSBOMB_CLIENT_ID;STATSBOMB_CLIENT_SECRET;STATSBOMB_AUTH_TOKEN;STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD,PASS,low,Keep variable names only; never commit values.
/home/platform/DataScienceResearch/outputs/reports/011_provider_access_summary.md,config_or_doc,STATSBOMB_API_TOKEN;STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataScienceResearch/experiments/012_licensed_provider_backfill.py,script,STATSBOMB_USERNAME;STATSBOMB_PASSWORD;STATSBOMB_API_TOKEN;STATSBOMB_CLIENT_ID;STATSBOMB_CLIENT_SECRET;STATSBOMB_AUTH_TOKEN;STATSBOMB_BASE_URL;STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataScienceResearch/experiments/011_provider_statsbomb_ingestion.py,script,STATSBOMB_API_TOKEN;STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataScienceResearch/configs/011_provider_ingestion_config.example.json,config_or_doc,STATSBOMB_API_TOKEN;STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataScienceResearch/configs/013_statsbomb_credentials.env.example,env_template,STATSBOMB_USERNAME;STATSBOMB_PASSWORD;STATSBOMB_API_TOKEN;STATSBOMB_CLIENT_ID;STATSBOMB_CLIENT_SECRET;STATSBOMB_AUTH_TOKEN;STATSBOMB_BASE_URL,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/DATA_SOURCES.md,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/.env.example,env_template,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/ENV_SETUP.md,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/PROJECT_AUDIT.md,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/docker-compose.yml,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/STATSBOMB_API_COVERAGE_AUDIT.md,config_or_doc,STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/STATSBOMB_API_SMOKE_TEST.md,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/.env,env_file,,PASS,medium,No StatsBomb credential variable detected.
/home/platform/DataPlatform/scripts/botola_statsbomb_support.py,script,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/apps/warehouse_explorer/.env.example,env_template,,PASS,low,No StatsBomb credential variable detected.
/home/platform/DataPlatform/extractors/statsbomb/cli.py,script,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/extractors/statsbomb/runtime.py,script,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/extractors/statsbomb/config.py,script,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/tmp/statsbomb_api_smoke/credential_presence_redacted.json,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/tmp/statsbomb_api_smoke/smoke_result_redacted.json,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/docs/operations/remote_execution_setup.md,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/docs/operations/run_botola_statsbomb.md,config_or_doc,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/tests/test_botola_scripts.py,script,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
/home/platform/DataPlatform/warehouse/ingestion/statsbomb_api_client.py,script,STATSBOMB_API_USERNAME;STATSBOMB_API_PASSWORD;STATSBOMB_API_BASE,PASS,low,Keep variable names only; never commit values.
