metric,value,status
match_count,11.0,observed
competition_count,1.0,observed
season_count,1.0,observed
player_count,295.0,observed
team_count,18.0,observed
event_count,35082.0,observed
lineup_rows,450.0,observed
player_event_linkage_coverage,0.9944986032723334,ratio
team_event_linkage_coverage,1.0,ratio
possession_coverage,1.0,ratio
location_coverage,0.9891112251296962,ratio
shot_detail_coverage,0.006955133686790947,ratio
pass_detail_coverage,0.287355338920244,ratio
carry_detail_coverage,0.22011287839917906,ratio
defensive_action_coverage,0.0771335727723619,ratio
pressure_coverage,0.09423636052676586,ratio
obv_field_coverage,1.0,ratio
