match_provider_id,team_provider_id,competition_id,season_id,team_name,event_count,possession_count,pass_volume,passes_completed,pass_completion,final_third_entries,box_entries,shots,xg,pressures,defensive_actions,field_tilt_proxy,territory_proxy_avg_x,event_count_defensive_third,event_count_middle_third,event_count_attacking_third,formula_version,metric_lineage
3943077,769,1229,318,Colombia,2226,217,660,556,0.8424242424242424,319,74,19,0.9697520534,159,144,0.2205750224618149,57.44599366229063,611,1107,491,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
3943077,779,1229,318,Argentina,1916,222,537,436,0.8119180633147114,230,61,11,1.0827064416,154,126,0.19989561586638832,54.734250926416095,625,881,383,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020497,36099,1229,318,KAC Marrakech,1313,209,325,237,0.7292307692307692,172,50,13,1.2910258154,200,143,0.22239146991622238,53.87157242447716,444,555,292,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020497,6994,1229,318,Wydad Casablanca,1690,201,484,389,0.8037190082644629,271,70,13,0.9576691508,133,117,0.25502958579881657,57.3511377245509,554,685,431,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020498,2365,1229,318,Difaâ El Jadida,1552,255,430,316,0.7348837209302326,202,41,6,0.4001967272,222,133,0.22164948453608246,55.37279843444227,514,675,344,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020498,25917,1229,318,CODM Meknès,1625,239,466,351,0.7532188841201717,193,39,10,0.43577374739999997,164,141,0.19507692307692306,51.94704418170504,596,694,317,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020499,2838,1229,318,FAR Rabat,1655,221,473,382,0.8076109936575053,235,55,8,1.4871032052,160,137,0.2362537764350453,56.449116392443635,512,738,391,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020499,36100,1229,318,US Yacoub El Mansour,1661,221,474,378,0.7974683544303798,235,50,8,0.3115234096,161,131,0.22937989163154726,55.76334951456311,552,715,381,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020500,2349,1229,318,Raja Casablanca,1745,179,493,410,0.8316430020283976,227,77,16,1.8939908987,199,107,0.19312320916905446,54.86851851851853,581,810,337,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020500,2761,1229,318,FUS Rabat,1398,181,371,290,0.7816711590296496,271,70,14,0.9719579442999999,145,131,0.2811158798283262,58.69021029731689,392,594,393,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020501,2839,1229,318,Ittihad Tanger,1605,208,506,385,0.7608695652173914,224,66,8,1.9887169210000004,122,115,0.2205607476635514,54.05575833857772,586,649,354,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020501,6992,1229,318,Hassania Agadir,1240,219,330,226,0.6848484848484848,204,46,8,1.4583846649,160,134,0.2701612903225806,56.98280098280098,431,455,335,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020502,2762,1229,318,RSB Berkane,2242,202,675,583,0.8637037037037038,356,62,17,2.1529524963,137,127,0.25512934879571814,58.89510332434861,620,1034,572,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020502,2889,1229,318,Olympique Dcheïra,1585,219,436,327,0.75,188,38,9,0.3461748147,206,129,0.19242902208201892,51.624188415022275,596,670,305,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020503,11935,1229,318,UTS Rabat,1383,214,387,289,0.7467700258397932,201,41,8,0.6135601642999999,141,114,0.25958062183658714,58.669905040175315,388,622,359,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020503,6989,1229,318,Olympic Safi,1500,208,440,344,0.7818181818181819,206,53,11,2.0492802327,86,108,0.22466666666666665,55.31159811193527,502,644,337,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020504,18552,1229,318,Renaissance Zemamra,1569,191,450,357,0.7933333333333333,251,47,14,1.3639125079,145,112,0.25111536010197577,60.65883870967742,373,783,394,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4020504,6995,1229,318,Maghreb Fès,1191,181,324,243,0.75,102,22,5,1.6203406481,140,125,0.14021830394626364,48.410315430520036,494,512,167,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4030232,2839,1229,318,Ittihad Tanger,1514,179,454,357,0.7863436123348018,301,57,9,0.6486940153,142,96,0.29920739762219284,61.09056224899598,390,651,453,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4030232,6989,1229,318,Olympic Safi,1335,176,406,320,0.7881773399014779,333,66,16,1.2296625529000003,102,100,0.349063670411985,60.3609552691433,407,446,466,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4030233,2762,1229,318,RSB Berkane,1679,204,526,419,0.7965779467680608,194,39,10,1.9503753144,106,111,0.17748659916617035,50.31063063063063,708,659,298,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
4030233,36099,1229,318,KAC Marrakech,1458,209,434,331,0.7626728110599078,261,67,11,0.7089975658,122,125,0.2578875171467764,58.46062283737024,403,666,376,event_derived_research_v0.1,event_derived_research_fallback_not_provider_direct
