field,present_rows,total_rows,coverage
competition_id,35082,35082,1.0
index,35082,35082,1.0
event_type,35082,35082,1.0
match_provider_id,35082,35082,1.0
minute,35082,35082,1.0
raw_payload_hash,35082,35082,1.0
period,35082,35082,1.0
season_id,35082,35082,1.0
provider,35082,35082,1.0
provider_event_id,35082,35082,1.0
goal,35082,35082,1.0
pass_completed,35082,35082,1.0
team_provider_id,35082,35082,1.0
team_name,35082,35082,1.0
second,35082,35082,1.0
raw_payload.obv_total_net,35082,35082,1.0
raw_payload.period,35082,35082,1.0
raw_payload.obv_for_net,35082,35082,1.0
raw_payload.minute,35082,35082,1.0
raw_payload.obv_against_before,35082,35082,1.0
shot_on_target,35082,35082,1.0
key_pass,35082,35082,1.0
assist,35082,35082,1.0
has_location,35082,35082,1.0
box_entry,35082,35082,1.0
is_progressive,35082,35082,1.0
final_third_entry,35082,35082,1.0
has_end_location,35082,35082,1.0
raw_payload.obv_against_after,35082,35082,1.0
raw_payload.id,35082,35082,1.0
raw_payload.index,35082,35082,1.0
raw_payload.possession_team,35082,35082,1.0
raw_payload.type,35082,35082,1.0
raw_payload.timestamp,35082,35082,1.0
raw_payload.team,35082,35082,1.0
raw_payload.possession,35082,35082,1.0
raw_payload.obv_for_before,35082,35082,1.0
raw_payload.obv_for_after,35082,35082,1.0
raw_payload.obv_against_net,35082,35082,1.0
raw_payload.play_pattern,35082,35082,1.0
raw_payload.second,35082,35082,1.0
raw_payload.attacking_direction,35042,35082,0.9988598141497064
raw_payload.position,34889,35082,0.9944986032723334
player_name,34889,35082,0.9944986032723334
raw_payload.player,34889,35082,0.9944986032723334
player_provider_id,34889,35082,0.9944986032723334
raw_payload.location,34700,35082,0.9891112251296962
y,34700,35082,0.9891112251296962
x,34700,35082,0.9891112251296962
raw_payload.related_events,34131,35082,0.9728920814092697
raw_payload.duration,26548,35082,0.7567413488398609
end_y,18047,35082,0.5144233510062141
end_x,18047,35082,0.5144233510062141
raw_payload.pass,10081,35082,0.287355338920244
raw_payload.carry,7722,35082,0.22011287839917906
raw_payload.under_pressure,7389,35082,0.21062083119548486
outcome,3283,35082,0.09358075366284704
raw_payload.set_piece_phase,2619,35082,0.07465366854797333
raw_payload.counterpress,1100,35082,0.03135511088307394
raw_payload.duel,655,35082,0.018670543298557666
raw_payload.ball_receipt,607,35082,0.017302320278205347
raw_payload.clearance,485,35082,0.013824753434809874
raw_payload.out,455,35082,0.012969614047089675
raw_payload.off_camera,404,35082,0.011515877087965339
raw_payload.goalkeeper,336,35082,0.009577561142466221
xg,244,35082,0.006955133686790947
raw_payload.shot,244,35082,0.006955133686790947
raw_payload.dribble,227,35082,0.006470554700416168
raw_payload.interception,165,35082,0.0047032666324610915
raw_payload.foul_won,126,35082,0.0035915854284248334
raw_payload.substitution,108,35082,0.0030785017957927143
raw_payload.foul_committed,90,35082,0.002565418163160595
raw_payload.ball_recovery,74,35082,0.002109343823043156
raw_payload.50_50,67,35082,0.0019098112992417765
raw_payload.tactics,63,35082,0.0017957927142124167
raw_payload.block,25,35082,0.0007126161564334987
raw_payload.bad_behaviour,11,35082,0.0003135511088307394
raw_payload.injury_stoppage,8,35082,0.00022803717005871957
raw_payload.miscontrol,8,35082,0.00022803717005871957
