role,player_id,player_name,similar_player_id,similar_player_name,cosine_similarity,euclidean_distance,similarity_score,shared_metrics_count,similarity_confidence,quality_flags,research_only,production_ready
GK,6909,Damián Emiliano Martínez,27225,Camilo Andrés Vargas Gil,93.481872,28.170013,93.481872,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,36951,Babacar Niasse,97.307511,20.784778,97.307511,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,138841,Salaheddine Chihab,98.942274,14.635847,98.942274,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,138935,Rachid Ghanimi,88.554856,33.868069,88.554856,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,138950,Mehdi Harrar,98.219491,14.070347,98.219491,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,138972,Mahdi Benabid,96.406493,23.015355,96.406493,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,138989,Mohamed Ferni,85.844809,36.308573,85.844809,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,139011,Ahmed Reda Tagnaouti,83.315305,38.949441,83.315305,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,139555,Aymane Majid,99.992634,1.541076,99.992634,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,139572,Amine El Ouaad,92.324933,29.72551,92.324933,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,143162,Mehdi Maftah,95.145628,25.519193,95.145628,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,200507,Abderrahmane Kernane,78.42753,41.874914,78.42753,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,317852,Abderahmane El Houasli,91.348709,30.914325,91.348709,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,362445,Badreddine Abyir,86.566667,35.689113,86.566667,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,477675,Mohamed Idar,85.096835,36.930959,85.096835,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,522350,Mohamed Jemjami,94.735452,25.44319,94.735452,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,6909,Damián Emiliano Martínez,523287,Ismail Sayad,99.322763,12.243196,99.322763,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,36951,Babacar Niasse,91.390208,34.049728,91.390208,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,138841,Salaheddine Chihab,92.719927,31.002603,92.719927,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,138935,Rachid Ghanimi,84.02011,42.810859,84.02011,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,138950,Mehdi Harrar,98.454093,14.212831,98.454093,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,138972,Mahdi Benabid,90.644099,35.355085,90.644099,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,138989,Mohamed Ferni,81.710012,44.679595,81.710012,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,139011,Ahmed Reda Tagnaouti,95.50096,25.353337,95.50096,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,139555,Aymane Majid,93.488712,28.125046,93.488712,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,139572,Amine El Ouaad,87.2182,39.780878,87.2182,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,143162,Mehdi Maftah,89.59203,36.92605,89.59203,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,200507,Abderrahmane Kernane,75.356494,49.129834,75.356494,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,317852,Abderahmane El Houasli,86.392274,40.63032,86.392274,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,362445,Badreddine Abyir,82.326067,44.199985,82.326067,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,477675,Mohamed Idar,81.071167,45.164898,81.071167,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,522350,Mohamed Jemjami,94.296016,31.105443,94.296016,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,27225,Camilo Andrés Vargas Gil,523287,Ismail Sayad,93.019506,30.074353,93.019506,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,36951,Babacar Niasse,138841,Salaheddine Chihab,99.618494,6.148931,99.618494,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,36951,Babacar Niasse,138935,Rachid Ghanimi,96.784848,13.083291,96.784848,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,36951,Babacar Niasse,138950,Mehdi Harrar,95.543848,25.485555,95.543848,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,36951,Babacar Niasse,138972,Mahdi Benabid,99.933006,2.230577,99.933006,3,medium_research_only,SAME_ROLE_ONLY;RESEARCH_ONLY;SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
