role,dimension,candidate_metrics,selected_metrics,missing_metrics,support_status,sample_status,quality_warning,research_only,production_ready
GK,involvement_distribution,passes;successful_passes;touches,passes;successful_passes;touches,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,defensive_actions,clearances;blocks,blocks;clearances,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,shot_facing_context,shots;xg,shots;xg,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,defensive_activity,interceptions;clearances;blocks;ball_recoveries,ball_recoveries;blocks;clearances;interceptions,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,aerial_or_duel_activity,aerial_duels,,aerial_duels,LOW_CONFIDENCE,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,progression,progressive_passes;carries,carries;progressive_passes,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,possession_security,passes;successful_passes;pass_completion_rate,pass_completion_rate;passes;successful_passes,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,wide_progression,progressive_passes;progressive_carries;passes_into_final_third,passes_into_final_third;progressive_passes,progressive_carries,PARTIAL_SUPPORT,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,crossing,passes_into_box;key_passes,key_passes;passes_into_box,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,defensive_activity,interceptions;blocks;ball_recoveries,ball_recoveries;blocks;interceptions,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,carrying,carries;progressive_carries,carries,progressive_carries,PARTIAL_SUPPORT,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,progression,progressive_passes;carries;passes_into_final_third,carries;passes_into_final_third;progressive_passes,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,retention,passes;successful_passes;pass_completion_rate,pass_completion_rate;passes;successful_passes,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,defensive_activity,pressures;ball_recoveries;interceptions,ball_recoveries;interceptions;pressures,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,chance_creation,key_passes;assists;passes_into_box,assists;key_passes;passes_into_box,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
WINGER,carrying,carries;progressive_carries,carries,progressive_carries,PARTIAL_SUPPORT,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
WINGER,chance_creation,key_passes;assists;passes_into_box,assists;key_passes;passes_into_box,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
WINGER,box_threat,passes_into_box;shots,passes_into_box;shots,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
WINGER,shot_threat,shots;shots_on_target;xg;goals,goals;shots;shots_on_target;xg,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,shot_threat,shots;shots_on_target;xg;goals,goals;shots;shots_on_target;xg,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,box_presence,shots;xg;touches,shots;touches;xg,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,link_play,passes;successful_passes;key_passes;assists,assists;key_passes;passes;successful_passes,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,pressing,pressures;ball_recoveries,ball_recoveries;pressures,,SUPPORTED_RESEARCH_ONLY,SAMPLE_TOO_SMALL,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
