player_id,player_name,role,top_positive_contributors,weakest_dimensions,missing_metrics,confidence_reducers,derivation_warnings,why_score_is_research_only,research_only,production_ready
3252,Oussama Haddadi,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
3494,Davinson Sánchez Mina,CB,progression;possession_security;defensive_activity,progression;possession_security;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
6725,Zakaria Bakkali,CB,defensive_activity;progression;possession_security,defensive_activity;progression;possession_security,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
7378,Yunis Abdelhamid,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
8861,Bart Meijers,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
20572,Cristian Gabriel Romero,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
27768,Lisandro Martínez,CB,possession_security;defensive_activity;progression,possession_security;defensive_activity;progression,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
28567,Carlos Eccehomo Cuesta Figueroa,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
49760,Adil Rhaili,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
67700,Badr Banoun,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
131244,Ismaël Kandouss,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
138839,Driss Abdi,CB,possession_security;progression;defensive_activity,possession_security;progression;defensive_activity,aerial_duels,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY;LOW_CONFIDENCE_EVENT_DERIVED_METRICS,event-derived;not provider-direct;small sample;formula-based prototype,Built only from Experiment 014 event-derived outputs; no licensed provider-direct backfill; no production coefficients; no production validation.,True,False
