role,metric,source_column,status,derivation_status,reason_included,reason_excluded,derivation_confidence,quality_warning,research_only,production_ready
GK,blocks,blocks_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,clearances,clearances_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,passes,passes_attempted_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,shots,shots_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
GK,successful_passes,passes_completed_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
GK,touches,touches_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
GK,xg,xg_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,aerial_duels,,excluded,partially_derivable,,missing usable player-season column,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CB,ball_recoveries,ball_recoveries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,blocks,blocks_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,carries,carries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,clearances,clearances_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,interceptions,interceptions_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,pass_completion_rate,pass_completion_rate,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CB,passes,passes_attempted_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CB,progressive_passes,progressive_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CB,successful_passes,passes_completed_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
FB,ball_recoveries,ball_recoveries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,blocks,blocks_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,carries,carries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,interceptions,interceptions_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
FB,key_passes,key_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
FB,passes_into_box,box_entries_pass_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
FB,passes_into_final_third,final_third_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
FB,progressive_carries,,excluded,partially_derivable,,missing usable player-season column,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
FB,progressive_passes,progressive_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
MID,assists,assists_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
MID,ball_recoveries,ball_recoveries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,carries,carries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,interceptions,interceptions_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,key_passes,key_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
MID,pass_completion_rate,pass_completion_rate,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
MID,passes,passes_attempted_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,passes_into_box,box_entries_pass_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
MID,passes_into_final_third,final_third_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
MID,pressures,pressures_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
MID,progressive_passes,progressive_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
MID,successful_passes,passes_completed_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
WINGER,assists,assists_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
WINGER,carries,carries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
WINGER,goals,goals_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
WINGER,key_passes,key_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
WINGER,passes_into_box,box_entries_pass_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
WINGER,progressive_carries,,excluded,partially_derivable,,missing usable player-season column,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
WINGER,shots,shots_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
WINGER,shots_on_target,shots_on_target_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
WINGER,xg,xg_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,assists,assists_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CF,ball_recoveries,ball_recoveries_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,goals,goals_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,key_passes,key_passes_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CF,passes,passes_attempted_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,pressures,pressures_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,shots,shots_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
CF,shots_on_target,shots_on_target_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CF,successful_passes,passes_completed_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CF,touches,touches_per90,included,partially_derivable,event-derived metric available in 014 player-season table,,medium,PARTIAL_DERIVATION_RESEARCH_ONLY,True,False
CF,xg,xg_per90,included,safely_derivable,event-derived metric available in 014 player-season table,,high,SAMPLE_TOO_SMALL_LOCAL_11_MATCHES_NOT_PRODUCTION_READY,True,False
