role,player_id,player_name,metric,contribution_type,contribution_delta
CB,3252,Oussama Haddadi,obv_pass_90,positive,42.36736161705884
CB,3252,Oussama Haddadi,aerial_ratio,positive,31.92004849787542
CB,3252,Oussama Haddadi,op_f3_passes_90,positive,30.828900078597293
CB,3252,Oussama Haddadi,blocks_per_shot,negative,-57.63263838294116
CB,3252,Oussama Haddadi,clearance_90,negative,-42.24802299832578
CB,3252,Oussama Haddadi,obv_defensive_action_90,negative,-23.30954254907109
CB,7378,Yunis Abdelhamid,aerial_ratio,positive,56.026833309706404
CB,7378,Yunis Abdelhamid,interceptions_90,positive,54.76366437029412
CB,7378,Yunis Abdelhamid,op_xgbuildup_90,positive,32.592633405155325
CB,7378,Yunis Abdelhamid,obv_pass_90,negative,-43.973166690293596
CB,7378,Yunis Abdelhamid,obv_defensive_action_90,negative,-43.973166690293596
CB,7378,Yunis Abdelhamid,clearance_90,negative,-40.12701284413975
CB,49760,Adil Rhaili,aerial_ratio,positive,43.998233811183276
CB,49760,Adil Rhaili,op_xgbuildup_90,positive,29.293791205766375
CB,49760,Adil Rhaili,op_f3_passes_90,positive,24.76746458041405
CB,49760,Adil Rhaili,ball_recoveries_90,negative,-39.769969822200835
CB,49760,Adil Rhaili,obv_defensive_action_90,negative,-30.21566675289362
CB,49760,Adil Rhaili,interceptions_90,negative,-28.940662216063362
CB,67700,Badr Banoun,op_f3_passes_90,positive,33.83305757056067
CB,67700,Badr Banoun,obv_pass_90,positive,28.880330608173765
CB,67700,Badr Banoun,op_xgbuildup_90,positive,21.016461986127425
CB,67700,Badr Banoun,clearance_90,negative,-39.2438655063624
CB,67700,Badr Banoun,aerial_ratio,negative,-16.37916791035287
CB,67700,Badr Banoun,ball_recoveries_90,negative,-15.577056142668475
CB,131244,Ismaël Kandouss,aerial_ratio,positive,32.596649855851815
CB,131244,Ismaël Kandouss,op_f3_passes_90,positive,20.61892478896433
CB,131244,Ismaël Kandouss,ball_recoveries_90,positive,18.66169110038542
CB,131244,Ismaël Kandouss,interceptions_90,negative,-31.736846800526287
