role_family,metric,n,mean,median,std,mad,iqr,cv,p5,p10,p25,p50,p75,p90,p95,min,max,missing_pct,outlier_pct,skewness,kurtosis,heavy_tails,multimodal,mode_count,modality_method,shapiro_stat,shapiro_p
GK,average_x_defensive_action,12,3.0457015999999997,3.08602585,0.4564982193826409,0.38473080000000004,0.7485755000000003,0.1498827788587828,2.47699395,2.5166196100000002,2.642155075,3.08602585,3.390730575,3.4982334,3.6443423499999996,2.4403062,3.8118553,0.0,0.0,0.12749492547434563,-1.4246487192781538,False,True,2,histogram_peaks=2;bins=5,0.9224750103032104,0.3070839636394995
GK,goals_faced_90,12,0.7055779158333332,0.693997985,0.29647987408607057,0.3181308650000001,0.46518544500000014,0.42019437886729866,0.278641841,0.30529543000000003,0.54359308,0.693997985,1.008778525,1.0237903,1.0671126499999999,0.25311908,1.1193885,0.0,0.0,-0.17584952708759222,-1.151796523413727,False,True,3,histogram_peaks=3;bins=5,0.9196902259171071,0.28335771030159496
GK,obv_pass_90,12,0.08772157125,0.079725095,0.03224098233869138,0.00743924,0.026349794999999995,0.36753767493296446,0.053052747750000004,0.071875731,0.0735829125,0.079725095,0.0999327075,0.115623144,0.13685668299999998,0.030172195,0.16259137,0.0,16.666666666666664,0.8360852182306607,2.3357865974434002,False,True,2,histogram_peaks=2;bins=5,0.8863837900002085,0.10585469014623372
GK,p_pass_length,12,43.22842756907145,42.44244575500488,4.5147000699980016,2.5262222290039062,5.478322982788086,0.10443822095504868,37.26736965179443,38.288662338256835,40.48056697845459,42.44244575500488,45.958889961242676,49.679927825927734,50.030921363830565,36.24393081665039,50.3466682434082,0.0,0.0,0.3455295703332528,-0.7554352260537245,False,False,1,histogram_peaks=1;bins=5,0.9404942595875115,0.5045016751502897
GK,pass_length,12,41.45108459453066,40.902336375095416,6.118935900532657,3.4621629482648153,6.5615947118524645,0.1476182338866962,32.30415645989631,33.08225736254894,38.767662750150954,40.902336375095416,45.32925746200342,46.852071995457116,50.12301992740271,32.056156335149865,53.973503832547166,0.0,0.0,0.31516173162826455,0.5101772911501214,False,False,1,histogram_peaks=1;bins=5,0.9614601231634251,0.8044566452285287
CB,aerial_ratio,25,0.6583138112026456,0.6590909090909091,0.08866792754552427,0.055317324185248706,0.1070697885883155,0.13468945362628892,0.5366666666666666,0.56,0.6037735849056604,0.6590909090909091,0.7108433734939759,0.7553741496598639,0.7826900584795321,0.4146341463414634,0.8,0.0,4.0,-0.6919538506549369,0.9603072574206344,False,False,1,histogram_peaks=1;bins=5,0.9616181241067998,0.44763721224037
CB,ball_recoveries_90,25,9.316713988,9.294089,1.444261823617274,1.200424,2.1124709999999993,0.1550183707987059,7.03032274,7.4425141,8.481923,9.294089,10.594394,10.909402,11.353626399999998,6.393078,11.997385,0.0,0.0,-0.14748408226012508,-0.5572875113292097,False,False,1,histogram_peaks=1;bins=5,0.9814875301501114,0.9129120591041727
CB,blocks_per_shot,25,0.06141146232602399,0.06015037593984962,0.019371215447939034,0.014924245286583288,0.02755539005771737,0.3154332223046609,0.03406213242925344,0.037274484536082474,0.04878048780487805,0.06015037593984962,0.07633587786259542,0.08593444508338126,0.09002457002457001,0.02,0.09174311926605505,0.0,0.0,-0.17859853678608567,-0.6663586330913294,False,True,2,histogram_peaks=2;bins=5,0.9726200497183546,0.711871215687438
CB,clearance_90,25,4.605784372,4.42928,1.1370961476435328,0.8999645999999997,1.7924163000000002,0.24688436448659976,3.1437836999999997,3.3144202199999997,3.528167,4.42928,5.3205833,6.17623236,6.3595686,3.071072,7.1204104,0.0,0.0,0.4274878928270719,-0.6194163105661543,False,True,2,histogram_peaks=2;bins=5,0.9465901272225581,0.20981252392842764
CB,interceptions_90,25,1.0156374012,0.9661653,0.34251972859043983,0.2269138999999999,0.4393278999999999,0.3372460763907912,0.6280060000000001,0.66460964,0.7537513,0.9661653,1.1930792,1.3535567,1.7316408999999988,0.5377355,1.8480874,0.0,0.0,0.9670335115091485,0.7855137269087304,False,False,1,histogram_peaks=1;bins=5,0.9211419950300255,0.05439917855085965
CB,obv_defensive_action_90,25,0.04457509698400001,0.038268775,0.06184592264375159,0.028191399,0.065146434,1.387454584023695,-0.062362688899999984,-0.0074305957399999996,0.016709456,0.038268775,0.08185589,0.12283240400000003,0.14290367999999995,-0.082269475,0.18302338,0.0,8.0,0.13306948167056995,0.4718012414963786,False,False,1,histogram_peaks=1;bins=5,0.9665205688098029,0.5587185064523694
CB,obv_pass_90,25,0.0651886201,0.061495446,0.03089782914693917,0.016004004000000002,0.033278383,0.4739758120288724,0.011037704800000003,0.03200367280000001,0.046102237,0.061495446,0.07938062,0.10133618600000001,0.10696502199999999,0.0048522875,0.14409064,0.0,4.0,0.28382071934462,0.9387179807492041,False,False,1,histogram_peaks=1;bins=5,0.9669400517184301,0.568869317297888
CB,op_f3_passes_90,25,3.200803964,2.8751497,1.5230596446223588,1.1827823,1.5998335,0.47583659035432224,1.2212699599999999,1.38023204,2.4620485,2.8751497,4.061882,5.052232920000001,5.834279919999998,1.0209723,7.076194,0.0,4.0,0.7578370332074511,0.40783192961781234,False,True,2,histogram_peaks=2;bins=5,0.9502938516464509,0.25457609893440425
