role,player_id,instability_driver,max_abs_variation
GK,138950,sensitivity_abs_variation_gt_10,17.445950188286062
GK,139011,sensitivity_abs_variation_gt_10,12.16564272488911
GK,139555,sensitivity_abs_variation_gt_10,16.00855368768233
GK,139572,sensitivity_abs_variation_gt_10,10.775516598279708
GK,317852,sensitivity_abs_variation_gt_10,10.25726487253641
GK,477675,sensitivity_abs_variation_gt_10,15.846827324930295
GK,522350,sensitivity_abs_variation_gt_10,15.059460681298361
GK,523287,sensitivity_abs_variation_gt_10,10.621600596414723
FB,138927,sensitivity_abs_variation_gt_10,11.945736662895655
FB,406864,sensitivity_abs_variation_gt_10,11.745233532493295
MID,10689,sensitivity_abs_variation_gt_10,11.338539633653191
MID,21648,sensitivity_abs_variation_gt_10,10.474949142134257
MID,139565,sensitivity_abs_variation_gt_10,11.512540950068022
MID,416303,sensitivity_abs_variation_gt_10,10.094335320719075
MID,443951,sensitivity_abs_variation_gt_10,10.20450703333233
WINGER,3302,sensitivity_abs_variation_gt_10,12.105838174276684
WINGER,16208,sensitivity_abs_variation_gt_10,13.739444637931376
WINGER,139017,sensitivity_abs_variation_gt_10,10.017917518928968
WINGER,199611,sensitivity_abs_variation_gt_10,12.100779761147454
WINGER,275341,sensitivity_abs_variation_gt_10,10.740318948223173
WINGER,312935,sensitivity_abs_variation_gt_10,10.588762088085112
WINGER,381935,sensitivity_abs_variation_gt_10,10.342280528351878
WINGER,435547,sensitivity_abs_variation_gt_10,11.598856133263581
CF,3319,sensitivity_abs_variation_gt_10,10.924001398741964
CF,38423,sensitivity_abs_variation_gt_10,22.11805831266134
CF,143504,sensitivity_abs_variation_gt_10,19.507770144354886
CF,155705,sensitivity_abs_variation_gt_10,18.384744273844355
CF,406860,sensitivity_abs_variation_gt_10,11.614104500004792
CF,477684,sensitivity_abs_variation_gt_10,13.689894938543041
CF,524001,sensitivity_abs_variation_gt_10,14.787619191659608
GK,522350,bootstrap_rank_variation_gt_5,7.0
CB,131244,bootstrap_rank_variation_gt_5,16.0
CB,138871,bootstrap_rank_variation_gt_5,9.0
CB,138918,bootstrap_rank_variation_gt_5,16.0
CB,138958,bootstrap_rank_variation_gt_5,9.0
CB,138998,bootstrap_rank_variation_gt_5,11.0
CB,139023,bootstrap_rank_variation_gt_5,11.0
CB,139556,bootstrap_rank_variation_gt_5,18.0
CB,157113,bootstrap_rank_variation_gt_5,14.0
CB,202502,bootstrap_rank_variation_gt_5,19.0
CB,313283,bootstrap_rank_variation_gt_5,15.0
