role,player_id,base_rank,mean_bootstrap_rank,average_rank_variation,worst_case_rank_variation,rank_std
GK,138841,11.0,10.343333333333334,0.9566666666666667,2.0,1.105832313648224
GK,138950,8.0,9.15,2.21,4.0,2.404183922758024
GK,138972,7.0,6.8566666666666665,1.01,4.0,1.4432829850049869
GK,139011,12.0,10.22,1.78,5.0,1.8209850691517433
GK,139555,6.0,4.943333333333333,1.81,5.0,2.272444109247663
GK,139572,3.0,3.3,0.88,4.0,1.1695695689392012
GK,317852,9.0,9.45,1.0966666666666667,5.0,1.3810107296655971
GK,362445,2.0,2.013333333333333,0.52,1.0,0.7221916352897596
GK,36951,5.0,5.026666666666666,0.5133333333333333,3.0,0.7967044719389874
GK,477675,4.0,4.283333333333333,1.39,4.0,1.7720579901979232
GK,522350,1.0,2.5633333333333335,1.5633333333333332,7.0,2.1403877580331128
GK,523287,10.0,9.85,1.1166666666666667,4.0,1.5259735639013385
CB,131244,6.0,8.553333333333333,3.9266666666666667,16.0,4.408166132425034
CB,138871,21.0,19.243333333333332,2.25,9.0,2.440760796645936
CB,138918,2.0,3.716666666666667,2.4833333333333334,16.0,3.4924269080276074
CB,138958,23.0,22.19333333333333,1.6266666666666667,9.0,2.323924332510204
CB,138998,13.0,11.476666666666667,3.87,11.0,4.614517105390555
CB,139023,22.0,20.71,2.05,11.0,2.642443634442183
CB,139556,3.0,7.593333333333334,4.746666666666667,18.0,3.861475391117958
CB,157113,9.0,10.73,5.443333333333333,14.0,6.320622402780317
CB,202502,24.0,22.403333333333332,2.0233333333333334,19.0,3.120863371381654
CB,313283,20.0,18.333333333333332,2.74,15.0,3.5502445469807817
CB,314452,12.0,10.96,4.366666666666666,13.0,5.170510671298019
CB,314466,11.0,10.816666666666666,3.0966666666666667,12.0,3.8901800160678426
CB,3252,4.0,8.04,5.22,21.0,6.1136176745225175
CB,338916,17.0,14.933333333333334,4.94,15.0,5.910895406273224
CB,363239,15.0,13.453333333333333,4.486666666666666,14.0,5.434421035909961
CB,407555,10.0,10.923333333333334,3.6033333333333335,11.0,4.26200318230471
CB,409303,8.0,10.14,6.126666666666667,17.0,6.9475146539047135
CB,419744,14.0,12.5,4.206666666666667,13.0,5.107866580417355
CB,442093,25.0,23.206666666666667,1.7933333333333332,21.0,2.9221714257884557
CB,477678,18.0,15.036666666666667,5.263333333333334,17.0,5.992915736012985
CB,49760,7.0,9.31,5.183333333333334,18.0,6.000047379969004
CB,523290,16.0,13.703333333333333,4.43,13.0,5.103148961176364
CB,524512,1.0,3.6133333333333333,2.6133333333333333,16.0,3.0421490966051405
CB,67700,5.0,8.633333333333333,4.426666666666667,17.0,4.537346574303093
CB,7378,19.0,14.776666666666667,6.903333333333333,18.0,7.44478823035765
FB,135851,14.0,12.56,4.88,13.0,5.757043090901933
FB,138910,1.0,1.5533333333333332,0.5533333333333333,6.0,0.9985720015919902
FB,138927,3.0,6.433333333333334,4.1866666666666665,19.0,5.4685683398718155
FB,138945,22.0,19.3,3.3533333333333335,16.0,4.258770215193513
FB,138949,9.0,9.796666666666667,4.236666666666666,13.0,5.095934725311705
FB,138956,6.0,8.873333333333333,4.36,15.0,4.995378019805717
FB,139560,2.0,3.9766666666666666,2.3366666666666664,14.0,3.3496551345809173
FB,140876,13.0,14.186666666666667,2.8066666666666666,9.0,3.250699264453
FB,142789,11.0,12.066666666666666,5.033333333333333,12.0,5.887083152890946
FB,152015,8.0,9.303333333333333,2.05,9.0,2.34013739603682
FB,178342,12.0,12.173333333333334,3.506666666666667,10.0,4.19307705703616
FB,261620,20.0,17.173333333333332,3.7266666666666666,14.0,4.132013310993764
FB,313287,17.0,15.54,4.1,16.0,4.96628095140562
FB,314451,15.0,14.25,3.53,14.0,4.402131590696264
