score_a,score_b,pearson,spearman,distance_correlation
CB_CB_D1,CB_CB_D2,-0.6359524700989388,-0.6460177469342006,0.6329759361887017
CB_CB_D1,CB_CB_D3,-0.41263546929167516,-0.4018475750577367,0.4066542674686041
CB_CB_D1,CB_CB_D4,-0.38403740442270257,-0.360138541471359,0.4280920919325736
CB_CB_D1,CB_CB_D5,0.13912211581503686,0.09949961508852964,0.37057220504413413
CB_CB_D1,CB_CB_D6,-0.08128293179748113,-0.11583606140937319,0.3856387661262211
CB_CB_D1,CB_CB_D7,0.06935984232506412,0.1342824262537439,0.35185055780183433
CB_CB_D1,CB_CB_D8,0.03039046586704427,0.0030781071920628973,0.22684335261607425
CB_CB_D1,CB_CB_D9,0.07135607962593989,0.13969598103522415,0.24587503776967218
CB_CB_D1,CF_CF_D1,,,
CB_CB_D1,CF_CF_D2,,,
CB_CB_D1,CF_CF_D3,,,
CB_CB_D1,CF_CF_D4,,,
CB_CB_D1,FB_FB_D1,,,
CB_CB_D1,FB_FB_D2,,,
CB_CB_D1,FB_FB_D3,,,
CB_CB_D1,FB_FB_D4,,,
CB_CB_D1,FB_FB_D5,,,
CB_CB_D1,FB_FB_D6,,,
CB_CB_D1,FB_FB_D7,,,
CB_CB_D1,GK_GK_D1,,,
CB_CB_D1,GK_GK_D2,,,
CB_CB_D1,GK_GK_D3,,,
CB_CB_D1,MID_MID_D1,,,
CB_CB_D1,MID_MID_D2,,,
CB_CB_D1,MID_MID_D4,,,
CB_CB_D1,MID_MID_D5,,,
CB_CB_D1,MID_MID_D6,,,
CB_CB_D1,MID_MID_D7,,,
CB_CB_D1,WINGER_WINGER_D1,,,
CB_CB_D1,WINGER_WINGER_D2,,,
CB_CB_D1,WINGER_WINGER_D3,,,
CB_CB_D1,WINGER_WINGER_D4,,,
CB_CB_D1,WINGER_WINGER_D5,,,
CB_CB_D1,WINGER_WINGER_D6,,,
CB_CB_D2,CB_CB_D3,0.5048160216491872,0.4759523245727255,0.5121274006419291
CB_CB_D2,CB_CB_D4,0.4184200590142832,0.35923076923076924,0.4183896678204977
CB_CB_D2,CB_CB_D5,0.14665478545194938,0.10350135433311493,0.27515773126808224
CB_CB_D2,CB_CB_D6,0.5172513728947417,0.51471437766903,0.5492825559617672
CB_CB_D2,CB_CB_D7,0.008823938225748673,-0.014615384615384615,0.3066205494276102
CB_CB_D2,CB_CB_D8,-0.14282079508179826,-0.06538461538461539,0.26645560942358115
CB_CB_D2,CB_CB_D9,-0.21591604616765667,-0.20273129822987954,0.3779767056770343
CB_CB_D2,CF_CF_D1,,,
CB_CB_D2,CF_CF_D2,,,
CB_CB_D2,CF_CF_D3,,,
CB_CB_D2,CF_CF_D4,,,
CB_CB_D2,FB_FB_D1,,,
CB_CB_D2,FB_FB_D2,,,
CB_CB_D2,FB_FB_D3,,,
CB_CB_D2,FB_FB_D4,,,
CB_CB_D2,FB_FB_D5,,,
CB_CB_D2,FB_FB_D6,,,
CB_CB_D2,FB_FB_D7,,,
CB_CB_D2,GK_GK_D1,,,
CB_CB_D2,GK_GK_D2,,,
CB_CB_D2,GK_GK_D3,,,
CB_CB_D2,MID_MID_D1,,,
CB_CB_D2,MID_MID_D2,,,
CB_CB_D2,MID_MID_D4,,,
CB_CB_D2,MID_MID_D5,,,
CB_CB_D2,MID_MID_D6,,,
CB_CB_D2,MID_MID_D7,,,
CB_CB_D2,WINGER_WINGER_D1,,,
CB_CB_D2,WINGER_WINGER_D2,,,
CB_CB_D2,WINGER_WINGER_D3,,,
CB_CB_D2,WINGER_WINGER_D4,,,
CB_CB_D2,WINGER_WINGER_D5,,,
CB_CB_D2,WINGER_WINGER_D6,,,
CB_CB_D3,CB_CB_D4,-0.009531813038137781,-0.1027318275350992,0.2759758986503757
CB_CB_D3,CB_CB_D5,-0.23867448970275218,-0.17571208622016937,0.28069579512903625
CB_CB_D3,CB_CB_D6,0.17573312667083318,0.17279199858075936,0.30384694968431175
CB_CB_D3,CB_CB_D7,0.16523177189468663,0.1943055164989704,0.34460059564280726
CB_CB_D3,CB_CB_D8,-0.13268739580201297,-0.12966526546564955,0.2878757180117641
CB_CB_D3,CB_CB_D9,-0.027822191256575098,-0.010390610159644771,0.24830873538878934
CB_CB_D3,CF_CF_D1,,,
CB_CB_D3,CF_CF_D2,,,
CB_CB_D3,CF_CF_D3,,,
CB_CB_D3,CF_CF_D4,,,
CB_CB_D3,FB_FB_D1,,,
CB_CB_D3,FB_FB_D2,,,
CB_CB_D3,FB_FB_D3,,,
CB_CB_D3,FB_FB_D4,,,
CB_CB_D3,FB_FB_D5,,,
CB_CB_D3,FB_FB_D6,,,
CB_CB_D3,FB_FB_D7,,,
CB_CB_D3,GK_GK_D1,,,
CB_CB_D3,GK_GK_D2,,,
CB_CB_D3,GK_GK_D3,,,
CB_CB_D3,MID_MID_D1,,,
CB_CB_D3,MID_MID_D2,,,
CB_CB_D3,MID_MID_D4,,,
CB_CB_D3,MID_MID_D5,,,
CB_CB_D3,MID_MID_D6,,,
CB_CB_D3,MID_MID_D7,,,
CB_CB_D3,WINGER_WINGER_D1,,,
CB_CB_D3,WINGER_WINGER_D2,,,
CB_CB_D3,WINGER_WINGER_D3,,,
CB_CB_D3,WINGER_WINGER_D4,,,
CB_CB_D3,WINGER_WINGER_D5,,,
CB_CB_D3,WINGER_WINGER_D6,,,
CB_CB_D4,CB_CB_D5,-0.06603843112853876,0.025779147733526766,0.2993340302736971
CB_CB_D4,CB_CB_D6,0.07608488097604799,0.09424889576151894,0.2555916333538329
CB_CB_D4,CB_CB_D7,0.17816268815600703,0.17,0.29670672199405246
CB_CB_D4,CB_CB_D8,-0.28246744475124036,-0.3546153846153846,0.40363537864713767
CB_CB_D4,CB_CB_D9,-0.22069369598530772,-0.16695518677754784,0.3510677280914262
CB_CB_D4,CF_CF_D1,,,
CB_CB_D4,CF_CF_D2,,,
CB_CB_D4,CF_CF_D3,,,
CB_CB_D4,CF_CF_D4,,,
CB_CB_D4,FB_FB_D1,,,
CB_CB_D4,FB_FB_D2,,,
CB_CB_D4,FB_FB_D3,,,
CB_CB_D4,FB_FB_D4,,,
CB_CB_D4,FB_FB_D5,,,
CB_CB_D4,FB_FB_D6,,,
CB_CB_D4,FB_FB_D7,,,
CB_CB_D4,GK_GK_D1,,,
CB_CB_D4,GK_GK_D2,,,
CB_CB_D4,GK_GK_D3,,,
CB_CB_D4,MID_MID_D1,,,
CB_CB_D4,MID_MID_D2,,,
CB_CB_D4,MID_MID_D4,,,
CB_CB_D4,MID_MID_D5,,,
CB_CB_D4,MID_MID_D6,,,
CB_CB_D4,MID_MID_D7,,,
CB_CB_D4,WINGER_WINGER_D1,,,
CB_CB_D4,WINGER_WINGER_D2,,,
CB_CB_D4,WINGER_WINGER_D3,,,
CB_CB_D4,WINGER_WINGER_D4,,,
CB_CB_D4,WINGER_WINGER_D5,,,
CB_CB_D4,WINGER_WINGER_D6,,,
CB_CB_D5,CB_CB_D6,0.49361067031372213,0.41793343086571194,0.4804338231542288
CB_CB_D5,CB_CB_D7,0.3586302152786102,0.3335898669398165,0.3924704367439701
CB_CB_D5,CB_CB_D8,-0.34393996088284895,-0.3212774381715649,0.3953817586190667
CB_CB_D5,CB_CB_D9,0.04566950532338023,0.0034635367198815907,0.2760070813568443
CB_CB_D5,CF_CF_D1,,,
CB_CB_D5,CF_CF_D2,,,
CB_CB_D5,CF_CF_D3,,,
CB_CB_D5,CF_CF_D4,,,
CB_CB_D5,FB_FB_D1,,,
CB_CB_D5,FB_FB_D2,,,
CB_CB_D5,FB_FB_D3,,,
CB_CB_D5,FB_FB_D4,,,
CB_CB_D5,FB_FB_D5,,,
CB_CB_D5,FB_FB_D6,,,
CB_CB_D5,FB_FB_D7,,,
CB_CB_D5,GK_GK_D1,,,
CB_CB_D5,GK_GK_D2,,,
CB_CB_D5,GK_GK_D3,,,
CB_CB_D5,MID_MID_D1,,,
CB_CB_D5,MID_MID_D2,,,
CB_CB_D5,MID_MID_D4,,,
CB_CB_D5,MID_MID_D5,,,
CB_CB_D5,MID_MID_D6,,,
CB_CB_D5,MID_MID_D7,,,
CB_CB_D5,WINGER_WINGER_D1,,,
CB_CB_D5,WINGER_WINGER_D2,,,
CB_CB_D5,WINGER_WINGER_D3,,,
CB_CB_D5,WINGER_WINGER_D4,,,
CB_CB_D5,WINGER_WINGER_D5,,,
CB_CB_D5,WINGER_WINGER_D6,,,
CB_CB_D6,CB_CB_D7,0.2895821122632867,0.32775534362781283,0.34389055135159463
CB_CB_D6,CB_CB_D8,-0.1859615108093767,-0.16733987614800303,0.24192920083955693
CB_CB_D6,CB_CB_D9,-0.32616913733173236,-0.35763755290496346,0.410821994622985
CB_CB_D6,CF_CF_D1,,,
CB_CB_D6,CF_CF_D2,,,
CB_CB_D6,CF_CF_D3,,,
CB_CB_D6,CF_CF_D4,,,
CB_CB_D6,FB_FB_D1,,,
CB_CB_D6,FB_FB_D2,,,
CB_CB_D6,FB_FB_D3,,,
CB_CB_D6,FB_FB_D4,,,
CB_CB_D6,FB_FB_D5,,,
CB_CB_D6,FB_FB_D6,,,
CB_CB_D6,FB_FB_D7,,,
CB_CB_D6,GK_GK_D1,,,
CB_CB_D6,GK_GK_D2,,,
CB_CB_D6,GK_GK_D3,,,
CB_CB_D6,MID_MID_D1,,,
CB_CB_D6,MID_MID_D2,,,
CB_CB_D6,MID_MID_D4,,,
CB_CB_D6,MID_MID_D5,,,
CB_CB_D6,MID_MID_D6,,,
CB_CB_D6,MID_MID_D7,,,
CB_CB_D6,WINGER_WINGER_D1,,,
CB_CB_D6,WINGER_WINGER_D2,,,
CB_CB_D6,WINGER_WINGER_D3,,,
CB_CB_D6,WINGER_WINGER_D4,,,
CB_CB_D6,WINGER_WINGER_D5,,,
CB_CB_D6,WINGER_WINGER_D6,,,
CB_CB_D7,CB_CB_D8,-0.37975450015661477,-0.43,0.5050047948157629
