score_a,score_b,mutual_information
CB_CB_D1,CB_CB_D2,0.14771862319042284
CB_CB_D1,CB_CB_D3,0.0
CB_CB_D1,CB_CB_D4,0.02549952529485422
CB_CB_D1,CB_CB_D5,0.10528615043442002
CB_CB_D1,CB_CB_D6,0.0
CB_CB_D1,CB_CB_D7,0.0
CB_CB_D1,CB_CB_D8,0.0
CB_CB_D1,CB_CB_D9,0.0
CB_CB_D1,CF_CF_D1,
CB_CB_D1,CF_CF_D2,
CB_CB_D1,CF_CF_D3,
CB_CB_D1,CF_CF_D4,
CB_CB_D1,FB_FB_D1,
CB_CB_D1,FB_FB_D2,
CB_CB_D1,FB_FB_D3,
CB_CB_D1,FB_FB_D4,
CB_CB_D1,FB_FB_D5,
CB_CB_D1,FB_FB_D6,
CB_CB_D1,FB_FB_D7,
CB_CB_D1,GK_GK_D1,
CB_CB_D1,GK_GK_D2,
CB_CB_D1,GK_GK_D3,
CB_CB_D1,MID_MID_D1,
CB_CB_D1,MID_MID_D2,
CB_CB_D1,MID_MID_D4,
CB_CB_D1,MID_MID_D5,
CB_CB_D1,MID_MID_D6,
CB_CB_D1,MID_MID_D7,
CB_CB_D1,WINGER_WINGER_D1,
CB_CB_D1,WINGER_WINGER_D2,
CB_CB_D1,WINGER_WINGER_D3,
CB_CB_D1,WINGER_WINGER_D4,
CB_CB_D1,WINGER_WINGER_D5,
CB_CB_D1,WINGER_WINGER_D6,
CB_CB_D2,CB_CB_D3,0.12791283420816368
CB_CB_D2,CB_CB_D4,0.06912956192489084
CB_CB_D2,CB_CB_D5,0.0
CB_CB_D2,CB_CB_D6,0.08960763940296834
CB_CB_D2,CB_CB_D7,0.0
CB_CB_D2,CB_CB_D8,0.0
CB_CB_D2,CB_CB_D9,0.06691716321249208
CB_CB_D2,CF_CF_D1,
CB_CB_D2,CF_CF_D2,
CB_CB_D2,CF_CF_D3,
CB_CB_D2,CF_CF_D4,
CB_CB_D2,FB_FB_D1,
CB_CB_D2,FB_FB_D2,
CB_CB_D2,FB_FB_D3,
CB_CB_D2,FB_FB_D4,
CB_CB_D2,FB_FB_D5,
CB_CB_D2,FB_FB_D6,
CB_CB_D2,FB_FB_D7,
CB_CB_D2,GK_GK_D1,
CB_CB_D2,GK_GK_D2,
CB_CB_D2,GK_GK_D3,
CB_CB_D2,MID_MID_D1,
CB_CB_D2,MID_MID_D2,
CB_CB_D2,MID_MID_D4,
CB_CB_D2,MID_MID_D5,
CB_CB_D2,MID_MID_D6,
CB_CB_D2,MID_MID_D7,
CB_CB_D2,WINGER_WINGER_D1,
CB_CB_D2,WINGER_WINGER_D2,
CB_CB_D2,WINGER_WINGER_D3,
CB_CB_D2,WINGER_WINGER_D4,
CB_CB_D2,WINGER_WINGER_D5,
CB_CB_D2,WINGER_WINGER_D6,
CB_CB_D3,CB_CB_D4,0.0
CB_CB_D3,CB_CB_D5,0.0
CB_CB_D3,CB_CB_D6,0.0
CB_CB_D3,CB_CB_D7,0.0
CB_CB_D3,CB_CB_D8,0.0
CB_CB_D3,CB_CB_D9,0.0
CB_CB_D3,CF_CF_D1,
CB_CB_D3,CF_CF_D2,
CB_CB_D3,CF_CF_D3,
CB_CB_D3,CF_CF_D4,
CB_CB_D3,FB_FB_D1,
CB_CB_D3,FB_FB_D2,
CB_CB_D3,FB_FB_D3,
CB_CB_D3,FB_FB_D4,
CB_CB_D3,FB_FB_D5,
CB_CB_D3,FB_FB_D6,
CB_CB_D3,FB_FB_D7,
CB_CB_D3,GK_GK_D1,
CB_CB_D3,GK_GK_D2,
CB_CB_D3,GK_GK_D3,
CB_CB_D3,MID_MID_D1,
CB_CB_D3,MID_MID_D2,
CB_CB_D3,MID_MID_D4,
CB_CB_D3,MID_MID_D5,
CB_CB_D3,MID_MID_D6,
CB_CB_D3,MID_MID_D7,
CB_CB_D3,WINGER_WINGER_D1,
CB_CB_D3,WINGER_WINGER_D2,
CB_CB_D3,WINGER_WINGER_D3,
CB_CB_D3,WINGER_WINGER_D4,
CB_CB_D3,WINGER_WINGER_D5,
CB_CB_D3,WINGER_WINGER_D6,
CB_CB_D4,CB_CB_D5,0.08551662755963463
CB_CB_D4,CB_CB_D6,0.0860813878767166
CB_CB_D4,CB_CB_D7,0.1712004583487281
CB_CB_D4,CB_CB_D8,0.007055218827328513
CB_CB_D4,CB_CB_D9,0.0355455903409192
CB_CB_D4,CF_CF_D1,
CB_CB_D4,CF_CF_D2,
CB_CB_D4,CF_CF_D3,
CB_CB_D4,CF_CF_D4,
CB_CB_D4,FB_FB_D1,
CB_CB_D4,FB_FB_D2,
CB_CB_D4,FB_FB_D3,
CB_CB_D4,FB_FB_D4,
CB_CB_D4,FB_FB_D5,
CB_CB_D4,FB_FB_D6,
CB_CB_D4,FB_FB_D7,
CB_CB_D4,GK_GK_D1,
CB_CB_D4,GK_GK_D2,
CB_CB_D4,GK_GK_D3,
CB_CB_D4,MID_MID_D1,
CB_CB_D4,MID_MID_D2,
CB_CB_D4,MID_MID_D4,
CB_CB_D4,MID_MID_D5,
CB_CB_D4,MID_MID_D6,
CB_CB_D4,MID_MID_D7,
CB_CB_D4,WINGER_WINGER_D1,
CB_CB_D4,WINGER_WINGER_D2,
CB_CB_D4,WINGER_WINGER_D3,
CB_CB_D4,WINGER_WINGER_D4,
CB_CB_D4,WINGER_WINGER_D5,
CB_CB_D4,WINGER_WINGER_D6,
CB_CB_D5,CB_CB_D6,0.0
CB_CB_D5,CB_CB_D7,0.07691154138334078
CB_CB_D5,CB_CB_D8,0.0
CB_CB_D5,CB_CB_D9,0.0
CB_CB_D5,CF_CF_D1,
CB_CB_D5,CF_CF_D2,
CB_CB_D5,CF_CF_D3,
CB_CB_D5,CF_CF_D4,
CB_CB_D5,FB_FB_D1,
CB_CB_D5,FB_FB_D2,
CB_CB_D5,FB_FB_D3,
CB_CB_D5,FB_FB_D4,
CB_CB_D5,FB_FB_D5,
CB_CB_D5,FB_FB_D6,
CB_CB_D5,FB_FB_D7,
CB_CB_D5,GK_GK_D1,
CB_CB_D5,GK_GK_D2,
CB_CB_D5,GK_GK_D3,
CB_CB_D5,MID_MID_D1,
CB_CB_D5,MID_MID_D2,
CB_CB_D5,MID_MID_D4,
CB_CB_D5,MID_MID_D5,
CB_CB_D5,MID_MID_D6,
CB_CB_D5,MID_MID_D7,
CB_CB_D5,WINGER_WINGER_D1,
CB_CB_D5,WINGER_WINGER_D2,
CB_CB_D5,WINGER_WINGER_D3,
CB_CB_D5,WINGER_WINGER_D4,
CB_CB_D5,WINGER_WINGER_D5,
CB_CB_D5,WINGER_WINGER_D6,
CB_CB_D6,CB_CB_D7,0.0
CB_CB_D6,CB_CB_D8,0.0
CB_CB_D6,CB_CB_D9,0.14376192955725875
CB_CB_D6,CF_CF_D1,
CB_CB_D6,CF_CF_D2,
CB_CB_D6,CF_CF_D3,
CB_CB_D6,CF_CF_D4,
CB_CB_D6,FB_FB_D1,
CB_CB_D6,FB_FB_D2,
CB_CB_D6,FB_FB_D3,
CB_CB_D6,FB_FB_D4,
CB_CB_D6,FB_FB_D5,
CB_CB_D6,FB_FB_D6,
CB_CB_D6,FB_FB_D7,
CB_CB_D6,GK_GK_D1,
CB_CB_D6,GK_GK_D2,
CB_CB_D6,GK_GK_D3,
CB_CB_D6,MID_MID_D1,
CB_CB_D6,MID_MID_D2,
CB_CB_D6,MID_MID_D4,
CB_CB_D6,MID_MID_D5,
CB_CB_D6,MID_MID_D6,
CB_CB_D6,MID_MID_D7,
CB_CB_D6,WINGER_WINGER_D1,
CB_CB_D6,WINGER_WINGER_D2,
CB_CB_D6,WINGER_WINGER_D3,
CB_CB_D6,WINGER_WINGER_D4,
CB_CB_D6,WINGER_WINGER_D5,
CB_CB_D6,WINGER_WINGER_D6,
CB_CB_D7,CB_CB_D8,0.27370707917887893
CB_CB_D7,CB_CB_D9,0.0
CB_CB_D7,CF_CF_D1,
CB_CB_D7,CF_CF_D2,
CB_CB_D7,CF_CF_D3,
CB_CB_D7,CF_CF_D4,
CB_CB_D7,FB_FB_D1,
CB_CB_D7,FB_FB_D2,
CB_CB_D7,FB_FB_D3,
CB_CB_D7,FB_FB_D4,
CB_CB_D7,FB_FB_D5,
CB_CB_D7,FB_FB_D6,
CB_CB_D7,FB_FB_D7,
CB_CB_D7,GK_GK_D1,
CB_CB_D7,GK_GK_D2,
CB_CB_D7,GK_GK_D3,
CB_CB_D7,MID_MID_D1,
CB_CB_D7,MID_MID_D2,
CB_CB_D7,MID_MID_D4,
CB_CB_D7,MID_MID_D5,
CB_CB_D7,MID_MID_D6,
CB_CB_D7,MID_MID_D7,
CB_CB_D7,WINGER_WINGER_D1,
CB_CB_D7,WINGER_WINGER_D2,
CB_CB_D7,WINGER_WINGER_D3,
CB_CB_D7,WINGER_WINGER_D4,
CB_CB_D7,WINGER_WINGER_D5,
CB_CB_D7,WINGER_WINGER_D6,
CB_CB_D8,CB_CB_D9,0.0
CB_CB_D8,CF_CF_D1,
CB_CB_D8,CF_CF_D2,
CB_CB_D8,CF_CF_D3,
CB_CB_D8,CF_CF_D4,
CB_CB_D8,FB_FB_D1,
CB_CB_D8,FB_FB_D2,
CB_CB_D8,FB_FB_D3,
CB_CB_D8,FB_FB_D4,
CB_CB_D8,FB_FB_D5,
CB_CB_D8,FB_FB_D6,
CB_CB_D8,FB_FB_D7,
CB_CB_D8,GK_GK_D1,
CB_CB_D8,GK_GK_D2,
CB_CB_D8,GK_GK_D3,
CB_CB_D8,MID_MID_D1,
CB_CB_D8,MID_MID_D2,
CB_CB_D8,MID_MID_D4,
CB_CB_D8,MID_MID_D5,
CB_CB_D8,MID_MID_D6,
CB_CB_D8,MID_MID_D7,
CB_CB_D8,WINGER_WINGER_D1,
CB_CB_D8,WINGER_WINGER_D2,
CB_CB_D8,WINGER_WINGER_D3,
CB_CB_D8,WINGER_WINGER_D4,
CB_CB_D8,WINGER_WINGER_D5,
CB_CB_D8,WINGER_WINGER_D6,
CB_CB_D9,CF_CF_D1,
CB_CB_D9,CF_CF_D2,
